#trait_category	trait	trait_name	family	geno	covar	geno_covar	geno_delta	n_variables	WB_test_P	is_significant_in_WB
Disease_outcome	HC1036	TTE asthma	binomial	0.614893782430198	0.532351865394349	0.618388383239375	0.0860365178450253	8508	6.81389539243737e-283	TRUE
Blood_assays	INI30750	Glycated haemoglobin (HbA1c)	gaussian	0.0678422232470218	0.0471178823742119	0.11503435522394	0.0679164728497283	10448	3.95282165552596e-282	TRUE
Health_and_medical_history	BIN_FC9006152	Asthma	binomial	0.62249745816734	0.541259682871924	0.62860285818475	0.0873431753128263	5528	3.09890343317248e-281	TRUE
Blood_assays	INI30710	C-reactive protein	gaussian	0.0239616039816726	0.00424551149184652	0.0280606987018841	0.0238151872100376	4441	2.13456647922052e-258	TRUE
Blood_pressure	INI102	Pulse rate (AR)	gaussian	0.0634619523658995	0.0104088955953149	0.0738764290097298	0.063467533414415	14455	1.57037469654377e-255	TRUE
Blood_assays	INI30870	Triglycerides	gaussian	0.108698435916183	0.0457404632617071	0.154406064120637	0.10866560085893	12058	2.81685820617943e-254	TRUE
Lifestyle_and_environment	QT_FC1001558	Alcohol intake frequency.	gaussian	0.0173108503149043	0.0320398370674654	0.0492535910502027	0.0172137539827373	8353	1.39228210719538e-253	TRUE
Medications	INI137	# of medications taken	gaussian	0.0155776488448267	0.0686245390523111	0.0842874987832319	0.0156629597309207	8085	5.71247482916144e-250	TRUE
Lifestyle_and_environment	QT_FC1001190	Nap during day	gaussian	0.017365020680864	0.0433511494374571	0.0606093881652492	0.0172582387277921	10264	1.39219491599567e-231	TRUE
Lifestyle_and_environment	QT_FC10001478	Salt added to food	gaussian	0.0164587655260101	0.00767495455822241	0.0234919288196357	0.0158169742614133	6651	1.92507014849058e-231	TRUE
Blood_assays	INI30850	Testosterone	gaussian	0.0117539200639324	0.805833103378959	0.816910668529864	0.0110775651509045	6647	5.82074141841159e-229	TRUE
Blood_assays	INI30650	Aspartate aminotransferase	gaussian	0.0251074488439302	0.030261700985647	0.055365419286594	0.0251037183009469	5729	9.46392363056038e-226	TRUE
Anthropometry	INI23124	Arm fat mass (L)	gaussian	0.0772487935488883	0.0542521063518436	0.131407681745601	0.0771555753937571	23676	1.15360763854044e-218	TRUE
cancer	cancer1060	Non-melanoma skin cancer	binomial	0.642093500882945	0.65869059264366	0.707061703239697	0.0483711105960379	1610	2.14018975818375e-218	TRUE
Spirometry	INI3064	PEF	gaussian	0.0184224570943011	0.358215538815555	0.37677942685463	0.0185638880390752	9523	3.94144229138818e-213	TRUE
cancer	cancer1003	Skin cancer	binomial	0.632885404835193	0.648918850730329	0.693999180952517	0.0450803302221877	1298	2.13730706367973e-212	TRUE
Blood_assays	INI30260	Mean reticulocyte volume	gaussian	0.146308864765084	0.0110048001030736	0.156742584057367	0.145737783954294	13277	2.05670357281425e-207	TRUE
Disease_outcome	HC221	Diabetes	binomial	0.631122528396893	0.650468581380118	0.695528324376453	0.0450597429963353	4053	2.35689296337891e-204	TRUE
Lifestyle_and_environment	BIN_FC10001757	Facial ageing (Younger than you are)	binomial	0.577530863414808	0.572932713865581	0.606897554228484	0.0339648403629025	7676	6.35580259740245e-200	TRUE
Blood_assays	INI30210	Eosinophill %	gaussian	0.0959355686425432	0.0079263948850484	0.103662661587445	0.0957362667023961	12563	1.67178202485928e-196	TRUE
Disease_outcome	HC1159	TTE psoriasis	binomial	0.672900556503685	0.534927643833147	0.676057739248775	0.141130095415628	578	2.30498794801981e-194	TRUE
Health_and_medical_history	QT_FC1002178	Overall health rating	gaussian	0.0206190649710172	0.00654975149454548	0.0263487938462596	0.0197990423517141	10464	5.23914160792434e-189	TRUE
Disease_outcome	HC649	TTE non-insulin-dependent diabetes mellitus	binomial	0.633234018497026	0.665575191005157	0.707462720906898	0.0418875299017414	3496	1.24368182048115e-187	TRUE
Anthropometry	INI23120	Arm fat mass (R)	gaussian	0.0796276130230439	0.056203416460457	0.135906560586181	0.0797031441257236	23528	3.34359369920753e-187	TRUE
Blood_assays	INI30000	White blood cell count	gaussian	0.0726387565453175	0.00239664382070131	0.0747920864118354	0.0723954425911341	13785	1.36954915891653e-184	TRUE
Family_history	FH1220	Diabetes (FH)	binomial	0.572834459503668	0.513534140884333	0.573903489094941	0.0603693482106081	2515	3.35509406586723e-180	TRUE
Blood_assays	INI30050	Mean corpuscular haemoglobin	gaussian	0.170302572867056	0.0196215565130266	0.187978662700528	0.168357106187501	13003	8.72754242977097e-174	TRUE
Medical_conditions	INI135	# of self-reported non-cancer illnesses	gaussian	0.0106287747573664	0.051208136718555	0.0618981958539982	0.0106900591354432	5212	7.13260951967285e-169	TRUE
Psychosocial_factors	BIN1980	Worrier / anxious feelings	binomial	0.559719748377256	0.590723809346606	0.616589674623648	0.0258658652770418	9747	4.31643299473875e-164	TRUE
Disease_outcome	HC303	Malabsorption/coeliac disease	binomial	0.828668877494491	0.574472822196577	0.83414806963856	0.259675247441982	428	5.99283828578375e-163	TRUE
Blood_assays	INI30140	Neutrophill count	gaussian	0.0893478460962615	0.00205492770482439	0.0912558260083923	0.0892008983035679	15578	1.43095674717891e-159	TRUE
Disease_outcome	HC1215	TTE gout	binomial	0.653887442487855	0.754097091214284	0.792288483737409	0.038191392523125	1796	7.42439474393752e-155	TRUE
Blood_pressure	INI4080	Systolic BP (AR)	gaussian	0.0483448137846377	0.12393462551234	0.172497634620338	0.0485630091079984	15481	1.18769349334248e-153	TRUE
Blood_assays	INI30030	Haematocrit %	gaussian	0.0654356944591989	0.326080217813439	0.391177410729854	0.065097192916415	15721	2.01788824467066e-149	TRUE
Lifestyle_and_environment	BIN_FC40001249	Past tobacco smoking (Smoked at least once)	binomial	0.559378984587383	0.574368137885417	0.595411011877157	0.0210428739917402	6169	2.84340942673522e-146	TRUE
Biomarkers	INI10030840	Total bilirubin	gaussian	0.356072105535188	1.62751501746471e-05	0.356213871967347	0.356197596817172	544	2.10458833925229e-145	TRUE
Blood_assays	INI30690	Cholesterol	gaussian	0.0942617645021721	0.035569288754495	0.129147176490707	0.0935778877362125	7517	3.8597928452247e-145	TRUE
Disease_outcome	HC38	Psoriasis	binomial	0.691575319382725	0.55271977228207	0.698625794334392	0.145906022052322	204	7.30434277431325e-145	TRUE
Blood_assays	INI30040	Mean corpuscular volume	gaussian	0.200214798496838	0.0159591710358154	0.214490201329375	0.19853103029356	17311	9.51532755966589e-145	TRUE
Lifestyle_and_environment	QT_FC1001170	Getting up in morning	gaussian	0.0110988515924419	0.055557154040711	0.0664557738502553	0.0108986198095442	7743	1.1676193602772e-142	TRUE
Lifestyle_and_environment	INI2237	Freq. of playing computer games	gaussian	0.0108925972089092	0.00513903489671591	0.0158881213767991	0.0107490864800832	5774	1.18652818482625e-141	TRUE
Disease_outcome	HC1125	TTE cholelithiasis	binomial	0.616322002916202	0.631979732627214	0.673066036846779	0.0410863042195651	970	3.67911719598924e-141	TRUE
Early_life_factors	QT_FC1001687	Comparative body size at age 10	gaussian	0.0552675519781487	0.00443175111823472	0.0603583756881126	0.0559266245698779	13034	5.20685792053074e-136	TRUE
Anthropometry	INI23125	Arm fat-free mass (L)	gaussian	0.0454399438502843	0.687960332793529	0.732636881497288	0.0446765487037594	30360	1.98175907344609e-134	TRUE
Disease_outcome	HC652	TTE unspecified diabetes mellitus	binomial	0.631017050631332	0.660288286688948	0.701286133197429	0.0409978465084803	2270	1.46054061569506e-133	TRUE
Disease_outcome	HC964	TTE atrial fibrillation and flutter	binomial	0.610802281223241	0.7397367713902	0.763219584594678	0.0234828132044777	2142	8.55035132300444e-132	TRUE
Lifestyle_and_environment	BIN_FC30001757	Facial ageing (About your age)	binomial	0.56224939315573	0.559607569419633	0.5865856913523	0.0269781219326669	6782	2.46715597007643e-129	TRUE
Disease_outcome	HC188	Gallstones	binomial	0.617102047375081	0.629237441264625	0.671173511596941	0.0419360703323157	876	9.25686487800334e-129	TRUE
Anthropometry	INI23126	Arm pred. mass (L)	gaussian	0.0438433118690715	0.682080270261284	0.72542922231027	0.0433489520489856	30666	2.8430548334029e-125	TRUE
Biomarkers	INI10030730	Gamma glutamyltransferase	gaussian	0.138491705233724	6.38267087224845e-07	0.138514584220069	0.138513945952982	16280	5.91161229145745e-125	TRUE
Blood_assays	INI30780	LDL direct	gaussian	0.101600101503108	0.00980981851279097	0.111175158510513	0.101365339997722	7318	1.62160779671643e-123	TRUE
Disease_outcome	HC1132	TTE intestinal malabsorption	binomial	0.750845005881015	0.566745364602452	0.759058816746773	0.192313452144321	443	1.23063628746589e-121	TRUE
Disease_outcome	HC942	TTE chronic ischaemic heart disease	binomial	0.591988084681786	0.745965245272634	0.760331985372113	0.0143667400994794	2168	4.61988858056943e-121	TRUE
Health_and_medical_history	BIN_FC1006149	Mouth ulcers	binomial	0.582110970454649	0.555766396096974	0.597296128013708	0.0415297319167341	1648	2.3128871268711e-120	TRUE
Psychosocial_factors	BIN2000	Worry too long after embarrassment	binomial	0.550909785698868	0.582346185866216	0.599172616731594	0.0168264308653781	7714	2.3504549940776e-120	TRUE
Disease_outcome	HC328	Gout	binomial	0.669080924297686	0.774449887020156	0.815378607054155	0.0409287200339986	880	6.52776937263261e-116	TRUE
Anthropometry	INI23121	Arm fat-free mass (R)	gaussian	0.0408313470767048	0.716303899307832	0.756479964520324	0.0401760652124924	29063	1.92782066530655e-115	TRUE
Blood_pressure	INI4079	Diastolic BP (AR)	gaussian	0.0458117877123807	0.0299408575311467	0.0751792103279841	0.0452383527968374	14103	1.25034884256851e-114	TRUE
Disease_outcome	HC281	Atrial fibrillation	binomial	0.607274941181163	0.739255771891243	0.761179545906276	0.0219237740150329	2955	5.47968491259165e-114	TRUE
Disease_outcome	HC1106	TTE diverticular disease of intestine	binomial	0.579403607305501	0.660068933198738	0.680061806928315	0.0199928737295764	5757	1.04802375573306e-110	TRUE
Disease_outcome	HC440	Atrial flutter	binomial	0.608208903613001	0.741260203870224	0.763260823111423	0.0220006192411997	2087	1.20018787333727e-110	TRUE
Family_history	FH1263	Alzheimer's/dementia (FH)	binomial	0.558273467892466	0.584547106313207	0.608936785912207	0.0243896795990002	139	1.22034635559452e-110	TRUE
Lifestyle_and_environment	BIN1210	Snoring	binomial	0.549865076000364	0.610978608584954	0.629615975592552	0.0186373670075978	7407	5.72529373111176e-108	TRUE
Blood_assays	INI30670	Urea	gaussian	0.0409442674213232	0.0750903181693765	0.115861020978444	0.0407707028090673	9808	1.75726569173833e-107	TRUE
Bone-densitometry_of_heel	INI3147	Heel quantitative ultrasound index (QUI), direct entry	gaussian	0.141583186108444	0.0549170691215838	0.196942522831771	0.142025453710187	14311	1.57026938324058e-104	TRUE
Anthropometry	INI23122	Arm pred. mass (R)	gaussian	0.0393220088411087	0.723201764731738	0.762342785401564	0.0391410206698251	28988	2.03621923288964e-104	TRUE
Bone-densitometry_of_heel	INI3144	Heel Broadband ultrasound attenuation, direct entry	gaussian	0.118373312746514	0.0874484155996482	0.206495235174767	0.119046819575118	13735	1.24817698165676e-103	TRUE
Lifestyle_and_environment	BIN_FC30001508	Coffee type: Ground coffee (include espresso, filter etc)	binomial	0.562688173658609	0.555149854580295	0.581688114389899	0.026538259809604	9694	8.64285277680268e-102	TRUE
Health_and_medical_history	BIN_FC6006149	Dentures	binomial	0.559059721717182	0.717701987182498	0.724952332592977	0.0072503454104792	6042	7.22400002027443e-100	TRUE
Lifestyle_and_environment	BIN_FC20020116	Previous Smoker	binomial	0.54770141872508	0.599993428385243	0.610469749181504	0.0104763207962616	4348	1.56897174926337e-99	TRUE
Psychosocial_factors	BIN1950	Sensitivity / hurt feelings	binomial	0.5459326621434	0.604444059128578	0.620172857665841	0.0157287985372624	7922	6.60933399677632e-99	TRUE
Disease_outcome	HC1242	TTE ankylosing spondylitis	binomial	0.734604057263818	0.619115817299026	0.750677483836821	0.131561666537795	10	1.12539898900087e-98	TRUE
Lifestyle_and_environment	BIN_FC40002267	Use of sun/uv protection (Always)	binomial	0.556918206725645	0.619311241455453	0.63213313782561	0.0128218963701574	2594	1.95742758426466e-97	TRUE
Lifestyle_and_environment	INI1528	Water intake	gaussian	0.00829960593136626	0.0291230936538762	0.0373533936805926	0.00823030002671633	4994	4.96100626434367e-97	TRUE
Disease_outcome	HC990	TTE varicose veins of lower extremities	binomial	0.611432477130593	0.594633676628374	0.645532620780449	0.0508989441520746	2563	1.93233807997764e-96	TRUE
Disease_outcome	HC422	Ankylosing spondylitis	binomial	0.726514767467367	0.610076488175632	0.74484578240457	0.134769294228938	10	2.51776920531978e-94	TRUE
Biomarkers	INI10030850	Testosterone	gaussian	0.0303217128868621	1.02230297143032e-05	0.0302333362672966	0.0302231132375823	6250	3.13402363043808e-93	TRUE
cancer	cancer1044	Prostate cancer	binomial	0.639782855651174	0.86968520017408	0.889043567763068	0.0193583675889877	948	6.23747262566169e-92	TRUE
Health_and_medical_history	BIN_FC9006154	Paracetamol use self-reported	binomial	0.555143023003503	0.584786891973503	0.600654795600317	0.0158679036268135	4673	1.01800172865007e-86	TRUE
Lifestyle_and_environment	INI1458	Cereal intake	gaussian	0.00669548663357401	0.0137104024208512	0.0200364659971536	0.0063260635763024	4882	4.68122486102929e-86	TRUE
Disease_outcome	HC1021	TTE vasomotor and allergic rhinitis	binomial	0.569976789365846	0.569448450984738	0.598331020259035	0.0288825692742966	1910	1.00350279482089e-83	TRUE
Lifestyle_and_environment	INI1498	Coffee intake	gaussian	0.00833207728899604	0.00633225973262386	0.0148936329173494	0.0085613731847255	3154	5.88385480580783e-83	TRUE
Lifestyle_and_environment	INI924	Usual walking pace	gaussian	0.0127133274905932	0.0288683830737756	0.0414362335883818	0.0125678505146062	7535	7.53737683220317e-82	TRUE
Disease_outcome	HC702	TTE disorders of porphyrin and bilirubin metabolism	binomial	0.886972453573146	0.622370286813707	0.905294547116047	0.28292426030234	5	1.07535067683852e-78	TRUE
Lifestyle_and_environment	QT_FC1001329	Oily fish intake	gaussian	0.0083176507764247	0.0318165768630084	0.0399768019492279	0.00816022508621951	3925	2.76996482158965e-78	TRUE
Lifestyle_and_environment	INI1488	Tea intake	gaussian	0.00697658544357871	0.00385903452426893	0.0107989095127866	0.00693987498851771	3119	6.56322863385414e-78	TRUE
Disease_outcome	HC225	Cholecystitis	binomial	0.59436286081274	0.608546140803023	0.641683286946199	0.0331371461431755	391	2.83409841295463e-77	TRUE
Blood_assays	INI30070	Red blood cell distribution width	gaussian	0.0794494354146188	0.00579000162295924	0.0854259263663354	0.0796359247433761	10179	4.7942807125288e-77	TRUE
Disease_outcome	HC882	TTE glaucoma	binomial	0.619942524350852	0.667741741458042	0.704165010578429	0.0364232691203873	2066	2.22401902087132e-74	TRUE
Disease_outcome	HC987	TTE phlebitis and thrombophlebitis	binomial	0.589311288195981	0.603092815965407	0.641245340745679	0.0381525247802721	1143	5.71829998237464e-72	TRUE
Disease_outcome	HC401	Varicose veins	binomial	0.607747641312342	0.580119335321902	0.63503255609351	0.0549132207716083	2603	4.22940442558057e-71	TRUE
Spirometry	INI3062	FVC	gaussian	0.0493575795301623	0.465854641729556	0.513555933989371	0.0477012922598151	20921	1.9687790326211e-70	TRUE
Disease_outcome	HC1094	TTE inguinal hernia	binomial	0.582012460234269	0.791294797749952	0.804742109957305	0.0134473122073532	3085	6.82290766682315e-70	TRUE
Others	BIN10030820	Rheumatoid factor > 16 IU/mL	binomial	0.584067167042171	0.551267957776	0.600495695157528	0.049227737381528	456	2.25652024838251e-69	TRUE
cancer	cancer1002	Breast cancer	binomial	0.596270022279085	0.788354550374398	0.809746098434689	0.0213915480602913	555	6.19061473985622e-69	TRUE
Lifestyle_and_environment	BIN_FC10002267	Use of sun/uv protection (Never/rarely)	binomial	0.566276992471805	0.675662130152661	0.692793081493508	0.0171309513408471	1141	7.96737294731459e-69	TRUE
Blood_assays	INI30240	Reticulocyte %	gaussian	0.0282632686982492	0.000968716577689033	0.029245987858333	0.028277271280644	6251	9.5741851776498e-69	TRUE
Health_and_medical_history	BIN_FC3002247	Hearing difficulty and Deafness	binomial	0.542158548456138	0.618224012603773	0.625524866667527	0.00730085406375358	3731	5.20347315014148e-68	TRUE
Lifestyle_and_environment	INI1309	Fresh fruit intake	gaussian	0.00619269567505295	0.0181150255721901	0.0243435860309156	0.00622856045872551	4257	8.74354801511935e-68	TRUE
Disease_outcome	HC937	TTE angina pectoris	binomial	0.574937126885038	0.729697616909569	0.741183745379912	0.0114861284703425	2524	1.47446700936371e-67	TRUE
Disease_outcome	HC689	TTE obesity	binomial	0.575731529414794	0.55856339027879	0.593868583985985	0.0353051937071957	9227	2.63487580541734e-67	TRUE
Health_and_medical_history	BIN_FC1002247	Hearing difficulty	binomial	0.541746652715126	0.61827921485732	0.62554653643457	0.00726732157724941	3098	1.10094047962273e-66	TRUE
Disease_outcome	HC624	TTE other coagulation defects	binomial	0.634024992449193	0.53334812009905	0.653548690426495	0.120200570327445	1	8.36748377385192e-66	TRUE
