#associated_score_name	study_stage	sample_set	n	case_n	control_n	broad_ancestral_category	country_of_recruitment	additional_ancestry_description	cohort	additional_sample_cohort_information
GBE_INI23130	Testing	INI23130_test	66204	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23130	Testing	INI23130_non_british_white	24444	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23130	Testing	INI23130_s_asian	7642	NA	NA	South Asian	UK		UKB	
GBE_INI23130	Testing	INI23130_african	6298	NA	NA	African unspecified	UK		UKB	
GBE_INI23130	Testing	INI23130_e_asian	1677	NA	NA	East Asian	UK		UKB	
GBE_INI23106	Score development		265388	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23106	Testing	INI23106_test	66304	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23106	Testing	INI23106_non_british_white	24471	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23106	Testing	INI23106_s_asian	7651	NA	NA	South Asian	UK		UKB	
GBE_INI23106	Testing	INI23106_african	6310	NA	NA	African unspecified	UK		UKB	
GBE_INI23106	Testing	INI23106_e_asian	1681	NA	NA	East Asian	UK		UKB	
GBE_INI23105	Score development		265174	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23105	Testing	INI23105_test	66261	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23105	Testing	INI23105_non_british_white	24466	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23105	Testing	INI23105_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23105	Testing	INI23105_african	6305	NA	NA	African unspecified	UK		UKB	
GBE_INI23105	Testing	INI23105_e_asian	1680	NA	NA	East Asian	UK		UKB	
GBE_INI23114	Score development		265156	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23114	Testing	INI23114_test	66257	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23114	Testing	INI23114_non_british_white	24461	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23114	Testing	INI23114_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23114	Testing	INI23114_african	6305	NA	NA	African unspecified	UK		UKB	
GBE_INI23114	Testing	INI23114_e_asian	1680	NA	NA	East Asian	UK		UKB	
GBE_INI23113	Score development		265156	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23113	Testing	INI23113_test	66257	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23113	Testing	INI23113_non_british_white	24461	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23113	Testing	INI23113_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23113	Testing	INI23113_african	6305	NA	NA	African unspecified	UK		UKB	
GBE_INI23113	Testing	INI23113_e_asian	1680	NA	NA	East Asian	UK		UKB	
GBE_INI21002	Score development		268944	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI21002	Testing	INI21002_test	67258	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI21002	Testing	INI21002_non_british_white	24804	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI21002	Testing	INI21002_s_asian	7746	NA	NA	South Asian	UK		UKB	
GBE_INI21002	Testing	INI21002_african	6410	NA	NA	African unspecified	UK		UKB	
GBE_INI21002	Testing	INI21002_e_asian	1696	NA	NA	East Asian	UK		UKB	
GBE_INI23118	Score development		265129	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23118	Testing	INI23118_test	66253	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23118	Testing	INI23118_non_british_white	24460	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23118	Testing	INI23118_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23118	Testing	INI23118_african	6303	NA	NA	African unspecified	UK		UKB	
GBE_INI23118	Testing	INI23118_e_asian	1679	NA	NA	East Asian	UK		UKB	
GBE_INI23117	Score development		265134	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23117	Testing	INI23117_test	66253	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23117	Testing	INI23117_non_british_white	24461	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23117	Testing	INI23117_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23117	Testing	INI23117_african	6303	NA	NA	African unspecified	UK		UKB	
GBE_INI23117	Testing	INI23117_e_asian	1679	NA	NA	East Asian	UK		UKB	
GBE_INI23107	Score development		265397	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23107	Testing	INI23107_test	66310	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23107	Testing	INI23107_non_british_white	24475	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23107	Testing	INI23107_s_asian	7653	NA	NA	South Asian	UK		UKB	
GBE_INI23107	Testing	INI23107_african	6310	NA	NA	African unspecified	UK		UKB	
GBE_INI23107	Testing	INI23107_e_asian	1681	NA	NA	East Asian	UK		UKB	
GBE_INI23109	Score development		265382	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23109	Testing	INI23109_test	66307	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23109	Testing	INI23109_non_british_white	24473	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23109	Testing	INI23109_s_asian	7653	NA	NA	South Asian	UK		UKB	
GBE_INI23109	Testing	INI23109_african	6310	NA	NA	African unspecified	UK		UKB	
GBE_INI23109	Testing	INI23109_e_asian	1681	NA	NA	East Asian	UK		UKB	
GBE_INI23128	Score development		265008	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23128	Testing	INI23128_test	66220	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23128	Testing	INI23128_non_british_white	24450	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23128	Testing	INI23128_s_asian	7646	NA	NA	South Asian	UK		UKB	
GBE_INI23128	Testing	INI23128_african	6299	NA	NA	African unspecified	UK		UKB	
GBE_INI23128	Testing	INI23128_e_asian	1678	NA	NA	East Asian	UK		UKB	
GBE_INI23108	Score development		265394	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23108	Testing	INI23108_test	66310	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23108	Testing	INI23108_non_british_white	24474	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23108	Testing	INI23108_s_asian	7653	NA	NA	South Asian	UK		UKB	
GBE_INI23108	Testing	INI23108_african	6310	NA	NA	African unspecified	UK		UKB	
GBE_INI23108	Testing	INI23108_e_asian	1681	NA	NA	East Asian	UK		UKB	
GBE_INI23111	Score development		265164	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23111	Testing	INI23111_test	66260	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23111	Testing	INI23111_non_british_white	24463	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23111	Testing	INI23111_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23111	Testing	INI23111_african	6305	NA	NA	African unspecified	UK		UKB	
GBE_INI23111	Testing	INI23111_e_asian	1680	NA	NA	East Asian	UK		UKB	
GBE_INI23115	Score development		265150	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23115	Testing	INI23115_test	66256	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23115	Testing	INI23115_non_british_white	24461	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23115	Testing	INI23115_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23115	Testing	INI23115_african	6304	NA	NA	African unspecified	UK		UKB	
GBE_INI23115	Testing	INI23115_e_asian	1679	NA	NA	East Asian	UK		UKB	
GBE_INI23100	Score development		264738	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23100	Testing	INI23100_test	66165	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23100	Testing	INI23100_non_british_white	24422	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23100	Testing	INI23100_s_asian	7639	NA	NA	South Asian	UK		UKB	
GBE_INI23100	Testing	INI23100_african	6294	NA	NA	African unspecified	UK		UKB	
GBE_INI23100	Testing	INI23100_e_asian	1667	NA	NA	East Asian	UK		UKB	
GBE_INI23099	Score development		265024	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23099	Testing	INI23099_test	66227	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23099	Testing	INI23099_non_british_white	24454	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23099	Testing	INI23099_s_asian	7645	NA	NA	South Asian	UK		UKB	
GBE_INI23099	Testing	INI23099_african	6300	NA	NA	African unspecified	UK		UKB	
GBE_INI23099	Testing	INI23099_e_asian	1677	NA	NA	East Asian	UK		UKB	
GBE_INI21001	Score development		268856	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI21001	Testing	INI21001_test	67235	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI21001	Testing	INI21001_non_british_white	24795	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI21001	Testing	INI21001_s_asian	7639	NA	NA	South Asian	UK		UKB	
GBE_INI21001	Testing	INI21001_african	6398	NA	NA	African unspecified	UK		UKB	
GBE_INI21001	Testing	INI21001_e_asian	1696	NA	NA	East Asian	UK		UKB	
GBE_INI23110	Score development		265390	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23110	Testing	INI23110_test	66310	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23110	Testing	INI23110_non_british_white	24474	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23110	Testing	INI23110_s_asian	7653	NA	NA	South Asian	UK		UKB	
GBE_INI23110	Testing	INI23110_african	6310	NA	NA	African unspecified	UK		UKB	
GBE_INI23110	Testing	INI23110_e_asian	1681	NA	NA	East Asian	UK		UKB	
GBE_INI23127	Score development		265023	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23127	Testing	INI23127_test	66224	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23127	Testing	INI23127_non_british_white	24452	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23127	Testing	INI23127_s_asian	7646	NA	NA	South Asian	UK		UKB	
GBE_INI23127	Testing	INI23127_african	6299	NA	NA	African unspecified	UK		UKB	
GBE_INI23127	Testing	INI23127_e_asian	1678	NA	NA	East Asian	UK		UKB	
GBE_INI48	Score development		269260	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI48	Testing	INI48_test	67330	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI48	Testing	INI48_non_british_white	24833	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI48	Testing	INI48_s_asian	7756	NA	NA	South Asian	UK		UKB	
GBE_INI48	Testing	INI48_african	6418	NA	NA	African unspecified	UK		UKB	
GBE_INI48	Testing	INI48_e_asian	1698	NA	NA	East Asian	UK		UKB	
GBE_INI23123	Score development		265084	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23123	Testing	INI23123_test	66244	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23123	Testing	INI23123_non_british_white	24458	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23123	Testing	INI23123_s_asian	7648	NA	NA	South Asian	UK		UKB	
GBE_INI23123	Testing	INI23123_african	6301	NA	NA	African unspecified	UK		UKB	
GBE_INI23123	Testing	INI23123_e_asian	1678	NA	NA	East Asian	UK		UKB	
GBE_INI30080	Score development		262325	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30080	Testing	INI30080_test	65637	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30080	Testing	INI30080_non_british_white	24175	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30080	Testing	INI30080_s_asian	7520	NA	NA	South Asian	UK		UKB	
GBE_INI30080	Testing	INI30080_african	6139	NA	NA	African unspecified	UK		UKB	
GBE_INI30080	Testing	INI30080_e_asian	1655	NA	NA	East Asian	UK		UKB	
GBE_INI49	Score development		269232	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI49	Testing	INI49_test	67319	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI49	Testing	INI49_non_british_white	24833	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI49	Testing	INI49_s_asian	7755	NA	NA	South Asian	UK		UKB	
GBE_INI49	Testing	INI49_african	6416	NA	NA	African unspecified	UK		UKB	
GBE_INI49	Testing	INI49_e_asian	1698	NA	NA	East Asian	UK		UKB	
GBE_QT_FC1001697	Score development		265710	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_QT_FC1001697	Testing	QT_FC1001697_test	66430	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_QT_FC1001697	Testing	QT_FC1001697_non_british_white	24391	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_QT_FC1001697	Testing	QT_FC1001697_s_asian	7225	NA	NA	South Asian	UK		UKB	
GBE_QT_FC1001697	Testing	QT_FC1001697_african	6049	NA	NA	African unspecified	UK		UKB	
GBE_QT_FC1001697	Testing	QT_FC1001697_e_asian	1574	NA	NA	East Asian	UK		UKB	
GBE_INI30100	Score development		262322	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30100	Testing	INI30100_test	65636	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30100	Testing	INI30100_non_british_white	24175	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30100	Testing	INI30100_s_asian	7520	NA	NA	South Asian	UK		UKB	
GBE_INI30100	Testing	INI30100_african	6139	NA	NA	African unspecified	UK		UKB	
GBE_INI30100	Testing	INI30100_e_asian	1655	NA	NA	East Asian	UK		UKB	
GBE_INI23119	Score development		265125	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23119	Testing	INI23119_test	66253	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23119	Testing	INI23119_non_british_white	24458	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23119	Testing	INI23119_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23119	Testing	INI23119_african	6302	NA	NA	African unspecified	UK		UKB	
GBE_INI23119	Testing	INI23119_e_asian	1678	NA	NA	East Asian	UK		UKB	
GBE_INI23112	Score development		265162	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI23112	Testing	INI23112_test	66259	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI23112	Testing	INI23112_non_british_white	24463	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI23112	Testing	INI23112_s_asian	7649	NA	NA	South Asian	UK		UKB	
GBE_INI23112	Testing	INI23112_african	6305	NA	NA	African unspecified	UK		UKB	
GBE_INI23112	Testing	INI23112_e_asian	1680	NA	NA	East Asian	UK		UKB	
GBE_INI30770	Score development		256553	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30770	Testing	INI30770_test	64106	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30770	Testing	INI30770_non_british_white	23653	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30770	Testing	INI30770_s_asian	7373	NA	NA	South Asian	UK		UKB	
GBE_INI30770	Testing	INI30770_african	6058	NA	NA	African unspecified	UK		UKB	
GBE_INI30770	Testing	INI30770_e_asian	1609	NA	NA	East Asian	UK		UKB	
GBE_INI30880	Score development		257531	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30880	Testing	INI30880_test	64383	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30880	Testing	INI30880_non_british_white	23752	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30880	Testing	INI30880_s_asian	7418	NA	NA	South Asian	UK		UKB	
GBE_INI30880	Testing	INI30880_african	6093	NA	NA	African unspecified	UK		UKB	
GBE_INI30880	Testing	INI30880_e_asian	1614	NA	NA	East Asian	UK		UKB	
GBE_INI46	Score development		268691	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI46	Testing	INI46_test	67154	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI46	Testing	INI46_non_british_white	24787	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI46	Testing	INI46_s_asian	7727	NA	NA	South Asian	UK		UKB	
GBE_INI46	Testing	INI46_african	6406	NA	NA	African unspecified	UK		UKB	
GBE_INI46	Testing	INI46_e_asian	1696	NA	NA	East Asian	UK		UKB	
GBE_INI30200	Score development		261893	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30200	Testing	INI30200_test	65520	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30200	Testing	INI30200_non_british_white	24130	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30200	Testing	INI30200_s_asian	7491	NA	NA	South Asian	UK		UKB	
GBE_INI30200	Testing	INI30200_african	6120	NA	NA	African unspecified	UK		UKB	
GBE_INI30200	Testing	INI30200_e_asian	1654	NA	NA	East Asian	UK		UKB	
GBE_INI47	Score development		268689	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI47	Testing	INI47_test	67185	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI47	Testing	INI47_non_british_white	24789	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI47	Testing	INI47_s_asian	7741	NA	NA	South Asian	UK		UKB	
GBE_INI47	Testing	INI47_african	6401	NA	NA	African unspecified	UK		UKB	
GBE_INI47	Testing	INI47_e_asian	1696	NA	NA	East Asian	UK		UKB	
GBE_INI30830	Score development		234684	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30830	Testing	INI30830_test	58525	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30830	Testing	INI30830_non_british_white	21531	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30830	Testing	INI30830_s_asian	6736	NA	NA	South Asian	UK		UKB	
GBE_INI30830	Testing	INI30830_african	5606	NA	NA	African unspecified	UK		UKB	
GBE_INI30830	Testing	INI30830_e_asian	1463	NA	NA	East Asian	UK		UKB	
GBE_INI30700	Score development		257730	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30700	Testing	INI30700_test	64433	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30700	Testing	INI30700_non_british_white	23762	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30700	Testing	INI30700_s_asian	7427	NA	NA	South Asian	UK		UKB	
GBE_INI30700	Testing	INI30700_african	6097	NA	NA	African unspecified	UK		UKB	
GBE_INI30700	Testing	INI30700_e_asian	1615	NA	NA	East Asian	UK		UKB	
GBE_INI30610	Score development		257864	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30610	Testing	INI30610_test	64471	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30610	Testing	INI30610_non_british_white	23771	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30610	Testing	INI30610_s_asian	7427	NA	NA	South Asian	UK		UKB	
GBE_INI30610	Testing	INI30610_african	6101	NA	NA	African unspecified	UK		UKB	
GBE_INI30610	Testing	INI30610_e_asian	1616	NA	NA	East Asian	UK		UKB	
GBE_INI30190	Score development		261893	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30190	Testing	INI30190_test	65520	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30190	Testing	INI30190_non_british_white	24130	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30190	Testing	INI30190_s_asian	7491	NA	NA	South Asian	UK		UKB	
GBE_INI30190	Testing	INI30190_african	6120	NA	NA	African unspecified	UK		UKB	
GBE_INI30190	Testing	INI30190_e_asian	1654	NA	NA	East Asian	UK		UKB	
GBE_INI30620	Score development		257756	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30620	Testing	INI30620_test	64440	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30620	Testing	INI30620_non_british_white	23758	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30620	Testing	INI30620_s_asian	7414	NA	NA	South Asian	UK		UKB	
GBE_INI30620	Testing	INI30620_african	6099	NA	NA	African unspecified	UK		UKB	
GBE_INI30620	Testing	INI30620_e_asian	1615	NA	NA	East Asian	UK		UKB	
GBE_INI30890	Score development		246704	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30890	Testing	INI30890_test	61724	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30890	Testing	INI30890_non_british_white	22820	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30890	Testing	INI30890_s_asian	6507	NA	NA	South Asian	UK		UKB	
GBE_INI30890	Testing	INI30890_african	5926	NA	NA	African unspecified	UK		UKB	
GBE_INI30890	Testing	INI30890_e_asian	1570	NA	NA	East Asian	UK		UKB	
GBE_INI30730	Score development		257732	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30730	Testing	INI30730_test	64433	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30730	Testing	INI30730_non_british_white	23750	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30730	Testing	INI30730_s_asian	7426	NA	NA	South Asian	UK		UKB	
GBE_INI30730	Testing	INI30730_african	6097	NA	NA	African unspecified	UK		UKB	
GBE_INI30730	Testing	INI30730_e_asian	1614	NA	NA	East Asian	UK		UKB	
GBE_INI30790	Score development		205656	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30790	Testing	INI30790_test	51385	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30790	Testing	INI30790_non_british_white	19197	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30790	Testing	INI30790_s_asian	6542	NA	NA	South Asian	UK		UKB	
GBE_INI30790	Testing	INI30790_african	5086	NA	NA	African unspecified	UK		UKB	
GBE_INI30790	Testing	INI30790_e_asian	1452	NA	NA	East Asian	UK		UKB	
GBE_INI30660	Score development		220261	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI30660	Testing	INI30660_test	54944	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI30660	Testing	INI30660_non_british_white	20309	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI30660	Testing	INI30660_s_asian	6150	NA	NA	South Asian	UK		UKB	
GBE_INI30660	Testing	INI30660_african	5082	NA	NA	African unspecified	UK		UKB	
GBE_INI30660	Testing	INI30660_e_asian	1363	NA	NA	East Asian	UK		UKB	
GBE_INI10030660	Score development		217244	NA	NA	European	UK	white British ancestry	UKB	Training + validation cohort (train_val)
GBE_INI10030660	Testing	INI10030660_test	54157	NA	NA	European	UK	white British ancestry	UKB	Testing cohort (heldout set)
GBE_INI10030660	Testing	INI10030660_non_british_white	20092	NA	NA	European	UK	non-white British ancestry	UKB	
GBE_INI10030660	Testing	INI10030660_s_asian	6043	NA	NA	South Asian	UK		UKB	
GBE_INI10030660	Testing	INI10030660_african	5007	NA	NA	African unspecified	UK		UKB	
