#trait	split	trait_name	AUROC	other_metric	covariates
GBE_BIN_FC1001747	BIN_FC1001747_african	Hair colour (natural, before greying) blonde	0.994526118235846	Diff R2 (full-covars) = -0.00359712230215825	age, sex Genotype PCs
GBE_BIN_FC10006152	BIN_FC10006152_test	Hayfever allergic rhinitis or eczema	0.609883741178103		
GBE_BIN_FC10006152	BIN_FC10006152_non_british_white	Hayfever allergic rhinitis or eczema	0.600110600156298		
GBE_BIN_FC10006152	BIN_FC10006152_s_asian	Hayfever allergic rhinitis or eczema	0.581225505777629		
GBE_BIN_FC10006152	BIN_FC10006152_e_asian	Hayfever allergic rhinitis or eczema	0.555143732649215		
GBE_BIN_FC10006152	BIN_FC10006152_african	Hayfever allergic rhinitis or eczema	0.541800698367603		
GBE_BIN_FC10006152	BIN_FC10006152_test	Hayfever allergic rhinitis or eczema	0.637087136999019	Diff R2 (full-covars) = 0.0535794474857554	age, sex Genotype PCs
GBE_BIN_FC10006152	BIN_FC10006152_non_british_white	Hayfever allergic rhinitis or eczema	0.633172079342084	Diff R2 (full-covars) = 0.0391454377939643	age, sex Genotype PCs
GBE_BIN_FC10006152	BIN_FC10006152_s_asian	Hayfever allergic rhinitis or eczema	0.601054905483463	Diff R2 (full-covars) = 0.0413090182652992	age, sex Genotype PCs
GBE_BIN_FC10006152	BIN_FC10006152_e_asian	Hayfever allergic rhinitis or eczema	0.601697278405711	Diff R2 (full-covars) = 0.0116172789014483	age, sex Genotype PCs
GBE_BIN_FC10006152	BIN_FC10006152_african	Hayfever allergic rhinitis or eczema	0.611398947111278	Diff R2 (full-covars) = 0.0050718639147993	age, sex Genotype PCs
GBE_BIN_FC4006152	BIN_FC4006152_test	Asthma diagnosed by doctor	0.642652590443828		
GBE_BIN_FC4006152	BIN_FC4006152_non_british_white	Asthma diagnosed by doctor	0.645684214237852		
GBE_BIN_FC4006152	BIN_FC4006152_s_asian	Asthma diagnosed by doctor	0.596457410518175		
GBE_BIN_FC4006152	BIN_FC4006152_e_asian	Asthma diagnosed by doctor	0.531032847148109		
GBE_BIN_FC4006152	BIN_FC4006152_african	Asthma diagnosed by doctor	0.564487127955452		
GBE_BIN_FC4006152	BIN_FC4006152_test	Asthma diagnosed by doctor	0.650799807094715	Diff R2 (full-covars) = 0.0984902497832278	age, sex Genotype PCs
GBE_BIN_FC4006152	BIN_FC4006152_non_british_white	Asthma diagnosed by doctor	0.664095367615047	Diff R2 (full-covars) = 0.0831934494060546	age, sex Genotype PCs
GBE_BIN_FC4006152	BIN_FC4006152_s_asian	Asthma diagnosed by doctor	0.610163923635068	Diff R2 (full-covars) = 0.0492858285588662	age, sex Genotype PCs
GBE_BIN_FC4006152	BIN_FC4006152_e_asian	Asthma diagnosed by doctor	0.610980671172775	Diff R2 (full-covars) = -0.00963674453535712	age, sex Genotype PCs
GBE_BIN_FC4006152	BIN_FC4006152_african	Asthma diagnosed by doctor	0.645340326355438	Diff R2 (full-covars) = 0.00716212098619862	age, sex Genotype PCs
GBE_HC269	HC269_test	High cholesterol	0.619717260771784		
GBE_HC269	HC269_non_british_white	High cholesterol	0.621580865379436		
GBE_HC269	HC269_s_asian	High cholesterol	0.577910850612096		
GBE_HC269	HC269_e_asian	High cholesterol	0.582986221095976		
GBE_HC269	HC269_african	High cholesterol	0.55908615913636		
GBE_HC269	HC269_test	High cholesterol	0.727681603938496	Diff R2 (full-covars) = 0.0350460708165395	age, sex Genotype PCs
GBE_HC269	HC269_non_british_white	High cholesterol	0.736173950811969	Diff R2 (full-covars) = 0.0319595440700299	age, sex Genotype PCs
GBE_HC269	HC269_s_asian	High cholesterol	0.684931542009065	Diff R2 (full-covars) = 0.0160833158800401	age, sex Genotype PCs
GBE_HC269	HC269_e_asian	High cholesterol	0.72115140956604	Diff R2 (full-covars) = 0.0189459930313539	age, sex Genotype PCs
GBE_HC269	HC269_african	High cholesterol	0.719816394100042	Diff R2 (full-covars) = 0.00532713537294993	age, sex Genotype PCs
GBE_BIN_FC4001747	BIN_FC4001747_test	Hair colour (natural, before greying) dark brown	0.775880428703904		
GBE_BIN_FC4001747	BIN_FC4001747_non_british_white	Hair colour (natural, before greying) dark brown	0.735908647455618		
GBE_BIN_FC4001747	BIN_FC4001747_s_asian	Hair colour (natural, before greying) dark brown	0.412521975574881		
GBE_BIN_FC4001747	BIN_FC4001747_e_asian	Hair colour (natural, before greying) dark brown	0.467041119903217		
GBE_BIN_FC4001747	BIN_FC4001747_african	Hair colour (natural, before greying) dark brown	0.360038786089797		
GBE_BIN_FC4001747	BIN_FC4001747_test	Hair colour (natural, before greying) dark brown	0.776768966376043	Diff R2 (full-covars) = 0.255730638464125	age, sex Genotype PCs
GBE_BIN_FC4001747	BIN_FC4001747_non_british_white	Hair colour (natural, before greying) dark brown	0.733824300709439	Diff R2 (full-covars) = 0.135328391300423	age, sex Genotype PCs
GBE_BIN_FC4001747	BIN_FC4001747_s_asian	Hair colour (natural, before greying) dark brown	0.665104510663408	Diff R2 (full-covars) = -0.086172749965419	age, sex Genotype PCs
GBE_BIN_FC4001747	BIN_FC4001747_e_asian	Hair colour (natural, before greying) dark brown	0.616336859777553	Diff R2 (full-covars) = -0.0491068673077578	age, sex Genotype PCs
GBE_BIN_FC4001747	BIN_FC4001747_african	Hair colour (natural, before greying) dark brown	0.651559846338485	Diff R2 (full-covars) = -0.105507110700735	age, sex Genotype PCs
GBE_HC643	HC643_test	TTE other hypothyroidism	0.689622377055084		
GBE_HC643	HC643_non_british_white	TTE other hypothyroidism	0.682427042808028		
GBE_HC643	HC643_s_asian	TTE other hypothyroidism	0.647500316817975		
GBE_HC643	HC643_e_asian	TTE other hypothyroidism	0.609121658701096		
GBE_HC643	HC643_african	TTE other hypothyroidism	0.586833479622604		
GBE_HC643	HC643_test	TTE other hypothyroidism	0.766544517226651	Diff R2 (full-covars) = 0.0732306072334573	age, sex Genotype PCs
GBE_HC643	HC643_non_british_white	TTE other hypothyroidism	0.763014649795305	Diff R2 (full-covars) = 0.0667031265518785	age, sex Genotype PCs
GBE_HC643	HC643_s_asian	TTE other hypothyroidism	0.740108772039091	Diff R2 (full-covars) = 0.0388271633120736	age, sex Genotype PCs
GBE_HC643	HC643_e_asian	TTE other hypothyroidism	0.714686249663249	Diff R2 (full-covars) = 0.0348921904153615	age, sex Genotype PCs
GBE_HC643	HC643_african	TTE other hypothyroidism	0.708622538048726	Diff R2 (full-covars) = 0.0111838418909906	age, sex Genotype PCs
GBE_HC219	HC219_test	Hypothyroidism/myxoedema	0.689070474409782		
GBE_HC219	HC219_non_british_white	Hypothyroidism/myxoedema	0.682326694651957		
GBE_HC219	HC219_s_asian	Hypothyroidism/myxoedema	0.64506929694421		
GBE_HC219	HC219_e_asian	Hypothyroidism/myxoedema	0.58777413345828		
GBE_HC219	HC219_african	Hypothyroidism/myxoedema	0.582765775093178		
GBE_HC219	HC219_test	Hypothyroidism/myxoedema	0.768020338622785	Diff R2 (full-covars) = 0.0727796041871578	age, sex Genotype PCs
GBE_HC219	HC219_non_british_white	Hypothyroidism/myxoedema	0.764346605438151	Diff R2 (full-covars) = 0.0656512431665672	age, sex Genotype PCs
GBE_HC219	HC219_s_asian	Hypothyroidism/myxoedema	0.746275433784108	Diff R2 (full-covars) = 0.0369434719805933	age, sex Genotype PCs
GBE_HC219	HC219_e_asian	Hypothyroidism/myxoedema	0.689027804760974	Diff R2 (full-covars) = 0.0184222255237027	age, sex Genotype PCs
GBE_HC219	HC219_african	Hypothyroidism/myxoedema	0.709143575878614	Diff R2 (full-covars) = 0.00847248323906169	age, sex Genotype PCs
GBE_BIN_FC10001727	BIN_FC10001727_test	Ease of skin tanning (Get very tanned)	0.717324002084464		
GBE_BIN_FC10001727	BIN_FC10001727_non_british_white	Ease of skin tanning (Get very tanned)	0.750191007435065		
GBE_BIN_FC10001727	BIN_FC10001727_s_asian	Ease of skin tanning (Get very tanned)	0.514565510437789		
GBE_BIN_FC10001727	BIN_FC10001727_e_asian	Ease of skin tanning (Get very tanned)	0.535114254432436		
GBE_BIN_FC10001727	BIN_FC10001727_african	Ease of skin tanning (Get very tanned)	0.423030995676195		
GBE_BIN_FC10001727	BIN_FC10001727_test	Ease of skin tanning (Get very tanned)	0.737837356667926	Diff R2 (full-covars) = 0.154878186662937	age, sex Genotype PCs
GBE_BIN_FC10001727	BIN_FC10001727_non_british_white	Ease of skin tanning (Get very tanned)	0.747514748292138	Diff R2 (full-covars) = 0.078938258776504	age, sex Genotype PCs
GBE_BIN_FC10001727	BIN_FC10001727_s_asian	Ease of skin tanning (Get very tanned)	0.530711123229714	Diff R2 (full-covars) = -0.0220595916816885	age, sex Genotype PCs
GBE_BIN_FC10001727	BIN_FC10001727_e_asian	Ease of skin tanning (Get very tanned)	0.57444550399096	Diff R2 (full-covars) = 0.0116020343293071	age, sex Genotype PCs
GBE_BIN_FC10001727	BIN_FC10001727_african	Ease of skin tanning (Get very tanned)	0.55471507156848	Diff R2 (full-covars) = -0.0974418462534688	age, sex Genotype PCs
GBE_BIN_FC7001747	BIN_FC7001747_test	Hair colour (natural, before greying) brown	0.695111696281526		
GBE_BIN_FC7001747	BIN_FC7001747_non_british_white	Hair colour (natural, before greying) brown	0.624440378365004		
GBE_BIN_FC7001747	BIN_FC7001747_s_asian	Hair colour (natural, before greying) brown	0.429956850067869		
GBE_BIN_FC7001747	BIN_FC7001747_e_asian	Hair colour (natural, before greying) brown	0.494594652810853		
GBE_BIN_FC7001747	BIN_FC7001747_african	Hair colour (natural, before greying) brown	0.398638578146353		
GBE_BIN_FC7001747	BIN_FC7001747_test	Hair colour (natural, before greying) brown	0.698817738157894	Diff R2 (full-covars) = 0.164495481990802	age, sex Genotype PCs
GBE_BIN_FC7001747	BIN_FC7001747_non_british_white	Hair colour (natural, before greying) brown	0.639857600439117	Diff R2 (full-covars) = 0.0675774316156167	age, sex Genotype PCs
GBE_BIN_FC7001747	BIN_FC7001747_s_asian	Hair colour (natural, before greying) brown	0.715607980089811	Diff R2 (full-covars) = -0.0364577534913285	age, sex Genotype PCs
GBE_BIN_FC7001747	BIN_FC7001747_e_asian	Hair colour (natural, before greying) brown	0.650068090381904	Diff R2 (full-covars) = -0.0160233780966771	age, sex Genotype PCs
GBE_BIN_FC7001747	BIN_FC7001747_african	Hair colour (natural, before greying) brown	0.717680147894778	Diff R2 (full-covars) = -0.0358278571875874	age, sex Genotype PCs
GBE_BIN_FC40001727	BIN_FC40001727_test	Ease of skin tanning (Never tan, only burn)	0.740845549203017		
GBE_BIN_FC40001727	BIN_FC40001727_non_british_white	Ease of skin tanning (Never tan, only burn)	0.776864263741656		
GBE_BIN_FC40001727	BIN_FC40001727_s_asian	Ease of skin tanning (Never tan, only burn)	0.487948297866236		
GBE_BIN_FC40001727	BIN_FC40001727_e_asian	Ease of skin tanning (Never tan, only burn)	0.468351910828024		
GBE_BIN_FC40001727	BIN_FC40001727_african	Ease of skin tanning (Never tan, only burn)	0.401463770806512		
GBE_BIN_FC40001727	BIN_FC40001727_test	Ease of skin tanning (Never tan, only burn)	0.746963549649026	Diff R2 (full-covars) = 0.186243296932612	age, sex Genotype PCs
GBE_BIN_FC40001727	BIN_FC40001727_non_british_white	Ease of skin tanning (Never tan, only burn)	0.773183317435723	Diff R2 (full-covars) = 0.083179037450996	age, sex Genotype PCs
GBE_BIN_FC40001727	BIN_FC40001727_s_asian	Ease of skin tanning (Never tan, only burn)	0.541824105674734	Diff R2 (full-covars) = -0.0426456564758502	age, sex Genotype PCs
GBE_BIN_FC40001727	BIN_FC40001727_e_asian	Ease of skin tanning (Never tan, only burn)	0.609109607218685	Diff R2 (full-covars) = -0.0406769727530042	age, sex Genotype PCs
GBE_BIN_FC40001727	BIN_FC40001727_african	Ease of skin tanning (Never tan, only burn)	0.723364032733471	Diff R2 (full-covars) = -0.0284053531574454	age, sex Genotype PCs
GBE_BIN_FC20001727	BIN_FC20001727_test	Ease of skin tanning (Get moderately tanned)	0.586610449480138		
GBE_BIN_FC20001727	BIN_FC20001727_non_british_white	Ease of skin tanning (Get moderately tanned)	0.599263039634814		
GBE_BIN_FC20001727	BIN_FC20001727_s_asian	Ease of skin tanning (Get moderately tanned)	0.495201890933048		
GBE_BIN_FC20001727	BIN_FC20001727_e_asian	Ease of skin tanning (Get moderately tanned)	0.505045032114535		
GBE_BIN_FC20001727	BIN_FC20001727_african	Ease of skin tanning (Get moderately tanned)	0.493498246164036		
GBE_BIN_FC20001727	BIN_FC20001727_test	Ease of skin tanning (Get moderately tanned)	0.591153994375893	Diff R2 (full-covars) = 0.0573891130165847	age, sex Genotype PCs
GBE_BIN_FC20001727	BIN_FC20001727_non_british_white	Ease of skin tanning (Get moderately tanned)	0.607755883773404	Diff R2 (full-covars) = 0.0267579691542069	age, sex Genotype PCs
GBE_BIN_FC20001727	BIN_FC20001727_s_asian	Ease of skin tanning (Get moderately tanned)	0.532153132340091	Diff R2 (full-covars) = -0.015705842989051	age, sex Genotype PCs
GBE_BIN_FC20001727	BIN_FC20001727_e_asian	Ease of skin tanning (Get moderately tanned)	0.568540313610105	Diff R2 (full-covars) = -0.00697190426638861	age, sex Genotype PCs
GBE_BIN_FC20001727	BIN_FC20001727_african	Ease of skin tanning (Get moderately tanned)	0.568445278137937	Diff R2 (full-covars) = -0.00633851577413902	age, sex Genotype PCs
GBE_BIN_FC3001747	BIN_FC3001747_test	Hair colour (natural, before greying) light brown	0.634494557328661		
GBE_BIN_FC3001747	BIN_FC3001747_non_british_white	Hair colour (natural, before greying) light brown	0.646698669007902		
GBE_BIN_FC3001747	BIN_FC3001747_s_asian	Hair colour (natural, before greying) light brown	0.649014690338394		
GBE_BIN_FC3001747	BIN_FC3001747_e_asian	Hair colour (natural, before greying) light brown	0.547202093397743		
GBE_BIN_FC3001747	BIN_FC3001747_african	Hair colour (natural, before greying) light brown	0.590190930237929		
GBE_BIN_FC3001747	BIN_FC3001747_test	Hair colour (natural, before greying) light brown	0.637278466690998	Diff R2 (full-covars) = 0.110012075697762	age, sex Genotype PCs
GBE_BIN_FC3001747	BIN_FC3001747_non_british_white	Hair colour (natural, before greying) light brown	0.643738078138069	Diff R2 (full-covars) = 0.08241284224456	age, sex Genotype PCs
GBE_BIN_FC3001747	BIN_FC3001747_s_asian	Hair colour (natural, before greying) light brown	0.696499384703097	Diff R2 (full-covars) = 0.0442219181905253	age, sex Genotype PCs
GBE_BIN_FC3001747	BIN_FC3001747_e_asian	Hair colour (natural, before greying) light brown	0.719102254428357	Diff R2 (full-covars) = 0.0172604669887316	age, sex Genotype PCs
GBE_BIN_FC3001747	BIN_FC3001747_african	Hair colour (natural, before greying) light brown	0.742393882862344	Diff R2 (full-covars) = 0.00442970435369883	age, sex Genotype PCs
GBE_BIN_FC5001747	BIN_FC5001747_test	Hair colour (natural, before greying) black	0.830538270498633		
GBE_BIN_FC5001747	BIN_FC5001747_non_british_white	Hair colour (natural, before greying) black	0.835086998472973		
GBE_BIN_FC5001747	BIN_FC5001747_s_asian	Hair colour (natural, before greying) black	0.593575600073213		
GBE_BIN_FC5001747	BIN_FC5001747_e_asian	Hair colour (natural, before greying) black	0.516530987394958		
GBE_BIN_FC5001747	BIN_FC5001747_african	Hair colour (natural, before greying) black	0.644429049211658		
GBE_BIN_FC5001747	BIN_FC5001747_test	Hair colour (natural, before greying) black	0.88608601520658	Diff R2 (full-covars) = 0.156695434440287	age, sex Genotype PCs
GBE_BIN_FC5001747	BIN_FC5001747_non_british_white	Hair colour (natural, before greying) black	0.866445357019936	Diff R2 (full-covars) = 0.109361865943194	age, sex Genotype PCs
GBE_BIN_FC5001747	BIN_FC5001747_s_asian	Hair colour (natural, before greying) black	0.734468547969749	Diff R2 (full-covars) = -0.00771875340759687	age, sex Genotype PCs
GBE_BIN_FC5001747	BIN_FC5001747_e_asian	Hair colour (natural, before greying) black	0.646977654698243	Diff R2 (full-covars) = -0.0135623567608859	age, sex Genotype PCs
GBE_BIN_FC5001747	BIN_FC5001747_african	Hair colour (natural, before greying) black	0.738062867365193	Diff R2 (full-covars) = -0.00157957310636614	age, sex Genotype PCs
GBE_BIN_FC2001747	BIN_FC2001747_test	Hair colour (natural, before greying) red	0.960680270800277		
GBE_BIN_FC2001747	BIN_FC2001747_non_british_white	Hair colour (natural, before greying) red	0.953317391224297		
GBE_BIN_FC2001747	BIN_FC2001747_s_asian	Hair colour (natural, before greying) red	0.377205594039995		
GBE_BIN_FC2001747	BIN_FC2001747_african	Hair colour (natural, before greying) red	0.337183098591547		
GBE_BIN_FC2001747	BIN_FC2001747_test	Hair colour (natural, before greying) red	0.961397342520108	Diff R2 (full-covars) = 0.405024766046805	age, sex Genotype PCs
GBE_BIN_FC2001747	BIN_FC2001747_non_british_white	Hair colour (natural, before greying) red	0.95372927234769	Diff R2 (full-covars) = 0.273045968646623	age, sex Genotype PCs
GBE_BIN_FC2001747	BIN_FC2001747_s_asian	Hair colour (natural, before greying) red	1	Diff R2 (full-covars) = 0	age, sex Genotype PCs
GBE_BIN_FC2001747	BIN_FC2001747_african	Hair colour (natural, before greying) red	0.662973395931147	Diff R2 (full-covars) = -0.143724569640058	age, sex Genotype PCs
GBE_BIN_FC30001727	BIN_FC30001727_test	Ease of skin tanning (Get mildly or occasionally tanned)	0.618362452704007		
GBE_BIN_FC30001727	BIN_FC30001727_non_british_white	Ease of skin tanning (Get mildly or occasionally tanned)	0.63901422426507		
GBE_BIN_FC30001727	BIN_FC30001727_s_asian	Ease of skin tanning (Get mildly or occasionally tanned)	0.500881884401851		
GBE_BIN_FC30001727	BIN_FC30001727_e_asian	Ease of skin tanning (Get mildly or occasionally tanned)	0.502351832978165		
GBE_BIN_FC30001727	BIN_FC30001727_african	Ease of skin tanning (Get mildly or occasionally tanned)	0.465125459794321		
GBE_BIN_FC30001727	BIN_FC30001727_test	Ease of skin tanning (Get mildly or occasionally tanned)	0.638184456673863	Diff R2 (full-covars) = 0.06740121071683	age, sex Genotype PCs
