Polygenic Score (PGS) ID	PGS Name	Reported Trait	URL	Mapped Trait(s) (EFO ID)	PGS Development Method	Score Development Details	Original Genome Build	Number of variants	Number of interaction terms
PGS001270	GBE_HC151	Multiple sclerosis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC151	EFO_0003885	snpnet		GRCh37	41	0
PGS000934	GBE_HC156	Nasal polyps	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC156	HP_0100582	snpnet		GRCh37	129	0
PGS001316	GBE_HC1574	AD myocardial infarction	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1574	EFO_0000612	snpnet		GRCh37	1831	0
PGS001048	GBE_HC1576	AD NSTEMI	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1576	EFO_0008586	snpnet		GRCh37	687	0
PGS001343	GBE_HC1581	AD asthma	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1581	EFO_0000270	snpnet		GRCh37	6425	0
PGS001333	GBE_HC1582	AD chronic obstructive pulmonary disease	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1582	EFO_0000341	snpnet		GRCh37	569	0
PGS000929	GBE_HC1583	AD all cause dementia	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1583	MONDO_0001627	snpnet		GRCh37	6	0
PGS001348	GBE_HC1584	AD alzheimer's disease	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC1584	EFO_0000249	snpnet		GRCh37	15	0
PGS001295	GBE_HC165	Type 2 diabetes	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC165	EFO_0001360	snpnet		GRCh37	385	0
PGS001264	GBE_HC166	DVT	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC166	EFO_0003907	snpnet		GRCh37	839	0
PGS000922	GBE_HC170	Sarcoidosis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC170	Orphanet_797	snpnet		GRCh37	12	0
PGS000964	GBE_HC176	Prolapsed disc/slipped disc	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC176	EFO_1001317	snpnet		GRCh37	47	0
PGS001254	GBE_HC177	Dupuytren's contracture	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC177	EFO_0004229	snpnet		GRCh37	11	0
PGS001256	GBE_HC188	Gallstones	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC188	EFO_0004210	snpnet		GRCh37	876	0
PGS001306	GBE_HC201	Ulcerative colitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC201	EFO_0000729	snpnet		GRCh37	179	0
PGS001277	GBE_HC203	PE +/- DVT	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC203	EFO_0003827|EFO_0003907	snpnet		GRCh37	96	0
PGS001320	GBE_HC215	Hypertension	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC215	EFO_0000537	snpnet		GRCh37	13791	0
PGS000965	GBE_HC219	Hypothyroidism/myxoedema	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC219	EFO_1001055|EFO_0004705	snpnet		GRCh37	4535	0
PGS001273	GBE_HC22	Osteoporosis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC22	EFO_0003882	snpnet		GRCh37	316	0
PGS001327	GBE_HC221	Diabetes	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC221	EFO_0000400	snpnet		GRCh37	4053	0
PGS000942	GBE_HC225	Cholecystitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC225	HP_0001082	snpnet		GRCh37	391	0
PGS000948	GBE_HC243	Inguinal hernia	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC243	HP_0000023	snpnet		GRCh37	1899	0
PGS001302	GBE_HC25	Cataract	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC25	EFO_0001059	snpnet		GRCh37	1214	0
PGS000966	GBE_HC26	Iritis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC26	EFO_1000997	snpnet		GRCh37	1	0
PGS000944	GBE_HC261	Eczema/dermatitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC261	HP_0000964|MONDO_0002406	snpnet		GRCh37	598	0
PGS000996	GBE_HC262	Diverticular disease/diverticulitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC262	EFO_0009959|EFO_1001460	snpnet		GRCh37	368	0
PGS000936	GBE_HC269	High cholesterol	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC269	HP_0003124	snpnet		GRCh37	5987	0
PGS000958	GBE_HC273	Essential hypertension	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC273	EFO_1002032	snpnet		GRCh37	9400	0
PGS001322	GBE_HC276	Glaucoma	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC276	EFO_0000516	snpnet		GRCh37	655	0
PGS001340	GBE_HC281	Atrial fibrillation	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC281	EFO_0000275	snpnet		GRCh37	2955	0
PGS001137	GBE_HC302	Retinal detachment	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC302	EFO_0005773	snpnet		GRCh37	321	0
PGS001301	GBE_HC303	Malabsorption/coeliac disease	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC303	EFO_0001060	snpnet		GRCh37	428	0
PGS001032	GBE_HC31	Uterine fibroids	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC31	EFO_0009410	snpnet		GRCh37	161	0
PGS000939	GBE_HC310	Hiatus hernia	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC310	HP_0002036	snpnet		GRCh37	2553	0
PGS001308	GBE_HC321	Sjogren's syndrome/sicca syndrome	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC321	EFO_0000699	snpnet		GRCh37	7	0
PGS001331	GBE_HC322	Crohns disease	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC322	EFO_0000384	snpnet		GRCh37	257	0
PGS001315	GBE_HC326	Heart attack (MI)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC326	EFO_0000612	snpnet		GRCh37	1788	0
PGS001248	GBE_HC328	Gout	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC328	EFO_0004274	snpnet		GRCh37	880	0
PGS001297	GBE_HC337	Type 1 diabetes	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC337	EFO_0001359	snpnet		GRCh37	69	0
PGS001290	GBE_HC376	Osteoarthritis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC376	EFO_0002506	snpnet		GRCh37	579	0
PGS001312	GBE_HC38	Psoriasis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC38	EFO_0000676	snpnet		GRCh37	204	0
PGS001341	GBE_HC382	Asthma	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC382	EFO_0000270	snpnet		GRCh37	6430	0
PGS000937	GBE_HC401	Varicose veins	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC401	HP_0002619	snpnet		GRCh37	2603	0
PGS001136	GBE_HC413	Genetic haematological disorder	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC413	EFO_0005803	snpnet		GRCh37	30	0
PGS001267	GBE_HC422	Ankylosing spondylitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC422	EFO_0003898	snpnet		GRCh37	10	0
PGS001310	GBE_HC430	Rheumatoid arthritis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC430	EFO_0000685	snpnet		GRCh37	175	0
PGS001326	GBE_HC431	Emphysema	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC431	EFO_0000464	snpnet		GRCh37	42	0
PGS001263	GBE_HC440	Atrial flutter	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC440	EFO_0003911	snpnet		GRCh37	2087	0
PGS001332	GBE_HC442	Chronic obstructive airways disease/copd	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC442	EFO_0000341	snpnet		GRCh37	482	0
PGS001259	GBE_HC49	Hayfever/allergic rhinitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC49	EFO_0003956	snpnet		GRCh37	349	0
PGS001131	GBE_HC530	TTE zoster [herpes zoster]	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC530	EFO_0006510	snpnet		GRCh37	82	0
PGS001011	GBE_HC534	TTE viral warts	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC534	EFO_0009662	snpnet		GRCh37	5	0
PGS001043	GBE_HC55	Hyperthyroidism/thyrotoxicosis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC55	EFO_0009189|EFO_0009190	snpnet		GRCh37	69	0
PGS001258	GBE_HC57	Fracture radius	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC57	EFO_0003957	snpnet		GRCh37	365	0
PGS001305	GBE_HC608	TTE vitamin b12 deficiency anaemia	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC608	EFO_0000734|MONDO_0002280	snpnet		GRCh37	121	0
PGS001024	GBE_HC61	Haemorrhoids / piles	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC61	EFO_0009552	snpnet		GRCh37	786	0
PGS001033	GBE_HC624	TTE other coagulation defects	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC624	EFO_0009314	snpnet		GRCh37	1	0
PGS000923	GBE_HC639	TTE sarcoidosis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC639	Orphanet_797	snpnet		GRCh37	22	0
PGS001181	GBE_HC643	TTE other hypothyroidism	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC643	EFO_0004705	snpnet		GRCh37	4739	0
PGS000928	GBE_HC644	TTE other non-toxic goitre	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC644	MONDO_0001658	snpnet		GRCh37	170	0
PGS001042	GBE_HC645	TTE thyrotoxicosis [hyperthyroidism]	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC645	EFO_0009190	snpnet		GRCh37	226	0
PGS001296	GBE_HC648	TTE insulin-dependent diabetes mellitus	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC648	EFO_0001359	snpnet		GRCh37	356	0
PGS001294	GBE_HC649	TTE non-insulin-dependent diabetes mellitus	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC649	EFO_0001360	snpnet		GRCh37	3496	0
PGS001329	GBE_HC652	TTE unspecified diabetes mellitus	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC652	EFO_0000400	snpnet		GRCh37	2270	0
PGS001014	GBE_HC654	TTE other disorders of pancreatic internal secretion	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC654	EFO_0009605	snpnet		GRCh37	69	0
PGS001298	GBE_HC689	TTE obesity	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC689	EFO_0001073	snpnet		GRCh37	9227	0
PGS001318	GBE_HC700	TTE disorders of lipoprotein metabolism and other lipidaemias	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC700	EFO_0000589	snpnet		GRCh37	7845	0
PGS000924	GBE_HC702	TTE disorders of porphyrin and bilirubin metabolism	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC702	MONDO_0037821|MONDO_0024431	snpnet		GRCh37	5	0
PGS001023	GBE_HC703	TTE disorders of mineral metabolism	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC703	EFO_0009556	snpnet		GRCh37	2	0
PGS001319	GBE_HC708	TTE other metabolic disorders	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC708	EFO_0000589	snpnet		GRCh37	2	0
PGS000945	GBE_HC710	TTE dementia in alzheimer's disease	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC710	HP_0000726|EFO_0000249	snpnet		GRCh37	26	0
PGS001179	GBE_HC711	TTE vascular dementia	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC711	EFO_0004718	snpnet		GRCh37	7	0
PGS000946	GBE_HC713	TTE unspecified dementia	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC713	HP_0000726	snpnet		GRCh37	9	0
PGS001135	GBE_HC78	Arthritis (nos)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC78	EFO_0005856	snpnet		GRCh37	1028	0
PGS001349	GBE_HC807	TTE alzheimer's disease	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC807	EFO_0000249	snpnet		GRCh37	6	0
PGS001271	GBE_HC810	TTE multiple sclerosis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC810	EFO_0003885	snpnet		GRCh37	36	0
PGS001282	GBE_HC815	TTE migraine	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC815	EFO_0003821	snpnet		GRCh37	329	0
PGS001026	GBE_HC83	Fracture forearm / wrist	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC83	EFO_0009514	snpnet		GRCh37	45	0
PGS001030	GBE_HC84	Pulmonary fibrosis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC84	EFO_0009448	snpnet		GRCh37	51	0
PGS001015	GBE_HC85	Enlarged prostate	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC85	EFO_0009602	snpnet		GRCh37	449	0
PGS001281	GBE_HC86	Migraine	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC86	EFO_0003821	snpnet		GRCh37	25	0
PGS001029	GBE_HC866	TTE other disorders of cornea	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC866	EFO_0009464	snpnet		GRCh37	22	0
PGS000941	GBE_HC868	TTE iridocyclitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC868	HP_0001094	snpnet		GRCh37	1	0
PGS001303	GBE_HC872	TTE other cataract	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC872	EFO_0001059	snpnet		GRCh37	480	0
PGS000990	GBE_HC878	TTE retinal detachments and breaks	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC878	EFO_0010698|EFO_0005773	snpnet		GRCh37	237	0
PGS001275	GBE_HC880	TTE other retinal disorders	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC880	EFO_0003839	snpnet		GRCh37	6	0
PGS001276	GBE_HC881	TTE retinal disorders in diseases classified elsewhere	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC881	EFO_0003839	snpnet		GRCh37	185	0
PGS001323	GBE_HC882	TTE glaucoma	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC882	EFO_0000516	snpnet		GRCh37	2066	0
PGS001287	GBE_HC91	Psoriatic arthropathy	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC91	EFO_0003778	snpnet		GRCh37	36	0
PGS001255	GBE_HC914	TTE otosclerosis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC914	EFO_0004213	snpnet		GRCh37	213	0
PGS000957	GBE_HC932	TTE essential (primary hypertension)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC932	EFO_1002032	snpnet		GRCh37	11276	0
PGS001261	GBE_HC937	TTE angina pectoris	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC937	EFO_0003913	snpnet		GRCh37	2524	0
PGS001314	GBE_HC938	TTE acute myocardial infarction	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC938	EFO_0000612	snpnet		GRCh37	1108	0
PGS000962	GBE_HC942	TTE chronic ischaemic heart disease	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC942	EFO_1001375	snpnet		GRCh37	2168	0
PGS001280	GBE_HC943	TTE PE	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC943	EFO_0003827	snpnet		GRCh37	88	0
PGS001288	GBE_HC95	Inflammatory bowel disease	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC95	EFO_0003767	snpnet		GRCh37	195	0
PGS001025	GBE_HC951	TTE nonrheumatic aortic valve disorders	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC951	EFO_0009531	snpnet		GRCh37	36	0
PGS001051	GBE_HC96	Polymyalgia rheumatica	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC96	EFO_0008518	snpnet		GRCh37	69	0
PGS001339	GBE_HC964	TTE atrial fibrillation and flutter	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC964	EFO_0000275|EFO_0003911	snpnet		GRCh37	2142	0
PGS000961	GBE_HC987	TTE phlebitis and thrombophlebitis	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC987	EFO_1001395|HP_0004418	snpnet		GRCh37	1143	0
PGS000938	GBE_HC990	TTE varicose veins of lower extremities	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/HC990	HP_0002619	snpnet		GRCh37	2563	0
	GBE_FH1001	Lung cancer (FH)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/FH1001		snpnet		GRCh37	312	0
PGS001337	GBE_FH1002	Breast cancer (FH)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/FH1002	EFO_0005606	snpnet		GRCh37	195	0
PGS001292	GBE_FH1044	Prostate cancer (FH)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/FH1044	EFO_0009640	snpnet		GRCh37	602	0
PGS001324	GBE_FH1065	High BP (FH)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/FH1065	EFO_0000493	snpnet		GRCh37	13862	0
PGS001132	GBE_FH1113	Chronic bronchitis/emphysema (FH)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/FH1113	EFO_0000493	snpnet		GRCh37	1530	0
PGS001328	GBE_FH1220	Diabetes (FH)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/FH1220	EFO_0000493	snpnet		GRCh37	2515	0
PGS001347	GBE_FH1263	Alzheimer's/dementia (FH)	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/FH1263	EFO_0009268	snpnet		GRCh37	139	0
PGS001118	GBE_BIN_FC10002492	Taking other prescription medications	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10002492	EFO_0007010	snpnet		GRCh37	1846	0
PGS001117	GBE_BIN_FC10002986	Started insulin within one year diagnosis of diabetes	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10002986	EFO_0007010	snpnet		GRCh37	68	0
PGS001284	GBE_BIN_FC10006152	Hayfever allergic rhinitis or eczema	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC10006152	EFO_0003785	snpnet		GRCh37	6755	0
PGS001253	GBE_BIN_FC1002247	Hearing difficulty	https://biobankengine.stanford.edu/RIVAS_HG19/snpnet/BIN_FC1002247	EFO_0004238	snpnet		GRCh37	3098	0
