associated_score_name	sample_set	trait_name	AUROC	R2	other_mterics	covariates
GBE_cancer1003	cancer1003_s_asian	Skin cancer	0.76232 [0.67332, 0.85131]		Incremental AUROC (full-covars) = -0.01012, Nagelkerke's R2 = 0.07091, Tjur's R2 = 0.00358	age, sex, UKB array type, Genotype PCs
GBE_cancer1003	cancer1003_e_asian	Skin cancer	0.56985 [0.36492, 0.77477]		Nagelkerke's R2 = 0.00376, Tjur's R2 = 0.00027	
GBE_cancer1003	cancer1003_e_asian	Skin cancer	0.83061 [0.75233, 0.90890]		Incremental AUROC (full-covars) = 0.00170, Nagelkerke's R2 = 0.10839, Tjur's R2 = 0.00656	age, sex, UKB array type, Genotype PCs
GBE_cancer1003	cancer1003_african	Skin cancer	0.52290 [0.37426, 0.67153]		Nagelkerke's R2 = 0.00103, Tjur's R2 = 0.00002	
GBE_cancer1003	cancer1003_african	Skin cancer	0.78777 [0.71260, 0.86293]		Incremental AUROC (full-covars) = 0.00386, Nagelkerke's R2 = 0.06151, Tjur's R2 = 0.00138	age, sex, UKB array type, Genotype PCs
GBE_cancer1038	cancer1038_test	Male genital tract cancer	0.58084 [0.56034, 0.60134]		Nagelkerke's R2 = 0.00804, Tjur's R2 = 0.00099	
GBE_cancer1038	cancer1038_test	Male genital tract cancer	0.85380 [0.84546, 0.86213]		Incremental AUROC (full-covars) = 0.00805, Nagelkerke's R2 = 0.18861, Tjur's R2 = 0.02341	age, sex, UKB array type, Genotype PCs
GBE_cancer1038	cancer1038_non_british_white	Male genital tract cancer	0.61572 [0.57768, 0.65376]		Nagelkerke's R2 = 0.01449, Tjur's R2 = 0.00130	
GBE_cancer1038	cancer1038_non_british_white	Male genital tract cancer	0.88352 [0.86817, 0.89886]		Incremental AUROC (full-covars) = 0.00892, Nagelkerke's R2 = 0.21048, Tjur's R2 = 0.02547	age, sex, UKB array type, Genotype PCs
GBE_cancer1038	cancer1038_s_asian	Male genital tract cancer	0.54773 [0.44057, 0.65489]		Nagelkerke's R2 = 0.00325, Tjur's R2 = 0.00021	
GBE_cancer1038	cancer1038_s_asian	Male genital tract cancer	0.85217 [0.80773, 0.89661]		Incremental AUROC (full-covars) = 0.00129, Nagelkerke's R2 = 0.15181, Tjur's R2 = 0.01129	age, sex, UKB array type, Genotype PCs
GBE_cancer1038	cancer1038_e_asian	Male genital tract cancer	0.45176 [0.26684, 0.63669]		Nagelkerke's R2 = 0.00070, Tjur's R2 = 0.00001	
GBE_cancer1038	cancer1038_e_asian	Male genital tract cancer	0.87441 [0.81711, 0.93171]		Incremental AUROC (full-covars) = 0.00000, Nagelkerke's R2 = 0.13571, Tjur's R2 = 0.00400	age, sex, UKB array type, Genotype PCs
GBE_cancer1038	cancer1038_african	Male genital tract cancer	0.56122 [0.49463, 0.62782]		Nagelkerke's R2 = 0.00403, Tjur's R2 = 0.00041	
GBE_cancer1038	cancer1038_african	Male genital tract cancer	0.94061 [0.92454, 0.95668]		Incremental AUROC (full-covars) = 0.00101, Nagelkerke's R2 = 0.33303, Tjur's R2 = 0.07236	age, sex, UKB array type, Genotype PCs
GBE_cancer1041	cancer1041_test	Cervical cancer	0.54769 [0.52291, 0.57247]		Nagelkerke's R2 = 0.00294, Tjur's R2 = 0.00030	
GBE_cancer1041	cancer1041_test	Cervical cancer	0.77050 [0.75816, 0.78284]		Incremental AUROC (full-covars) = 0.00962, Nagelkerke's R2 = 0.11652, Tjur's R2 = 0.00802	age, sex, UKB array type, Genotype PCs
GBE_cancer1041	cancer1041_non_british_white	Cervical cancer	0.55215 [0.51478, 0.58952]		Nagelkerke's R2 = 0.00263, Tjur's R2 = 0.00026	
GBE_cancer1041	cancer1041_non_british_white	Cervical cancer	0.76761 [0.74661, 0.78860]		Incremental AUROC (full-covars) = 0.00676, Nagelkerke's R2 = 0.11284, Tjur's R2 = 0.00871	age, sex, UKB array type, Genotype PCs
GBE_cancer1041	cancer1041_s_asian	Cervical cancer	0.46169 [0.30956, 0.61382]		Nagelkerke's R2 = 0.00058, Tjur's R2 = 0.00001	
GBE_cancer1041	cancer1041_s_asian	Cervical cancer	0.83945 [0.77567, 0.90324]		Incremental AUROC (full-covars) = -0.00075, Nagelkerke's R2 = 0.13265, Tjur's R2 = 0.00311	age, sex, UKB array type, Genotype PCs
GBE_cancer1041	cancer1041_e_asian	Cervical cancer	0.52896 [0.28465, 0.77326]		Nagelkerke's R2 = 0.00000, Tjur's R2 = 0.00000	
GBE_cancer1041	cancer1041_e_asian	Cervical cancer	0.91431 [0.84118, 0.98744]		Incremental AUROC (full-covars) = 0.00128, Nagelkerke's R2 = 0.22017, Tjur's R2 = 0.01680	age, sex, UKB array type, Genotype PCs
GBE_cancer1041	cancer1041_african	Cervical cancer	0.46736 [0.35923, 0.57549]		Nagelkerke's R2 = 0.00206, Tjur's R2 = 0.00011	
GBE_cancer1041	cancer1041_african	Cervical cancer	0.81923 [0.77827, 0.86018]		Incremental AUROC (full-covars) = -0.00507, Nagelkerke's R2 = 0.11740, Tjur's R2 = 0.00522	age, sex, UKB array type, Genotype PCs
GBE_cancer1044	cancer1044_test	Prostate cancer	0.63978 [0.62584, 0.65373]		Nagelkerke's R2 = 0.02942, Tjur's R2 = 0.00663	
GBE_cancer1044	cancer1044_test	Prostate cancer	0.88920 [0.88431, 0.89409]		Incremental AUROC (full-covars) = 0.01941, Nagelkerke's R2 = 0.27234, Tjur's R2 = 0.07073	age, sex, UKB array type, Genotype PCs
GBE_cancer1044	cancer1044_non_british_white	Prostate cancer	0.65437 [0.62906, 0.67968]		Nagelkerke's R2 = 0.03164, Tjur's R2 = 0.00565	
GBE_cancer1044	cancer1044_non_british_white	Prostate cancer	0.91101 [0.90322, 0.91879]		Incremental AUROC (full-covars) = 0.01454, Nagelkerke's R2 = 0.29589, Tjur's R2 = 0.07371	age, sex, UKB array type, Genotype PCs
GBE_cancer1044	cancer1044_s_asian	Prostate cancer	0.62511 [0.56383, 0.68640]		Nagelkerke's R2 = 0.02013, Tjur's R2 = 0.00259	
GBE_cancer1044	cancer1044_s_asian	Prostate cancer	0.90260 [0.88127, 0.92393]		Incremental AUROC (full-covars) = 0.01068, Nagelkerke's R2 = 0.25031, Tjur's R2 = 0.04873	age, sex, UKB array type, Genotype PCs
GBE_cancer1044	cancer1044_e_asian	Prostate cancer	0.63402 [0.52345, 0.74459]		Nagelkerke's R2 = 0.01286, Tjur's R2 = 0.00053	
GBE_cancer1044	cancer1044_e_asian	Prostate cancer	0.97011 [0.94971, 0.99051]		Incremental AUROC (full-covars) = 0.00138, Nagelkerke's R2 = 0.40156, Tjur's R2 = 0.08299	age, sex, UKB array type, Genotype PCs
GBE_cancer1044	cancer1044_african	Prostate cancer	0.55467 [0.51548, 0.59387]		Nagelkerke's R2 = 0.00433, Tjur's R2 = 0.00098	
GBE_cancer1044	cancer1044_african	Prostate cancer	0.92615 [0.91516, 0.93714]		Incremental AUROC (full-covars) = 0.00090, Nagelkerke's R2 = 0.36445, Tjur's R2 = 0.13960	age, sex, UKB array type, Genotype PCs
GBE_cancer1045	cancer1045_test	Testicular cancer	0.62956 [0.58302, 0.67611]		Nagelkerke's R2 = 0.01573, Tjur's R2 = 0.00048	
GBE_cancer1045	cancer1045_test	Testicular cancer	0.83915 [0.81850, 0.85981]		Incremental AUROC (full-covars) = 0.03126, Nagelkerke's R2 = 0.12910, Tjur's R2 = 0.00365	age, sex, UKB array type, Genotype PCs
GBE_cancer1045	cancer1045_non_british_white	Testicular cancer	0.62484 [0.53760, 0.71208]		Nagelkerke's R2 = 0.01529, Tjur's R2 = 0.00040	
GBE_cancer1045	cancer1045_non_british_white	Testicular cancer	0.89735 [0.86792, 0.92679]		Incremental AUROC (full-covars) = 0.01226, Nagelkerke's R2 = 0.17040, Tjur's R2 = 0.00509	age, sex, UKB array type, Genotype PCs
GBE_cancer1045	cancer1045_s_asian	Testicular cancer	0.38600 [0.09980, 0.67219]		Nagelkerke's R2 = 0.00616, Tjur's R2 = 0.00006	
GBE_cancer1045	cancer1045_s_asian	Testicular cancer	0.98160 [0.96678, 0.99641]		Incremental AUROC (full-covars) = 0.00299, Nagelkerke's R2 = 0.29699, Tjur's R2 = 0.01064	age, sex, UKB array type, Genotype PCs
GBE_cancer1059	cancer1059_test	Malignant melanoma	0.57206 [0.55302, 0.59110]		Nagelkerke's R2 = 0.00707, Tjur's R2 = 0.00104	
GBE_cancer1059	cancer1059_test	Malignant melanoma	0.60362 [0.58554, 0.62170]		Incremental AUROC (full-covars) = 0.02790, Nagelkerke's R2 = 0.01348, Tjur's R2 = 0.00184	age, sex, UKB array type, Genotype PCs
GBE_cancer1059	cancer1059_non_british_white	Malignant melanoma	0.59090 [0.56008, 0.62173]		Nagelkerke's R2 = 0.01149, Tjur's R2 = 0.00174	
GBE_cancer1059	cancer1059_non_british_white	Malignant melanoma	0.63893 [0.61070, 0.66716]		Incremental AUROC (full-covars) = 0.02384, Nagelkerke's R2 = 0.02462, Tjur's R2 = 0.00340	age, sex, UKB array type, Genotype PCs
GBE_cancer1059	cancer1059_s_asian	Malignant melanoma	0.74493 [0.36901, 1.00000]		Nagelkerke's R2 = 0.04901, Tjur's R2 = 0.00040	
GBE_cancer1059	cancer1059_s_asian	Malignant melanoma	0.81762 [0.60963, 1.00000]		Incremental AUROC (full-covars) = 0.03083, Nagelkerke's R2 = 0.07256, Tjur's R2 = 0.00053	age, sex, UKB array type, Genotype PCs
GBE_cancer1059	cancer1059_e_asian	Malignant melanoma	0.75412 [0.53449, 0.97374]		Nagelkerke's R2 = 0.06103, Tjur's R2 = 0.00249	
GBE_cancer1059	cancer1059_e_asian	Malignant melanoma	0.93529 [0.88650, 0.98409]		Incremental AUROC (full-covars) = 0.00500, Nagelkerke's R2 = 0.24041, Tjur's R2 = 0.02976	age, sex, UKB array type, Genotype PCs
GBE_cancer1059	cancer1059_african	Malignant melanoma	0.20593 [0.13426, 0.27760]		Nagelkerke's R2 = 0.03909, Tjur's R2 = 0.00013	
GBE_cancer1059	cancer1059_african	Malignant melanoma	0.87614 [0.73822, 1.00000]		Incremental AUROC (full-covars) = -0.02217, Nagelkerke's R2 = 0.05368, Tjur's R2 = 0.00021	age, sex, UKB array type, Genotype PCs
GBE_cancer1060	cancer1060_test	Non-melanoma skin cancer	0.64209 [0.63340, 0.65078]		Nagelkerke's R2 = 0.03949, Tjur's R2 = 0.01619	
GBE_cancer1060	cancer1060_test	Non-melanoma skin cancer	0.70656 [0.69863, 0.71450]		Incremental AUROC (full-covars) = 0.04717, Nagelkerke's R2 = 0.08615, Tjur's R2 = 0.03635	age, sex, UKB array type, Genotype PCs
GBE_cancer1060	cancer1060_non_british_white	Non-melanoma skin cancer	0.66327 [0.64889, 0.67765]		Nagelkerke's R2 = 0.05185, Tjur's R2 = 0.02097	
GBE_cancer1060	cancer1060_non_british_white	Non-melanoma skin cancer	0.73342 [0.72065, 0.74619]		Incremental AUROC (full-covars) = 0.03780, Nagelkerke's R2 = 0.10751, Tjur's R2 = 0.04445	age, sex, UKB array type, Genotype PCs
GBE_cancer1060	cancer1060_s_asian	Non-melanoma skin cancer	0.47181 [0.35611, 0.58752]		Nagelkerke's R2 = 0.00078, Tjur's R2 = 0.00002	
GBE_cancer1060	cancer1060_s_asian	Non-melanoma skin cancer	0.76366 [0.66832, 0.85901]		Incremental AUROC (full-covars) = -0.00934, Nagelkerke's R2 = 0.06447, Tjur's R2 = 0.00243	age, sex, UKB array type, Genotype PCs
GBE_cancer1060	cancer1060_e_asian	Non-melanoma skin cancer	0.45230 [0.16940, 0.73519]		Nagelkerke's R2 = 0.00152, Tjur's R2 = 0.00009	
GBE_cancer1060	cancer1060_e_asian	Non-melanoma skin cancer	0.86455 [0.80574, 0.92335]		Incremental AUROC (full-covars) = -0.00442, Nagelkerke's R2 = 0.12918, Tjur's R2 = 0.00524	age, sex, UKB array type, Genotype PCs
GBE_cancer1060	cancer1060_african	Non-melanoma skin cancer	0.54127 [0.39017, 0.69237]		Nagelkerke's R2 = 0.00133, Tjur's R2 = 0.00003	
GBE_cancer1060	cancer1060_african	Non-melanoma skin cancer	0.80478 [0.72556, 0.88400]		Incremental AUROC (full-covars) = -0.00066, Nagelkerke's R2 = 0.07029, Tjur's R2 = 0.00153	age, sex, UKB array type, Genotype PCs
GBE_cancer1065	cancer1065_test	Thyroid cancer	0.61843 [0.56413, 0.67273]		Nagelkerke's R2 = 0.01236, Tjur's R2 = 0.00032	
GBE_cancer1065	cancer1065_test	Thyroid cancer	0.63744 [0.59010, 0.68478]		Incremental AUROC (full-covars) = 0.03389, Nagelkerke's R2 = 0.01600, Tjur's R2 = 0.00034	age, sex, UKB array type, Genotype PCs
GBE_cancer1065	cancer1065_non_british_white	Thyroid cancer	0.55967 [0.48236, 0.63699]		Nagelkerke's R2 = 0.00455, Tjur's R2 = 0.00017	
GBE_cancer1065	cancer1065_non_british_white	Thyroid cancer	0.71465 [0.65621, 0.77309]		Incremental AUROC (full-covars) = 0.00897, Nagelkerke's R2 = 0.04643, Tjur's R2 = 0.00179	age, sex, UKB array type, Genotype PCs
GBE_cancer1065	cancer1065_s_asian	Thyroid cancer	0.51375 [0.35907, 0.66843]		Nagelkerke's R2 = 0.00022, Tjur's R2 = 0.00001	
GBE_cancer1065	cancer1065_s_asian	Thyroid cancer	0.71171 [0.57425, 0.84917]		Incremental AUROC (full-covars) = 0.00229, Nagelkerke's R2 = 0.04277, Tjur's R2 = 0.00114	age, sex, UKB array type, Genotype PCs
GBE_cancer1065	cancer1065_e_asian	Thyroid cancer	0.54057 [0.24283, 0.83831]		Nagelkerke's R2 = 0.01024, Tjur's R2 = 0.00102	
GBE_cancer1065	cancer1065_e_asian	Thyroid cancer	0.83233 [0.67782, 0.98683]		Incremental AUROC (full-covars) = -0.00184, Nagelkerke's R2 = 0.16699, Tjur's R2 = 0.02741	age, sex, UKB array type, Genotype PCs
GBE_cancer1065	cancer1065_african	Thyroid cancer	0.61010 [0.46446, 0.75575]		Nagelkerke's R2 = 0.01410, Tjur's R2 = 0.00056	
GBE_cancer1065	cancer1065_african	Thyroid cancer	0.72837 [0.59989, 0.85685]		Incremental AUROC (full-covars) = 0.01385, Nagelkerke's R2 = 0.03950, Tjur's R2 = 0.00148	age, sex, UKB array type, Genotype PCs
GBE_HC1020	HC1020_test	TTE unspecified acute lower respiratory infection	0.51573 [0.50903, 0.52242]		Nagelkerke's R2 = 0.00054, Tjur's R2 = 0.00028	
GBE_HC1020	HC1020_test	TTE unspecified acute lower respiratory infection	0.58398 [0.57742, 0.59055]		Incremental AUROC (full-covars) = 0.00092, Nagelkerke's R2 = 0.01732, Tjur's R2 = 0.00928	age, sex, UKB array type, Genotype PCs
GBE_HC1020	HC1020_non_british_white	TTE unspecified acute lower respiratory infection	0.50839 [0.49651, 0.52027]		Nagelkerke's R2 = 0.00015, Tjur's R2 = 0.00007	
GBE_HC1020	HC1020_non_british_white	TTE unspecified acute lower respiratory infection	0.59990 [0.58827, 0.61153]		Incremental AUROC (full-covars) = -0.00017, Nagelkerke's R2 = 0.02334, Tjur's R2 = 0.01147	age, sex, UKB array type, Genotype PCs
GBE_HC1020	HC1020_s_asian	TTE unspecified acute lower respiratory infection	0.47878 [0.46019, 0.49737]		Nagelkerke's R2 = 0.00104, Tjur's R2 = 0.00054	
GBE_HC1020	HC1020_s_asian	TTE unspecified acute lower respiratory infection	0.59639 [0.57815, 0.61463]		Incremental AUROC (full-covars) = -0.00306, Nagelkerke's R2 = 0.02321, Tjur's R2 = 0.01255	age, sex, UKB array type, Genotype PCs
GBE_HC1020	HC1020_e_asian	TTE unspecified acute lower respiratory infection	0.50156 [0.44741, 0.55572]		Nagelkerke's R2 = 0.00006, Tjur's R2 = 0.00002	
GBE_HC1020	HC1020_e_asian	TTE unspecified acute lower respiratory infection	0.60323 [0.54812, 0.65835]		Incremental AUROC (full-covars) = -0.00133, Nagelkerke's R2 = 0.03851, Tjur's R2 = 0.02086	age, sex, UKB array type, Genotype PCs
GBE_HC1020	HC1020_african	TTE unspecified acute lower respiratory infection	0.50444 [0.47789, 0.53099]		Nagelkerke's R2 = 0.00001, Tjur's R2 = 0.00000	
GBE_HC1020	HC1020_african	TTE unspecified acute lower respiratory infection	0.57269 [0.54679, 0.59859]		Incremental AUROC (full-covars) = -0.00336, Nagelkerke's R2 = 0.01184, Tjur's R2 = 0.00503	age, sex, UKB array type, Genotype PCs
GBE_HC1021	HC1021_test	TTE vasomotor and allergic rhinitis	0.56998 [0.56268, 0.57727]		Nagelkerke's R2 = 0.01180, Tjur's R2 = 0.00568	
GBE_HC1021	HC1021_test	TTE vasomotor and allergic rhinitis	0.59854 [0.59138, 0.60570]		Incremental AUROC (full-covars) = 0.02878, Nagelkerke's R2 = 0.02303, Tjur's R2 = 0.01128	age, sex, UKB array type, Genotype PCs
GBE_HC1021	HC1021_non_british_white	TTE vasomotor and allergic rhinitis	0.56712 [0.55454, 0.57969]		Nagelkerke's R2 = 0.00981, Tjur's R2 = 0.00437	
GBE_HC1021	HC1021_non_british_white	TTE vasomotor and allergic rhinitis	0.60030 [0.58786, 0.61273]		Incremental AUROC (full-covars) = 0.02658, Nagelkerke's R2 = 0.02170, Tjur's R2 = 0.00981	age, sex, UKB array type, Genotype PCs
GBE_HC1021	HC1021_s_asian	TTE vasomotor and allergic rhinitis	0.53239 [0.51256, 0.55222]		Nagelkerke's R2 = 0.00254, Tjur's R2 = 0.00127	
GBE_HC1021	HC1021_s_asian	TTE vasomotor and allergic rhinitis	0.55379 [0.53392, 0.57366]		Incremental AUROC (full-covars) = 0.00790, Nagelkerke's R2 = 0.00762, Tjur's R2 = 0.00379	age, sex, UKB array type, Genotype PCs
GBE_HC1021	HC1021_e_asian	TTE vasomotor and allergic rhinitis	0.51375 [0.47834, 0.54917]		Nagelkerke's R2 = 0.00105, Tjur's R2 = 0.00068	
GBE_HC1021	HC1021_e_asian	TTE vasomotor and allergic rhinitis	0.54528 [0.51116, 0.57940]		Incremental AUROC (full-covars) = 0.00387, Nagelkerke's R2 = 0.01457, Tjur's R2 = 0.00886	age, sex, UKB array type, Genotype PCs
GBE_HC1021	HC1021_african	TTE vasomotor and allergic rhinitis	0.53243 [0.50926, 0.55561]		Nagelkerke's R2 = 0.00275, Tjur's R2 = 0.00130	
GBE_HC1021	HC1021_african	TTE vasomotor and allergic rhinitis	0.56830 [0.54473, 0.59188]		Incremental AUROC (full-covars) = 0.00409, Nagelkerke's R2 = 0.01206, Tjur's R2 = 0.00626	age, sex, UKB array type, Genotype PCs
GBE_HC1024	HC1024_test	TTE nasal polyp	0.62534 [0.60798, 0.64270]		Nagelkerke's R2 = 0.01964, Tjur's R2 = 0.00293	
GBE_HC1024	HC1024_test	TTE nasal polyp	0.67606 [0.65938, 0.69275]		Incremental AUROC (full-covars) = 0.04228, Nagelkerke's R2 = 0.04173, Tjur's R2 = 0.00686	age, sex, UKB array type, Genotype PCs
GBE_HC1024	HC1024_non_british_white	TTE nasal polyp	0.62610 [0.59502, 0.65718]		Nagelkerke's R2 = 0.01830, Tjur's R2 = 0.00258	
GBE_HC1024	HC1024_non_british_white	TTE nasal polyp	0.66224 [0.63308, 0.69139]		Incremental AUROC (full-covars) = 0.04299, Nagelkerke's R2 = 0.03382, Tjur's R2 = 0.00509	age, sex, UKB array type, Genotype PCs
GBE_HC1024	HC1024_s_asian	TTE nasal polyp	0.61037 [0.55084, 0.66990]		Nagelkerke's R2 = 0.01383, Tjur's R2 = 0.00159	
GBE_HC1024	HC1024_s_asian	TTE nasal polyp	0.68977 [0.63369, 0.74584]		Incremental AUROC (full-covars) = 0.01714, Nagelkerke's R2 = 0.04721, Tjur's R2 = 0.00625	age, sex, UKB array type, Genotype PCs
GBE_HC1024	HC1024_e_asian	TTE nasal polyp	0.68691 [0.49033, 0.88349]		Nagelkerke's R2 = 0.02455, Tjur's R2 = 0.00133	
GBE_HC1024	HC1024_e_asian	TTE nasal polyp	0.79304 [0.65773, 0.92835]		Incremental AUROC (full-covars) = 0.04938, Nagelkerke's R2 = 0.12147, Tjur's R2 = 0.01722	age, sex, UKB array type, Genotype PCs
GBE_HC1024	HC1024_african	TTE nasal polyp	0.48954 [0.39183, 0.58724]		Nagelkerke's R2 = 0.00091, Tjur's R2 = 0.00007	
GBE_HC1024	HC1024_african	TTE nasal polyp	0.59241 [0.49967, 0.68514]		Incremental AUROC (full-covars) = -0.05119, Nagelkerke's R2 = 0.00952, Tjur's R2 = 0.00065	age, sex, UKB array type, Genotype PCs
GBE_HC1035	HC1035_test	TTE other chronic obstructive pulmonary disease	0.54658 [0.53390, 0.55926]		Nagelkerke's R2 = 0.00314, Tjur's R2 = 0.00077	
GBE_HC1035	HC1035_test	TTE other chronic obstructive pulmonary disease	0.72542 [0.71492, 0.73591]		Incremental AUROC (full-covars) = 0.00368, Nagelkerke's R2 = 0.08270, Tjur's R2 = 0.02443	age, sex, UKB array type, Genotype PCs
GBE_HC1035	HC1035_non_british_white	TTE other chronic obstructive pulmonary disease	0.53598 [0.51506, 0.55689]		Nagelkerke's R2 = 0.00195, Tjur's R2 = 0.00047	
GBE_HC1035	HC1035_non_british_white	TTE other chronic obstructive pulmonary disease	0.75602 [0.73955, 0.77249]		Incremental AUROC (full-covars) = 0.00136, Nagelkerke's R2 = 0.10564, Tjur's R2 = 0.03173	age, sex, UKB array type, Genotype PCs
GBE_HC1035	HC1035_s_asian	TTE other chronic obstructive pulmonary disease	0.53954 [0.49035, 0.58873]		Nagelkerke's R2 = 0.00202, Tjur's R2 = 0.00037	
GBE_HC1035	HC1035_s_asian	TTE other chronic obstructive pulmonary disease	0.74851 [0.70987, 0.78716]		Incremental AUROC (full-covars) = 0.00157, Nagelkerke's R2 = 0.09156, Tjur's R2 = 0.01989	age, sex, UKB array type, Genotype PCs
GBE_HC1035	HC1035_e_asian	TTE other chronic obstructive pulmonary disease	0.52185 [0.32406, 0.71963]		Nagelkerke's R2 = 0.00048, Tjur's R2 = 0.00002	
GBE_HC1035	HC1035_e_asian	TTE other chronic obstructive pulmonary disease	0.92777 [0.86245, 0.99310]		Incremental AUROC (full-covars) = 0.00135, Nagelkerke's R2 = 0.33262, Tjur's R2 = 0.16891	age, sex, UKB array type, Genotype PCs
GBE_HC1035	HC1035_african	TTE other chronic obstructive pulmonary disease	0.48650 [0.41003, 0.56298]		Nagelkerke's R2 = 0.00029, Tjur's R2 = 0.00003	
GBE_HC1035	HC1035_african	TTE other chronic obstructive pulmonary disease	0.75968 [0.69978, 0.81959]		Incremental AUROC (full-covars) = -0.00230, Nagelkerke's R2 = 0.09174, Tjur's R2 = 0.02068	age, sex, UKB array type, Genotype PCs
GBE_HC1036	HC1036_test	TTE asthma	0.61489 [0.60862, 0.62117]		Nagelkerke's R2 = 0.03644, Tjur's R2 = 0.02103	
GBE_HC1036	HC1036_test	TTE asthma	0.62361 [0.61737, 0.62985]		Incremental AUROC (full-covars) = 0.07368, Nagelkerke's R2 = 0.04277, Tjur's R2 = 0.02503	age, sex, UKB array type, Genotype PCs
GBE_HC1036	HC1036_non_british_white	TTE asthma	0.61803 [0.60759, 0.62848]		Nagelkerke's R2 = 0.03759, Tjur's R2 = 0.02163	
GBE_HC1036	HC1036_non_british_white	TTE asthma	0.63612 [0.62588, 0.64636]		Incremental AUROC (full-covars) = 0.06586, Nagelkerke's R2 = 0.04845, Tjur's R2 = 0.02779	age, sex, UKB array type, Genotype PCs
GBE_HC1036	HC1036_s_asian	TTE asthma	0.58128 [0.56371, 0.59884]		Nagelkerke's R2 = 0.01873, Tjur's R2 = 0.01108	
GBE_HC1036	HC1036_s_asian	TTE asthma	0.60950 [0.59223, 0.62677]		Incremental AUROC (full-covars) = 0.03317, Nagelkerke's R2 = 0.03284, Tjur's R2 = 0.01946	age, sex, UKB array type, Genotype PCs
GBE_HC1036	HC1036_e_asian	TTE asthma	0.52195 [0.47679, 0.56710]		Nagelkerke's R2 = 0.00084, Tjur's R2 = 0.00037	
GBE_HC1036	HC1036_e_asian	TTE asthma	0.58384 [0.54229, 0.62539]		Incremental AUROC (full-covars) = -0.00999, Nagelkerke's R2 = 0.02359, Tjur's R2 = 0.01257	age, sex, UKB array type, Genotype PCs
GBE_HC1036	HC1036_african	TTE asthma	0.55171 [0.53052, 0.57290]		Nagelkerke's R2 = 0.00692, Tjur's R2 = 0.00390	
GBE_HC1036	HC1036_african	TTE asthma	0.60891 [0.58896, 0.62886]		Incremental AUROC (full-covars) = 0.00272, Nagelkerke's R2 = 0.03181, Tjur's R2 = 0.01804	age, sex, UKB array type, Genotype PCs
GBE_HC1052	HC1052_test	TTE other interstitial pulmonary diseases	0.59358 [0.56068, 0.62648]		Nagelkerke's R2 = 0.01160, Tjur's R2 = 0.00088	
