#response	predictors	model	trait	metric	eval	l_eval	u_eval	P	split	n	case_n	control_n	n_variables
INI50	full_INI50	full	INI50	r2	0.60283650303694	0.573613794727602	0.632059211346277	0	e_asian	1697	NA	NA	55937
INI21001	PRS_INI21001	PRS	INI21001	r2	0.340292933795848	0.337388199861303	0.343197667730393	0	train_val	268856	NA	NA	28667
INI21001	covar_INI21001	covar	INI21001	r2	0.0128218742531496	0.0119781509636584	0.0136655975426408	0	train_val	268856	NA	NA	28667
INI21001	full_INI21001	full	INI21001	r2	0.341241372482181	0.338336775290957	0.344145969673405	0	train_val	268856	NA	NA	28667
INI21001	PRS_INI21001	PRS	INI21001	r2	0.110855599456895	0.106386745311404	0.115324453602387	0	test	67235	NA	NA	28667
INI21001	covar_INI21001	covar	INI21001	r2	0.0128501891839687	0.0111609821057904	0.0145393962621471	4.08843247517153e-191	test	67235	NA	NA	28667
INI21001	full_INI21001	full	INI21001	r2	0.121137378900806	0.116519897601099	0.125754860200512	0	test	67235	NA	NA	28667
INI21001	PRS_INI21001	PRS	INI21001	r2	0.102961096522958	0.0958124859546112	0.110109707091305	0	non_british_white	24795	NA	NA	28667
INI21001	covar_INI21001	covar	INI21001	r2	0.0343390322421063	0.029894843608867	0.0387832208753457	2.06776068236021e-190	non_british_white	24795	NA	NA	28667
INI21001	full_INI21001	full	INI21001	r2	0.131312776472272	0.123494865741039	0.139130687203506	0	non_british_white	24795	NA	NA	28667
INI21001	PRS_INI21001	PRS	INI21001	r2	0.0661779173003689	0.0555414829696064	0.0768143516311315	1.00676247430171e-115	s_asian	7639	NA	NA	28667
INI21001	covar_INI21001	covar	INI21001	r2	0.0223176752961383	0.0158507533854129	0.0287845972068636	2.25862951490007e-39	s_asian	7639	NA	NA	28667
INI21001	full_INI21001	full	INI21001	r2	0.0878600950100942	0.0758890333987535	0.0998311566214349	9.60837777750007e-155	s_asian	7639	NA	NA	28667
INI21001	PRS_INI21001	PRS	INI21001	r2	0.0202562259437837	0.0134785705933302	0.0270338812942372	2.63196909697376e-30	african	6398	NA	NA	28667
INI21001	covar_INI21001	covar	INI21001	r2	0.0457931305593086	0.035868133013543	0.0557181281050741	3.66441431373319e-67	african	6398	NA	NA	28667
INI21001	full_INI21001	full	INI21001	r2	0.0627523210646083	0.0513404469378513	0.0741641951913652	3.88537269253701e-92	african	6398	NA	NA	28667
INI21001	PRS_INI21001	PRS	INI21001	r2	0.0630220361040673	0.0407311692150967	0.0853129029930379	8.6841700442084e-26	e_asian	1696	NA	NA	28667
INI21001	covar_INI21001	covar	INI21001	r2	0.13516524909541	0.105034007828261	0.165296490362559	2.00782759898037e-55	e_asian	1696	NA	NA	28667
INI21001	full_INI21001	full	INI21001	r2	0.166443920823106	0.134216900106637	0.198670941539575	5.096915712034e-69	e_asian	1696	NA	NA	28667
HC269	PRS_HC269	PRS	HC269	auc	0.727562710958434	0.724834599791202	0.730290822125665	0	train_val	269704	36227	233477	5506
HC269	PRS_HC269	PRS	HC269	NagelkerkeR2	0.141403758920962	NA	NA	0	train_val	269704	36227	233477	5506
HC269	PRS_HC269	PRS	HC269	TjurR2	0.0883393995362811	NA	NA	0	train_val	269704	36227	233477	5506
HC269	covar_HC269	covar	HC269	auc	0.689420378194259	0.686731514586922	0.692109241801597	0	train_val	269704	36227	233477	5506
HC269	covar_HC269	covar	HC269	NagelkerkeR2	0.0945865184996003	NA	NA	0	train_val	269704	36227	233477	5506
HC269	covar_HC269	covar	HC269	TjurR2	0.0507401167303863	NA	NA	0	train_val	269704	36227	233477	5506
HC269	full_HC269	full	HC269	auc	0.779344589576501	0.776947225557034	0.781741953595967	0	train_val	269704	36227	233477	5506
HC269	full_HC269	full	HC269	NagelkerkeR2	0.212345097512819	NA	NA	0	train_val	269704	36227	233477	5506
HC269	full_HC269	full	HC269	TjurR2	0.132756515113071	NA	NA	0	train_val	269704	36227	233477	5506
HC269	PRS_HC269	PRS	HC269	auc	0.618741429018915	0.612624109504585	0.624858748533244	3.76526732228264e-292	test	67425	8999	58426	5506
HC269	PRS_HC269	PRS	HC269	NagelkerkeR2	0.0372856433622766	NA	NA	3.76526732228264e-292	test	67425	8999	58426	5506
HC269	PRS_HC269	PRS	HC269	TjurR2	0.0209117112015893	NA	NA	3.76526732228264e-292	test	67425	8999	58426	5506
HC269	covar_HC269	covar	HC269	auc	0.692735982824489	0.687377013141153	0.698094952507826	0	test	67425	8999	58426	5506
HC269	covar_HC269	covar	HC269	NagelkerkeR2	0.0984427366218964	NA	NA	0	test	67425	8999	58426	5506
HC269	covar_HC269	covar	HC269	TjurR2	0.0527971236183955	NA	NA	0	test	67425	8999	58426	5506
HC269	full_HC269	full	HC269	auc	0.727325294118741	0.722135529896194	0.732515058341289	0	test	67425	8999	58426	5506
HC269	full_HC269	full	HC269	NagelkerkeR2	0.135950505683517	NA	NA	0	test	67425	8999	58426	5506
HC269	full_HC269	full	HC269	TjurR2	0.0778582662128674	NA	NA	0	test	67425	8999	58426	5506
HC269	PRS_HC269	PRS	HC269	auc	0.617914857250437	0.607241111494142	0.628588603006733	4.96244879667754e-94	non_british_white	24905	2910	21995	5506
HC269	PRS_HC269	PRS	HC269	NagelkerkeR2	0.0338049238003142	NA	NA	4.96244879667754e-94	non_british_white	24905	2910	21995	5506
HC269	PRS_HC269	PRS	HC269	TjurR2	0.0178854205962173	NA	NA	4.96244879667754e-94	non_british_white	24905	2910	21995	5506
HC269	covar_HC269	covar	HC269	auc	0.704654525513062	0.695432048317864	0.71387700270826	8.3711215351162e-256	non_british_white	24905	2910	21995	5506
HC269	covar_HC269	covar	HC269	NagelkerkeR2	0.10279799689485	NA	NA	8.3711215351162e-256	non_british_white	24905	2910	21995	5506
HC269	covar_HC269	covar	HC269	TjurR2	0.0534609260423159	NA	NA	8.3711215351162e-256	non_british_white	24905	2910	21995	5506
HC269	full_HC269	full	HC269	auc	0.734696654737995	0.725742242875318	0.743651066600672	0	non_british_white	24905	2910	21995	5506
HC269	full_HC269	full	HC269	NagelkerkeR2	0.136396699134727	NA	NA	0	non_british_white	24905	2910	21995	5506
HC269	full_HC269	full	HC269	TjurR2	0.0754964575165479	NA	NA	0	non_british_white	24905	2910	21995	5506
HC269	PRS_HC269	PRS	HC269	auc	0.578914055858764	0.563128216699672	0.594699895017856	1.62529631898062e-22	s_asian	7831	1551	6280	5506
HC269	PRS_HC269	PRS	HC269	NagelkerkeR2	0.0195552088857688	NA	NA	1.62529631898062e-22	s_asian	7831	1551	6280	5506
HC269	PRS_HC269	PRS	HC269	TjurR2	0.0124691544280801	NA	NA	1.62529631898062e-22	s_asian	7831	1551	6280	5506
HC269	covar_HC269	covar	HC269	auc	0.668848226129023	0.654595032723082	0.683101419534964	1.42048953367825e-88	s_asian	7831	1551	6280	5506
HC269	covar_HC269	covar	HC269	NagelkerkeR2	0.0839416293699952	NA	NA	1.42048953367825e-88	s_asian	7831	1551	6280	5506
HC269	covar_HC269	covar	HC269	TjurR2	0.053203554439228	NA	NA	1.42048953367825e-88	s_asian	7831	1551	6280	5506
HC269	full_HC269	full	HC269	auc	0.685787266895818	0.671872683028408	0.699701850763229	3.42581269284329e-105	s_asian	7831	1551	6280	5506
HC269	full_HC269	full	HC269	NagelkerkeR2	0.102588085869292	NA	NA	3.42581269284329e-105	s_asian	7831	1551	6280	5506
HC269	full_HC269	full	HC269	TjurR2	0.0653318330985814	NA	NA	3.42581269284329e-105	s_asian	7831	1551	6280	5506
HC269	PRS_HC269	PRS	HC269	auc	0.563588340456585	0.541479820510372	0.585696860402799	8.98428226910097e-09	african	6497	718	5779	5506
HC269	PRS_HC269	PRS	HC269	NagelkerkeR2	0.0102182949831212	NA	NA	8.98428226910097e-09	african	6497	718	5779	5506
HC269	PRS_HC269	PRS	HC269	TjurR2	0.00514312739505977	NA	NA	8.98428226910097e-09	african	6497	718	5779	5506
HC269	covar_HC269	covar	HC269	auc	0.714489258727089	0.694956168793817	0.73402234866036	5.2694022492184e-78	african	6497	718	5779	5506
HC269	covar_HC269	covar	HC269	NagelkerkeR2	0.111948331245897	NA	NA	5.2694022492184e-78	african	6497	718	5779	5506
HC269	covar_HC269	covar	HC269	TjurR2	0.0629494023825855	NA	NA	5.2694022492184e-78	african	6497	718	5779	5506
HC269	full_HC269	full	HC269	auc	0.722763140580558	0.703558267151185	0.74196801400993	6.87554692468364e-81	african	6497	718	5779	5506
HC269	full_HC269	full	HC269	NagelkerkeR2	0.118074761605196	NA	NA	6.87554692468364e-81	african	6497	718	5779	5506
HC269	full_HC269	full	HC269	TjurR2	0.066543139514324	NA	NA	6.87554692468364e-81	african	6497	718	5779	5506
HC269	PRS_HC269	PRS	HC269	auc	0.582449714919227	0.534676727024651	0.630222702813804	0.000180682960685209	e_asian	1704	164	1540	5506
HC269	PRS_HC269	PRS	HC269	NagelkerkeR2	0.0175810289469879	NA	NA	0.000180682960685209	e_asian	1704	164	1540	5506
HC269	PRS_HC269	PRS	HC269	TjurR2	0.0090514281583918	NA	NA	0.000180682960685209	e_asian	1704	164	1540	5506
HC269	covar_HC269	covar	HC269	auc	0.702205416534685	0.659074301599835	0.745336531469534	9.19525147305709e-18	e_asian	1704	164	1540	5506
HC269	covar_HC269	covar	HC269	NagelkerkeR2	0.0959807288130677	NA	NA	9.19525147305709e-18	e_asian	1704	164	1540	5506
HC269	covar_HC269	covar	HC269	TjurR2	0.0531796417364109	NA	NA	9.19525147305709e-18	e_asian	1704	164	1540	5506
HC269	full_HC269	full	HC269	auc	0.720339721254355	0.67832625698586	0.762353185522851	3.54199131811683e-20	e_asian	1704	164	1540	5506
HC269	full_HC269	full	HC269	NagelkerkeR2	0.11240249268121	NA	NA	3.54199131811683e-20	e_asian	1704	164	1540	5506
HC269	full_HC269	full	HC269	TjurR2	0.0646525239250514	NA	NA	3.54199131811683e-20	e_asian	1704	164	1540	5506
HC382	PRS_HC382	PRS	HC382	auc	0.754228696358694	0.751559172271181	0.756898220446207	0	train_val	269704	36294	233410	6819
HC382	PRS_HC382	PRS	HC382	NagelkerkeR2	0.181975846028495	NA	NA	0	train_val	269704	36294	233410	6819
HC382	PRS_HC382	PRS	HC382	TjurR2	0.120224073705232	NA	NA	0	train_val	269704	36294	233410	6819
HC382	covar_HC382	covar	HC382	auc	0.549255495077667	0.546060095193891	0.552450894961442	3.35990835302007e-221	train_val	269704	36294	233410	6819
HC382	covar_HC382	covar	HC382	NagelkerkeR2	0.00669323858430775	NA	NA	3.35990835302007e-221	train_val	269704	36294	233410	6819
HC382	covar_HC382	covar	HC382	TjurR2	0.00378143607391185	NA	NA	3.35990835302007e-221	train_val	269704	36294	233410	6819
HC382	full_HC382	full	HC382	auc	0.751869846973054	0.749204741213032	0.754534952733076	0	train_val	269704	36294	233410	6819
HC382	full_HC382	full	HC382	NagelkerkeR2	0.177382217800665	NA	NA	0	train_val	269704	36294	233410	6819
HC382	full_HC382	full	HC382	TjurR2	0.116447696156702	NA	NA	0	train_val	269704	36294	233410	6819
HC382	PRS_HC382	PRS	HC382	auc	0.616977325991504	0.610716131504674	0.623238520478334	2.0303721267696e-293	test	67425	8934	58491	6819
HC382	PRS_HC382	PRS	HC382	NagelkerkeR2	0.0375041053631681	NA	NA	2.0303721267696e-293	test	67425	8934	58491	6819
HC382	PRS_HC382	PRS	HC382	TjurR2	0.021655471260644	NA	NA	2.0303721267696e-293	test	67425	8934	58491	6819
HC382	covar_HC382	covar	HC382	auc	0.551630946863731	0.545162407759675	0.558099485967787	7.58204672221016e-63	test	67425	8934	58491	6819
HC382	covar_HC382	covar	HC382	NagelkerkeR2	0.00747572853240138	NA	NA	7.58204672221016e-63	test	67425	8934	58491	6819
HC382	covar_HC382	covar	HC382	TjurR2	0.00422913752052787	NA	NA	7.58204672221016e-63	test	67425	8934	58491	6819
HC382	full_HC382	full	HC382	auc	0.626165005718	0.619941825467378	0.632388185968622	0	test	67425	8934	58491	6819
HC382	full_HC382	full	HC382	NagelkerkeR2	0.044219181311904	NA	NA	0	test	67425	8934	58491	6819
HC382	full_HC382	full	HC382	TjurR2	0.0258416336580281	NA	NA	0	test	67425	8934	58491	6819
HC382	PRS_HC382	PRS	HC382	auc	0.616575361154426	0.606140285312112	0.62701043699674	6.21945190074148e-107	non_british_white	24905	3243	21662	6819
HC382	PRS_HC382	PRS	HC382	NagelkerkeR2	0.0368158296418828	NA	NA	6.21945190074148e-107	non_british_white	24905	3243	21662	6819
HC382	PRS_HC382	PRS	HC382	TjurR2	0.0212185230290995	NA	NA	6.21945190074148e-107	non_british_white	24905	3243	21662	6819
HC382	covar_HC382	covar	HC382	auc	0.572705149359289	0.562373092759543	0.583037205959034	1.57508820063407e-40	non_british_white	24905	3243	21662	6819
HC382	covar_HC382	covar	HC382	NagelkerkeR2	0.0139108144212188	NA	NA	1.57508820063407e-40	non_british_white	24905	3243	21662	6819
HC382	covar_HC382	covar	HC382	TjurR2	0.00737334619880317	NA	NA	1.57508820063407e-40	non_british_white	24905	3243	21662	6819
HC382	full_HC382	full	HC382	auc	0.635504215766049	0.625313691558056	0.645694739974041	1.37928406509734e-136	non_british_white	24905	3243	21662	6819
HC382	full_HC382	full	HC382	NagelkerkeR2	0.0480848960712472	NA	NA	1.37928406509734e-136	non_british_white	24905	3243	21662	6819
HC382	full_HC382	full	HC382	TjurR2	0.0274792958076515	NA	NA	1.37928406509734e-136	non_british_white	24905	3243	21662	6819
HC382	PRS_HC382	PRS	HC382	auc	0.580310968526169	0.562436193304712	0.598185743747626	7.29156846388924e-20	s_asian	7831	1171	6660	6819
HC382	PRS_HC382	PRS	HC382	NagelkerkeR2	0.0188418787904454	NA	NA	7.29156846388924e-20	s_asian	7831	1171	6660	6819
HC382	PRS_HC382	PRS	HC382	TjurR2	0.0111907027445618	NA	NA	7.29156846388924e-20	s_asian	7831	1171	6660	6819
HC382	covar_HC382	covar	HC382	auc	0.576066630251088	0.558572534469555	0.593560726032621	3.69935075764663e-15	s_asian	7831	1171	6660	6819
HC382	covar_HC382	covar	HC382	NagelkerkeR2	0.0143056243350332	NA	NA	3.69935075764663e-15	s_asian	7831	1171	6660	6819
HC382	covar_HC382	covar	HC382	TjurR2	0.00814692790998187	NA	NA	3.69935075764663e-15	s_asian	7831	1171	6660	6819
HC382	full_HC382	full	HC382	auc	0.608553557827683	0.590982322320043	0.626124793335322	1.04843753535825e-32	s_asian	7831	1171	6660	6819
HC382	full_HC382	full	HC382	NagelkerkeR2	0.0326100337332641	NA	NA	1.04843753535825e-32	s_asian	7831	1171	6660	6819
HC382	full_HC382	full	HC382	TjurR2	0.0193641916677756	NA	NA	1.04843753535825e-32	s_asian	7831	1171	6660	6819
HC382	PRS_HC382	PRS	HC382	auc	0.55460021802987	0.533818961657032	0.575381474402709	1.58993876222293e-07	african	6497	871	5626	6819
HC382	PRS_HC382	PRS	HC382	NagelkerkeR2	0.00777517378992053	NA	NA	1.58993876222293e-07	african	6497	871	5626	6819
HC382	PRS_HC382	PRS	HC382	TjurR2	0.00438768010912055	NA	NA	1.58993876222293e-07	african	6497	871	5626	6819
HC382	covar_HC382	covar	HC382	auc	0.609535725349299	0.589897459976725	0.629173990721872	5.10941695796126e-26	african	6497	871	5626	6819
HC382	covar_HC382	covar	HC382	NagelkerkeR2	0.0318433671164241	NA	NA	5.10941695796126e-26	african	6497	871	5626	6819
HC382	covar_HC382	covar	HC382	TjurR2	0.0178637769331704	NA	NA	5.10941695796126e-26	african	6497	871	5626	6819
HC382	full_HC382	full	HC382	auc	0.61528074304841	0.595594333001177	0.634967153095643	2.2731050968318e-29	african	6497	871	5626	6819
HC382	full_HC382	full	HC382	NagelkerkeR2	0.0362308365265726	NA	NA	2.2731050968318e-29	african	6497	871	5626	6819
HC382	full_HC382	full	HC382	TjurR2	0.0208594097164147	NA	NA	2.2731050968318e-29	african	6497	871	5626	6819
HC382	PRS_HC382	PRS	HC382	auc	0.5133094145111	0.46864445988419	0.557974369138011	0.758513098905054	e_asian	1704	166	1538	6819
HC382	PRS_HC382	PRS	HC382	NagelkerkeR2	0.000117523061877381	NA	NA	0.758513098905054	e_asian	1704	166	1538	6819
HC382	PRS_HC382	PRS	HC382	TjurR2	5.26364976378563e-05	NA	NA	0.758513098905054	e_asian	1704	166	1538	6819
HC382	covar_HC382	covar	HC382	auc	0.593306907734971	0.55111865972556	0.635495155744383	2.58338801899476e-05	e_asian	1704	166	1538	6819
HC382	covar_HC382	covar	HC382	NagelkerkeR2	0.0306894051806175	NA	NA	2.58338801899476e-05	e_asian	1704	166	1538	6819
HC382	covar_HC382	covar	HC382	TjurR2	0.0156376556275683	NA	NA	2.58338801899476e-05	e_asian	1704	166	1538	6819
HC382	full_HC382	full	HC382	auc	0.5776003885503	0.535501136470184	0.619699640630417	0.000527402740007034	e_asian	1704	166	1538	6819
HC382	full_HC382	full	HC382	NagelkerkeR2	0.0218345737617014	NA	NA	0.000527402740007034	e_asian	1704	166	1538	6819
HC382	full_HC382	full	HC382	TjurR2	0.0119535755835861	NA	NA	0.000527402740007034	e_asian	1704	166	1538	6819
