#trait	trait_name	trait_category	trait_category_plot	family
HC1047	TTE pneumonitis due to solids and liquids	Disease_outcome	Disease outcome	binomial
HC1049	TTE adult respiratory distress syndrome	Disease_outcome	Disease outcome	binomial
HC1050	TTE pulmonary oedema	Disease_outcome	Disease outcome	binomial
HC1052	TTE other interstitial pulmonary diseases	Disease_outcome	Disease outcome	binomial
HC1054	TTE pyothorax	Disease_outcome	Disease outcome	binomial
HC1056	TTE pleural effusion in conditions classified elsewhere	Disease_outcome	Disease outcome	binomial
HC106	Emphysema/chronic bronchitis	Disease_outcome	Disease outcome	binomial
HC1063	TTE respiratory disorders in diseases classified elsewhere	Disease_outcome	Disease outcome	binomial
HC1064	TTE disorders of tooth development and eruption	Disease_outcome	Disease outcome	binomial
HC1069	TTE gingivitis and periodontal diseases	Disease_outcome	Disease outcome	binomial
HC1070	TTE other disorders of gingiva and edentulous alveolar ridge	Disease_outcome	Disease outcome	binomial
HC1071	TTE dentofacial anomalies [including malocclusion]	Disease_outcome	Disease outcome	binomial
HC1072	TTE other disorders of teeth and supporting structures	Disease_outcome	Disease outcome	binomial
HC1073	TTE cysts of oral region, not elsewhere classified	Disease_outcome	Disease outcome	binomial
HC1084	TTE duodenal ulcer	Disease_outcome	Disease outcome	binomial
HC1090	TTE acute appendicitis	Disease_outcome	Disease outcome	binomial
HC1094	TTE inguinal hernia	Disease_outcome	Disease outcome	binomial
HC1095	TTE femoral hernia	Disease_outcome	Disease outcome	binomial
HC1096	TTE umbilical hernia	Disease_outcome	Disease outcome	binomial
HC1098	TTE diaphragmatic hernia	Disease_outcome	Disease outcome	binomial
HC110	Stroke	Disease_outcome	Disease outcome	binomial
HC1101	TTE crohn's disease [regional enteritis]	Disease_outcome	Disease outcome	binomial
HC1102	TTE ulcerative colitis	Disease_outcome	Disease outcome	binomial
HC1103	TTE other non-infective gastro-enteritis and colitis	Disease_outcome	Disease outcome	binomial
HC1104	TTE vascular disorders of intestine	Disease_outcome	Disease outcome	binomial
HC1106	TTE diverticular disease of intestine	Disease_outcome	Disease outcome	binomial
HC1111	TTE other diseases of anus and rectum	Disease_outcome	Disease outcome	binomial
HC1112	TTE other diseases of intestine	Disease_outcome	Disease outcome	binomial
HC1117	TTE alcoholic liver disease	Disease_outcome	Disease outcome	binomial
HC1119	TTE hepatic failure, not elsewhere classified	Disease_outcome	Disease outcome	binomial
HC1120	TTE chronic hepatitis, not elsewhere classified	Disease_outcome	Disease outcome	binomial
HC1121	TTE fibrosis and cirrhosis of liver	Disease_outcome	Disease outcome	binomial
HC1122	TTE other inflammatory liver diseases	Disease_outcome	Disease outcome	binomial
HC1123	TTE other diseases of liver	Disease_outcome	Disease outcome	binomial
HC1125	TTE cholelithiasis	Disease_outcome	Disease outcome	binomial
HC1126	TTE cholecystitis	Disease_outcome	Disease outcome	binomial
HC113	Irregular heart beat	Disease_outcome	Disease outcome	binomial
HC1132	TTE intestinal malabsorption	Disease_outcome	Disease outcome	binomial
HC1139	TTE cellulitis	Disease_outcome	Disease outcome	binomial
HC1141	TTE pilonidal cyst	Disease_outcome	Disease outcome	binomial
HC1142	TTE other local infections of skin and subcutaneous tissue	Disease_outcome	Disease outcome	binomial
HC1148	TTE atopic dermatitis	Disease_outcome	Disease outcome	binomial
HC1149	TTE seborrhoeic dermatitis	Disease_outcome	Disease outcome	binomial
HC1152	TTE irritant contact dermatitis	Disease_outcome	Disease outcome	binomial
HC1157	TTE pruritus	Disease_outcome	Disease outcome	binomial
HC1158	TTE other dermatitis	Disease_outcome	Disease outcome	binomial
HC1159	TTE psoriasis	Disease_outcome	Disease outcome	binomial
HC1161	TTE pityriasis rosea	Disease_outcome	Disease outcome	binomial
HC1162	TTE lichen planus	Disease_outcome	Disease outcome	binomial
HC1167	TTE other erythematous conditions	Disease_outcome	Disease outcome	binomial
HC1169	TTE sunburn	Disease_outcome	Disease outcome	binomial
HC117	Abdominal hernia	Disease_outcome	Disease outcome	binomial
HC1171	TTE skin changes due to chronic exposure to nonionising radiation	Disease_outcome	Disease outcome	binomial
HC1176	TTE alopecia areata	Disease_outcome	Disease outcome	binomial
HC1184	TTE follicular cysts of skin and subcutaneous tissue	Disease_outcome	Disease outcome	binomial
HC1185	TTE other follicular disorders	Disease_outcome	Disease outcome	binomial
HC1188	TTE vitiligo	Disease_outcome	Disease outcome	binomial
HC1190	TTE seborrhoeic keratosis	Disease_outcome	Disease outcome	binomial
HC1197	TTE decubitus ulcer	Disease_outcome	Disease outcome	binomial
HC12	Testicular problems (not cancer)	Disease_outcome	Disease outcome	binomial
HC1200	TTE granulomatous disorders of skin and subcutaneous tissue	Disease_outcome	Disease outcome	binomial
HC1207	TTE pyogenic arthritis	Disease_outcome	Disease outcome	binomial
HC1209	TTE reactive arthropathies	Disease_outcome	Disease outcome	binomial
HC121	Peritonitis	Disease_outcome	Disease outcome	binomial
HC1211	TTE seropositive rheumatoid arthritis	Disease_outcome	Disease outcome	binomial
HC1212	TTE other rheumatoid arthritis	Disease_outcome	Disease outcome	binomial
HC1213	TTE psoriatic and enteropathic arthropathies	Disease_outcome	Disease outcome	binomial
HC1215	TTE gout	Disease_outcome	Disease outcome	binomial
HC1218	TTE other arthritis	Disease_outcome	Disease outcome	binomial
HC122	Disorder or pituitary gland	Disease_outcome	Disease outcome	binomial
HC1220	TTE polyarthrosis	Disease_outcome	Disease outcome	binomial
HC1221	TTE coxarthrosis [arthrosis of hip]	Disease_outcome	Disease outcome	binomial
HC1222	TTE gonarthrosis [arthrosis of knee]	Disease_outcome	Disease outcome	binomial
HC1228	TTE internal derangement of knee	Disease_outcome	Disease outcome	binomial
HC123	Muscle/soft tissue problem	Disease_outcome	Disease outcome	binomial
HC1235	TTE systemic sclerosis	Disease_outcome	Disease outcome	binomial
HC1236	TTE other systemic involvement of connective tissue	Disease_outcome	Disease outcome	binomial
HC124	Undescended testicle	Disease_outcome	Disease outcome	binomial
HC1240	TTE spinal osteochondrosis	Disease_outcome	Disease outcome	binomial
HC1242	TTE ankylosing spondylitis	Disease_outcome	Disease outcome	binomial
HC1248	TTE other intervertebral disk disorders	Disease_outcome	Disease outcome	binomial
HC125	Anaemia	Disease_outcome	Disease outcome	binomial
HC1253	TTE other disorders of muscle	Disease_outcome	Disease outcome	binomial
HC1257	TTE other disorders of synovium and tendon	Disease_outcome	Disease outcome	binomial
HC1261	TTE fibroblastic disorders	Disease_outcome	Disease outcome	binomial
HC1268	TTE osteoporosis without pathological fracture	Disease_outcome	Disease outcome	binomial
HC1271	TTE disorders of continuity of bone	Disease_outcome	Disease outcome	binomial
HC1278	TTE juvenile osteochondrosis of hip and pelvis	Disease_outcome	Disease outcome	binomial
HC128	Peripheral nerve disorder	Disease_outcome	Disease outcome	binomial
HC1282	TTE other acquired deformities of musculoskeletal system and connective tissue	Disease_outcome	Disease outcome	binomial
HC1289	TTE nephrotic syndrome	Disease_outcome	Disease outcome	binomial
HC129	Muscle or soft tissue injuries	Disease_outcome	Disease outcome	binomial
HC1295	TTE chronic tubulo-interstitial nephritis	Disease_outcome	Disease outcome	binomial
HC1297	TTE obstructive and reflux uropathy	Disease_outcome	Disease outcome	binomial
HC13	Lichen sclerosis	Disease_outcome	Disease outcome	binomial
HC130	Housemaid's knee (prepatellar bursitis)	Disease_outcome	Disease outcome	binomial
HC1302	TTE chronic renal failure	Disease_outcome	Disease outcome	binomial
HC1304	TTE calculus of kidney and ureter	Disease_outcome	Disease outcome	binomial
HC1305	TTE calculus of lower urinary tract	Disease_outcome	Disease outcome	binomial
HC1307	TTE unspecified renal colic	Disease_outcome	Disease outcome	binomial
HC1313	TTE cystitis	Disease_outcome	Disease outcome	binomial
HC132	Angina	Disease_outcome	Disease outcome	binomial
HC1322	TTE hyperplasia of prostate	Disease_outcome	Disease outcome	binomial
HC1324	TTE other disorders of prostate	Disease_outcome	Disease outcome	binomial
HC1329	TTE redundant prepuce, phimosis and paraphimosis	Disease_outcome	Disease outcome	binomial
HC133	Anal fissure	Disease_outcome	Disease outcome	binomial
HC1334	TTE benign mammary dysplasia	Disease_outcome	Disease outcome	binomial
HC134	Bone disorder	Disease_outcome	Disease outcome	binomial
HC1341	TTE inflammatory disease of cervix uteri	Disease_outcome	Disease outcome	binomial
HC1346	TTE vulvovaginal ulceration and inflammation in diseases classified elsewhere	Disease_outcome	Disease outcome	binomial
HC135	Anxiety/panic attacks	Disease_outcome	Disease outcome	binomial
HC1350	TTE noninflammatory disorders of ovary, fallopian tube and broad ligament	Disease_outcome	Disease outcome	binomial
HC136	Connective tissue disorder	Disease_outcome	Disease outcome	binomial
HC1389	TTE maternal care for other conditions predominantly related to pregnancy	Disease_outcome	Disease outcome	binomial
HC1398	TTE maternal care for other known or suspected foetal problems	Disease_outcome	Disease outcome	binomial
HC1406	TTE false labour	Disease_outcome	Disease outcome	binomial
HC1407	TTE prolonged pregnancy	Disease_outcome	Disease outcome	binomial
HC1408	TTE preterm delivery	Disease_outcome	Disease outcome	binomial
HC1410	TTE abnormalities of forces of labour	Disease_outcome	Disease outcome	binomial
HC1417	TTE labour and delivery complicated by umbilical cord complications	Disease_outcome	Disease outcome	binomial
HC142	Synovitis	Disease_outcome	Disease outcome	binomial
HC143	Retinal problem	Disease_outcome	Disease outcome	binomial
HC144	Chickenpox	Disease_outcome	Disease outcome	binomial
HC146	Pleural effusion	Disease_outcome	Disease outcome	binomial
HC151	Multiple sclerosis	Disease_outcome	Disease outcome	binomial
HC1521	TTE other congenital malformations of tongue, mouth and pharynx	Disease_outcome	Disease outcome	binomial
HC1522	TTE congenital malformations of oesophagus	Disease_outcome	Disease outcome	binomial
HC153	Joint pain	Disease_outcome	Disease outcome	binomial
HC1532	TTE undescended testicle	Disease_outcome	Disease outcome	binomial
HC1540	TTE other congenital malformations of urinary system	Disease_outcome	Disease outcome	binomial
HC1541	TTE congenital deformities of hip	Disease_outcome	Disease outcome	binomial
HC155	Joint disorder	Disease_outcome	Disease outcome	binomial
HC1550	TTE other congenital malformations of limb(s)	Disease_outcome	Disease outcome	binomial
HC1552	TTE congenital malformations of spine and bony thorax	Disease_outcome	Disease outcome	binomial
HC1558	TTE other congenital malformations of skin	Disease_outcome	Disease outcome	binomial
HC156	Nasal polyps	Disease_outcome	Disease outcome	binomial
HC1563	TTE other specified congenital malformation syndromes affecting multiple systems	Disease_outcome	Disease outcome	binomial
HC157	Jaundice (unknown cause)	Disease_outcome	Disease outcome	binomial
HC1574	AD myocardial infarction	Disease_outcome	Disease outcome	binomial
HC1575	AD STEMI	Disease_outcome	Disease outcome	binomial
HC1576	AD NSTEMI	Disease_outcome	Disease outcome	binomial
HC158	Spine arthritis/spondylitis	Disease_outcome	Disease outcome	binomial
HC1581	AD asthma	Disease_outcome	Disease outcome	binomial
HC1582	AD chronic obstructive pulmonary disease	Disease_outcome	Disease outcome	binomial
HC1583	AD all cause dementia	Disease_outcome	Disease outcome	binomial
HC1584	AD alzheimer's disease	Disease_outcome	Disease outcome	binomial
HC1585	AD vascular dementia	Disease_outcome	Disease outcome	binomial
HC16	Rectal or colon adenoma/polyps	Disease_outcome	Disease outcome	binomial
HC161	Prostatitis	Disease_outcome	Disease outcome	binomial
HC163	Scleroderma/systemic sclerosis	Disease_outcome	Disease outcome	binomial
HC165	Type 2 diabetes	Disease_outcome	Disease outcome	binomial
HC166	DVT	Disease_outcome	Disease outcome	binomial
HC167	Raynaud's phenomenon/disease	Disease_outcome	Disease outcome	binomial
HC169	Pernicious anaemia	Disease_outcome	Disease outcome	binomial
HC17	Diabetic eye disease	Disease_outcome	Disease outcome	binomial
HC170	Sarcoidosis	Disease_outcome	Disease outcome	binomial
HC176	Prolapsed disc/slipped disc	Disease_outcome	Disease outcome	binomial
HC177	Dupuytren's contracture	Disease_outcome	Disease outcome	binomial
HC178	Stress	Disease_outcome	Disease outcome	binomial
HC182	Osteopenia	Disease_outcome	Disease outcome	binomial
HC184	Aortic aneurysm rupture	Disease_outcome	Disease outcome	binomial
HC188	Gallstones	Disease_outcome	Disease outcome	binomial
HC195	Ureteric obstruction/hydronephrosis	Disease_outcome	Disease outcome	binomial
HC197	Clotting disorder/excessive bleeding	Disease_outcome	Disease outcome	binomial
HC198	Hyperparathyroidism	Disease_outcome	Disease outcome	binomial
HC201	Ulcerative colitis	Disease_outcome	Disease outcome	binomial
HC203	PE +/- DVT	Disease_outcome	Disease outcome	binomial
HC205	Endometriosis	Disease_outcome	Disease outcome	binomial
HC207	Soft tissue inflammation	Disease_outcome	Disease outcome	binomial
HC210	Non-infective hepatitis	Disease_outcome	Disease outcome	binomial
HC212	Oesophageal disorder	Disease_outcome	Disease outcome	binomial
HC215	Hypertension	Disease_outcome	Disease outcome	binomial
HC218	Motor neurone disease	Disease_outcome	Disease outcome	binomial
HC219	Hypothyroidism/myxoedema	Disease_outcome	Disease outcome	binomial
HC22	Osteoporosis	Disease_outcome	Disease outcome	binomial
HC221	Diabetes	Disease_outcome	Disease outcome	binomial
HC222	Arterial embolism	Disease_outcome	Disease outcome	binomial
HC223	Fracture pelvis	Disease_outcome	Disease outcome	binomial
HC225	Cholecystitis	Disease_outcome	Disease outcome	binomial
HC231	Heart valve problem/heart murmur	Disease_outcome	Disease outcome	binomial
HC232	Abnormal smear (cervix)	Disease_outcome	Disease outcome	binomial
HC233	Mania/bipolar disorder/manic depression	Disease_outcome	Disease outcome	binomial
HC237	Back problem	Disease_outcome	Disease outcome	binomial
HC243	Inguinal hernia	Disease_outcome	Disease outcome	binomial
HC248	Allergy to house dust mite	Disease_outcome	Disease outcome	binomial
HC25	Cataract	Disease_outcome	Disease outcome	binomial
HC250	Acute infective polyneuritis/guillain-barre syndrome	Disease_outcome	Disease outcome	binomial
HC254	Uterine polyps	Disease_outcome	Disease outcome	binomial
HC255	Subarachnoid haemorrhage	Disease_outcome	Disease outcome	binomial
HC256	Fracture toe	Disease_outcome	Disease outcome	binomial
HC257	Femoral hernia	Disease_outcome	Disease outcome	binomial
HC259	Aortic stenosis	Disease_outcome	Disease outcome	binomial
HC26	Iritis	Disease_outcome	Disease outcome	binomial
HC261	Eczema/dermatitis	Disease_outcome	Disease outcome	binomial
HC262	Diverticular disease/diverticulitis	Disease_outcome	Disease outcome	binomial
HC267	Tennis elbow / lateral epicondylitis	Disease_outcome	Disease outcome	binomial
HC268	Varicose ulcer	Disease_outcome	Disease outcome	binomial
HC269	High cholesterol	Disease_outcome	Disease outcome	binomial
HC270	Encephalitis	Disease_outcome	Disease outcome	binomial
HC271	Epicondylitis	Disease_outcome	Disease outcome	binomial
HC273	Essential hypertension	Disease_outcome	Disease outcome	binomial
HC274	Umbilical hernia	Disease_outcome	Disease outcome	binomial
HC276	Glaucoma	Disease_outcome	Disease outcome	binomial
HC277	Menopausal symptoms / menopause	Disease_outcome	Disease outcome	binomial
HC28	Bronchiectasis	Disease_outcome	Disease outcome	binomial
HC281	Atrial fibrillation	Disease_outcome	Disease outcome	binomial
HC284	Fracture nose	Disease_outcome	Disease outcome	binomial
HC285	Other joint disorder	Disease_outcome	Disease outcome	binomial
HC286	Plantar fascitis	Disease_outcome	Disease outcome	binomial
HC288	Alopecia / hair loss	Disease_outcome	Disease outcome	binomial
HC290	Fracture upper arm / humerus / elbow	Disease_outcome	Disease outcome	binomial
HC294	Renal/kidney failure	Disease_outcome	Disease outcome	binomial
HC298	Chronic sinusitis	Disease_outcome	Disease outcome	binomial
HC299	Heart failure/pulmonary odema	Disease_outcome	Disease outcome	binomial
HC3	Ectopic pregnancy	Disease_outcome	Disease outcome	binomial
HC302	Retinal detachment	Disease_outcome	Disease outcome	binomial
HC303	Malabsorption/coeliac disease	Disease_outcome	Disease outcome	binomial
HC307	Colitis/not crohns or ulcerative colitis	Disease_outcome	Disease outcome	binomial
HC31	Uterine fibroids	Disease_outcome	Disease outcome	binomial
HC310	Hiatus hernia	Disease_outcome	Disease outcome	binomial
HC312	Wegners granulmatosis	Disease_outcome	Disease outcome	binomial
HC314	Fracture hand	Disease_outcome	Disease outcome	binomial
HC316	Dyspepsia / indigestion	Disease_outcome	Disease outcome	binomial
HC321	Sjogren's syndrome/sicca syndrome	Disease_outcome	Disease outcome	binomial
HC322	Crohns disease	Disease_outcome	Disease outcome	binomial
HC323	Head injury	Disease_outcome	Disease outcome	binomial
HC324	Obsessive compulsive disorder (ocd)	Disease_outcome	Disease outcome	binomial
HC326	Heart attack (MI)	Disease_outcome	Disease outcome	binomial
HC328	Gout	Disease_outcome	Disease outcome	binomial
HC33	Spinal cord disorder	Disease_outcome	Disease outcome	binomial
HC332	Post-traumatic stress disorder	Disease_outcome	Disease outcome	binomial
HC337	Type 1 diabetes	Disease_outcome	Disease outcome	binomial
HC338	Giant cell/temporal arteritis	Disease_outcome	Disease outcome	binomial
HC340	Menorrhagia (unknown cause)	Disease_outcome	Disease outcome	binomial
HC341	Fracture face / orbit / eye socket	Disease_outcome	Disease outcome	binomial
HC346	Fibromyalgia	Disease_outcome	Disease outcome	binomial
HC347	Blistering/desquamating skin disorder	Disease_outcome	Disease outcome	binomial
HC348	Bell's palsy/facial nerve palsy	Disease_outcome	Disease outcome	binomial
HC35	Sick sinus syndrome	Disease_outcome	Disease outcome	binomial
HC352	Systemic lupus erythematosis/sle	Disease_outcome	Disease outcome	binomial
HC355	Rectal prolapse	Disease_outcome	Disease outcome	binomial
HC357	Duodenal ulcer	Disease_outcome	Disease outcome	binomial
HC358	Optic neuritis	Disease_outcome	Disease outcome	binomial
HC359	Adrenocortical insufficiency/addison's disease	Disease_outcome	Disease outcome	binomial
HC36	Pneumonia	Disease_outcome	Disease outcome	binomial
HC361	Anorexia/bulimia/other eating disorder	Disease_outcome	Disease outcome	binomial
HC362	Respiratory infection	Disease_outcome	Disease outcome	binomial
HC364	Sleep apnoea	Disease_outcome	Disease outcome	binomial
HC366	Allergy/hypersensitivity/anaphylaxis	Disease_outcome	Disease outcome	binomial
HC369	Gestational diabetes	Disease_outcome	Disease outcome	binomial
HC371	Bronchitis	Disease_outcome	Disease outcome	binomial
HC376	Osteoarthritis	Disease_outcome	Disease outcome	binomial
HC38	Psoriasis	Disease_outcome	Disease outcome	binomial
HC380	Fracture ulna	Disease_outcome	Disease outcome	binomial
HC382	Asthma	Disease_outcome	Disease outcome	binomial
HC384	Throat or larynx disorder	Disease_outcome	Disease outcome	binomial
HC385	Peripheral vascular disease	Disease_outcome	Disease outcome	binomial
HC388	Diabetic neuropathy/ulcers	Disease_outcome	Disease outcome	binomial
HC39	Lichen planus	Disease_outcome	Disease outcome	binomial
HC390	Trigemminal neuralgia	Disease_outcome	Disease outcome	binomial
HC392	Pancreatitis	Disease_outcome	Disease outcome	binomial
HC395	Bladder problem (not cancer)	Disease_outcome	Disease outcome	binomial
HC396	Fracture shoulder / scapula	Disease_outcome	Disease outcome	binomial
HC40	Nervous breakdown	Disease_outcome	Disease outcome	binomial
HC400	Transient ischaemic attack (tia)	Disease_outcome	Disease outcome	binomial
HC401	Varicose veins	Disease_outcome	Disease outcome	binomial
HC402	Spinal stenosis	Disease_outcome	Disease outcome	binomial
HC405	Vaginal prolapse/uterine prolapse	Disease_outcome	Disease outcome	binomial
HC406	Fracture neck of femur / hip	Disease_outcome	Disease outcome	binomial
HC408	Polio / poliomyelitis	Disease_outcome	Disease outcome	binomial
HC410	Cervical intra-epithelial neoplasia (cin) / precancerous cells cervix	Disease_outcome	Disease outcome	binomial
HC413	Genetic haematological disorder	Disease_outcome	Disease outcome	binomial
HC417	Sclerosing cholangitis	Disease_outcome	Disease outcome	binomial
HC418	Cervical spondylosis	Disease_outcome	Disease outcome	binomial
HC419	Otosclerosis	Disease_outcome	Disease outcome	binomial
HC420	Psychological/psychiatric problem	Disease_outcome	Disease outcome	binomial
HC421	Other abdominal problem	Disease_outcome	Disease outcome	binomial
HC422	Ankylosing spondylitis	Disease_outcome	Disease outcome	binomial
HC423	Respiratory failure	Disease_outcome	Disease outcome	binomial
HC427	Ovarian cyst or cysts	Disease_outcome	Disease outcome	binomial
HC430	Rheumatoid arthritis	Disease_outcome	Disease outcome	binomial
HC431	Emphysema	Disease_outcome	Disease outcome	binomial
HC432	Mitral valve prolapse	Disease_outcome	Disease outcome	binomial
HC433	Lymphoedema	Disease_outcome	Disease outcome	binomial
HC434	Macular degeneration	Disease_outcome	Disease outcome	binomial
HC436	Acne/acne vulgaris	Disease_outcome	Disease outcome	binomial
HC44	Bile duct obstruction/ascending cholangitis	Disease_outcome	Disease outcome	binomial
HC440	Atrial flutter	Disease_outcome	Disease outcome	binomial
HC441	Hypopituitarism	Disease_outcome	Disease outcome	binomial
HC442	Chronic obstructive airways disease/copd	Disease_outcome	Disease outcome	binomial
HC445	Oesophageal varicies	Disease_outcome	Disease outcome	binomial
HC449	TTE other salmonella infections	Disease_outcome	Disease outcome	binomial
HC45	Mumps / epidemic parotitis	Disease_outcome	Disease outcome	binomial
HC451	TTE other bacterial intestinal infections	Disease_outcome	Disease outcome	binomial
HC452	TTE other bacterial foodborne intoxications	Disease_outcome	Disease outcome	binomial
HC457	TTE respiratory tuberculosis, bacteriologically and histologically confirmed	Disease_outcome	Disease outcome	binomial
HC481	TTE actinomycosis	Disease_outcome	Disease outcome	binomial
HC49	Hayfever/allergic rhinitis	Disease_outcome	Disease outcome	binomial
HC496	TTE anogenital herpesviral [herpes simplex] infections	Disease_outcome	Disease outcome	binomial
HC497	TTE other predominantly sexually transmitted diseases, not elsewhere classified	Disease_outcome	Disease outcome	binomial
HC5	Myositis/myopathy	Disease_outcome	Disease outcome	binomial
HC502	TTE other spirochaetal infections	Disease_outcome	Disease outcome	binomial
HC517	TTE viral meningitis	Disease_outcome	Disease outcome	binomial
HC528	TTE herpesviral [herpes simplex] infections	Disease_outcome	Disease outcome	binomial
HC529	TTE varicella [chickenpox]	Disease_outcome	Disease outcome	binomial
HC530	TTE zoster [herpes zoster]	Disease_outcome	Disease outcome	binomial
HC534	TTE viral warts	Disease_outcome	Disease outcome	binomial
HC537	TTE acute hepatitis a	Disease_outcome	Disease outcome	binomial
HC540	TTE chronic viral hepatitis	Disease_outcome	Disease outcome	binomial
HC547	TTE cytomegaloviral disease	Disease_outcome	Disease outcome	binomial
HC548	TTE mumps	Disease_outcome	Disease outcome	binomial
HC55	Hyperthyroidism/thyrotoxicosis	Disease_outcome	Disease outcome	binomial
HC550	TTE viral conjunctivitis	Disease_outcome	Disease outcome	binomial
HC553	TTE dermatophytosis	Disease_outcome	Disease outcome	binomial
HC561	TTE aspergillosis	Disease_outcome	Disease outcome	binomial
HC57	Fracture radius	Disease_outcome	Disease outcome	binomial
HC571	TTE unspecified malaria	Disease_outcome	Disease outcome	binomial
HC59	Thyroiditis	Disease_outcome	Disease outcome	binomial
HC590	TTE enterobiasis	Disease_outcome	Disease outcome	binomial
HC594	TTE pediculosis and phthiriasis	Disease_outcome	Disease outcome	binomial
HC595	TTE scabies	Disease_outcome	Disease outcome	binomial
HC6	Eye/eyelid problem	Disease_outcome	Disease outcome	binomial
HC60	Oesophagitis/barretts oesophagus	Disease_outcome	Disease outcome	binomial
HC604	TTE viral agents as the cause of diseases classified to other chapters	Disease_outcome	Disease outcome	binomial
HC606	TTE other and unspecified infectious diseases	Disease_outcome	Disease outcome	binomial
HC608	TTE vitamin b12 deficiency anaemia	Disease_outcome	Disease outcome	binomial
HC61	Haemorrhoids / piles	Disease_outcome	Disease outcome	binomial
HC615	TTE acquired haemolytic anaemia	Disease_outcome	Disease outcome	binomial
HC617	TTE other aplastic anaemias	Disease_outcome	Disease outcome	binomial
HC619	TTE anaemia in chronic diseases classified elsewhere	Disease_outcome	Disease outcome	binomial
HC62	Tuberculosis (tb)	Disease_outcome	Disease outcome	binomial
HC620	TTE other anaemias	Disease_outcome	Disease outcome	binomial
HC624	TTE other coagulation defects	Disease_outcome	Disease outcome	binomial
HC63	Pituitary adenoma/tumour	Disease_outcome	Disease outcome	binomial
HC639	TTE sarcoidosis	Disease_outcome	Disease outcome	binomial
HC643	TTE other hypothyroidism	Disease_outcome	Disease outcome	binomial
HC644	TTE other non-toxic goitre	Disease_outcome	Disease outcome	binomial
HC645	TTE thyrotoxicosis [hyperthyroidism]	Disease_outcome	Disease outcome	binomial
HC646	TTE thyroiditis	Disease_outcome	Disease outcome	binomial
HC648	TTE insulin-dependent diabetes mellitus	Disease_outcome	Disease outcome	binomial
HC649	TTE non-insulin-dependent diabetes mellitus	Disease_outcome	Disease outcome	binomial
HC652	TTE unspecified diabetes mellitus	Disease_outcome	Disease outcome	binomial
HC654	TTE other disorders of pancreatic internal secretion	Disease_outcome	Disease outcome	binomial
HC656	TTE hyperparathyroidism and other disorders of parathyroid gland	Disease_outcome	Disease outcome	binomial
