#trait	trait_name	trait_category	trait_category_plot	family	pred_PRS	pred_covar	pred_full	pred_delta	n_variables	WBtest_P	WBtest_BYq	WBtest_is_significant	WBtest_BHq	trait_label	PGScatalog_ID	EFO_ID	EFO_label
HC1012	TTE pneumonia due to streptococcus pneumoniae	Disease_outcome	Disease outcome	binomial	0.000180267957995956	0.00848878951865995	0.00772259466228347	-0.00076619485637648	6	0.597389959835475	1	FALSE	0.687437711134205	TTE pneumonia due to streptococcus pneumoniae (HC1012)			
HC1013	TTE pneumonia due to haemophilus influenzae	Disease_outcome	Disease outcome	binomial	0.00287389300254102	0.013543884697241	0.0125573313463179	-0.000986553350923101	3	0.320071409710567	1	FALSE	0.417078897749407	TTE pneumonia due to haemophilus influenzae (HC1013)			
HC1014	TTE bacterial pneumonia, not elsewhere classified	Disease_outcome	Disease outcome	binomial	0.000180315979558593	0.0101854638496474	0.0100805227916717	-0.0001049410579757	2	0.561262318003625	1	FALSE	0.659441086843598	TTE bacterial pneumonia, not elsewhere classified (HC1014)			
HC1017	TTE pneumonia, organism unspecified	Disease_outcome	Disease outcome	binomial	1.46256652901523e-05	0.0276608105598114	0.0275831516267786	-7.76589330327981e-05	5	0.575467743854721	1	FALSE	0.669596296752891	TTE pneumonia, organism unspecified (HC1017)			
HC102	Vertigo	Disease_outcome	Disease outcome	binomial	7.42761969114826e-05	0.00808393338169508	0.00683816980775805	-0.00124576357393703	98	0.669869914880743	1	FALSE	0.750426926834905	Vertigo (HC102)			
HC1020	TTE unspecified acute lower respiratory infection	Disease_outcome	Disease outcome	binomial	0.000540824565716541	0.0168350610900966	0.0173222616765943	0.000487200586497701	402	1.31759215390798e-05	0.000203463445502039	TRUE	2.56471607072884e-05	TTE unspecified acute lower respiratory infection (HC1020)	PGS000925	MONDO_0024355	respiratory tract infectious disease
HC1021	TTE vasomotor and allergic rhinitis	Disease_outcome	Disease outcome	binomial	0.0118005763051596	0.0111720918470524	0.0230308402513533	0.0118587484043009	1910	6.45664797191924e-83	3.41114899806158e-81	TRUE	4.29985279832069e-82	TTE vasomotor and allergic rhinitis (HC1021)	PGS001109	EFO_0007533|EFO_0005854	vasomotor rhinitis|allergic rhinitis
HC1023	TTE chronic sinusitis	Disease_outcome	Disease outcome	binomial	0.000258620283722076	0.00161559007260541	0.00184454784168693	0.00022895776908152	51	0.0559598619796066	0.685849194217115	FALSE	0.0864532912123241	TTE chronic sinusitis (HC1023)			
HC1024	TTE nasal polyp	Disease_outcome	Disease outcome	binomial	0.0196363055813785	0.0225040079805959	0.0417295367909382	0.0192255288103423	433	2.73261926276621e-42	1.00672456979055e-40	TRUE	1.26900568137363e-41	TTE nasal polyp (HC1024)	PGS000933	HP_0100582	Nasal polyposis
HC1027	TTE peritonsillar abscess	Disease_outcome	Disease outcome	binomial	0.00211748359954351	0.0215062738993039	0.0203612520573795	-0.0011450218419244	4	0.0841694689165751	1	FALSE	0.127517152811655	TTE peritonsillar abscess (HC1027)			
HC1028	TTE chronic laryngitis and laryngotracheitis	Disease_outcome	Disease outcome	binomial	0.00183007031255733	0.000590565959169581	0.00165610409614068	0.0010655381369711	26	0.139103219553647	1	FALSE	0.20119827966863	TTE chronic laryngitis and laryngotracheitis (HC1028)			
HC1029	TTE diseases of vocal cords and larynx, not elsewhere classified	Disease_outcome	Disease outcome	binomial	0.000187249065617809	0.00799059475138894	0.00801213714043929	2.15423890503486e-05	1	0.34780508407375	1	FALSE	0.44689241098146	TTE diseases of vocal cords and larynx, not elsewhere classified (HC1029)			
HC103	Thyroid goitre	Disease_outcome	Disease outcome	binomial	0.011165978012973	0.0271832778122966	0.0352218383147036	0.008038560502407	24	0.000586251292152528	0.00839510551310528	FALSE	0.00105822753427763	Thyroid goitre (HC103)			
HC1031	TTE bronchitis, not specified as acute or chronic	Disease_outcome	Disease outcome	binomial	0.000348387081140246	0.00876932203507781	0.00897118504068905	0.000201863005611241	1	0.0460193464810773	0.570209132707899	FALSE	0.071876524194497	TTE bronchitis, not specified as acute or chronic (HC1031)			
HC1033	TTE unspecified chronic bronchitis	Disease_outcome	Disease outcome	binomial	0.000210957618593439	0.0234719877327706	0.0231140093382778	-0.000357978394492801	3	0.639611284506354	1	FALSE	0.722216205088344	TTE unspecified chronic bronchitis (HC1033)			
HC1034	TTE emphysema	Disease_outcome	Disease outcome	binomial	0.00334475022238202	0.0576537557953967	0.0599981839942318	0.0023444281988351	42	3.47503532266254e-05	0.00052678908163221	FALSE	6.64033001216957e-05	TTE emphysema (HC1034)			
HC1035	TTE other chronic obstructive pulmonary disease	Disease_outcome	Disease outcome	binomial	0.00313911637256005	0.0800444318369615	0.0827034949590646	0.00265906312210309	498	9.65302498789713e-13	1.96469454272837e-11	TRUE	2.47655477148508e-12	TTE other chronic obstructive pulmonary disease (HC1035)	PGS001334	EFO_0000341	chronic obstructive pulmonary disease
HC1036	TTE asthma	Disease_outcome	Disease outcome	binomial	0.0364449995790295	0.00713171192668998	0.042768963307456	0.035637251380766	8508	2.32584484752441e-285	1.83925748221196e-283	TRUE	2.31843769832847e-284	TTE asthma (HC1036)	PGS001346	EFO_0000270	asthma
HC1038	TTE bronchiectasis	Disease_outcome	Disease outcome	binomial	0.00100349466187518	0.0332861256775896	0.0342020014512548	0.000915875773665198	76	0.0115326923529397	0.152973534600217	FALSE	0.0192827601841353	TTE bronchiectasis (HC1038)			
HC1040	TTE pneumoconiosis due to asbestos and other mineral fibres	Disease_outcome	Disease outcome	binomial	0.000711906210237106	0.142480575986935	0.141182602827239	-0.00129797315969601	11	0.376907688525707	1	FALSE	0.477859949508482	TTE pneumoconiosis due to asbestos and other mineral fibres (HC1040)			
HC1047	TTE pneumonitis due to solids and liquids	Disease_outcome	Disease outcome	binomial	0.000564960576217635	0.0384822178393253	0.0366157968011751	-0.00186642103815021	24	0.264471845080651	1	FALSE	0.353155663439607	TTE pneumonitis due to solids and liquids (HC1047)			
HC1049	TTE adult respiratory distress syndrome	Disease_outcome	Disease outcome	binomial	0.000749157845680499	0.00576027339901325	0.00591475738534683	0.000154483986333579	1	0.55686971800795	1	FALSE	0.656250834851236	TTE adult respiratory distress syndrome (HC1049)			
HC1050	TTE pulmonary oedema	Disease_outcome	Disease outcome	binomial	0.000130269179821955	0.0277158176026572	0.02770668761661	-9.12998604719883e-06	1	0.635938024185921	1	FALSE	0.719106219545496	TTE pulmonary oedema (HC1050)			
HC1052	TTE other interstitial pulmonary diseases	Disease_outcome	Disease outcome	binomial	0.0115979282811078	0.0617230542469568	0.0725505174388446	0.0108274631918878	57	1.62584043329065e-12	3.28753959515048e-11	TRUE	4.14403954087926e-12	TTE other interstitial pulmonary diseases (HC1052)	PGS001251	EFO_0004244	interstitial lung disease
HC1054	TTE pyothorax	Disease_outcome	Disease outcome	binomial	0.000437915512851033	0.0132895110268085	0.0126750837103136	-0.000614427316494901	3	0.499785019611106	1	FALSE	0.604454061585302	TTE pyothorax (HC1054)			
HC1056	TTE pleural effusion in conditions classified elsewhere	Disease_outcome	Disease outcome	binomial	6.803707724944e-05	0.0400339280622577	0.0395615722534386	-0.000472355808819103	6	0.813778231216731	1	FALSE	0.872303377982318	TTE pleural effusion in conditions classified elsewhere (HC1056)			
HC106	Emphysema/chronic bronchitis	Disease_outcome	Disease outcome	binomial	0.000593247553924031	0.0402449446983643	0.0406453675888481	0.000400422890483795	273	0.0103530185732954	0.138360691085452	FALSE	0.0174407686406968	Emphysema/chronic bronchitis (HC106)			
HC1063	TTE respiratory disorders in diseases classified elsewhere	Disease_outcome	Disease outcome	binomial	0.000163266867946007	0.00889928440443257	0.00868933319868448	-0.000209951205748089	4	0.722930064300217	1	FALSE	0.793954772371817	TTE respiratory disorders in diseases classified elsewhere (HC1063)			
HC1064	TTE disorders of tooth development and eruption	Disease_outcome	Disease outcome	binomial	0.000343736310721034	1.80691424589171e-05	5.4687212901878e-07	-1.75222703298983e-05	10	0.659908403459319	1	FALSE	0.741922881762812	TTE disorders of tooth development and eruption (HC1064)			
HC1069	TTE gingivitis and periodontal diseases	Disease_outcome	Disease outcome	binomial	0.00126604982796145	0.00258265775046272	0.00283471123424268	0.00025205348377996	1	0.0542779281786574	0.667211205806723	FALSE	0.0841039184154444	TTE gingivitis and periodontal diseases (HC1069)			
HC1070	TTE other disorders of gingiva and edentulous alveolar ridge	Disease_outcome	Disease outcome	binomial	0.000117285189454512	0.00197166804999339	0.00175670977920802	-0.00021495827078537	13	0.688497140548727	1	FALSE	0.763641406774456	TTE other disorders of gingiva and edentulous alveolar ridge (HC1070)			
HC1071	TTE dentofacial anomalies [including malocclusion]	Disease_outcome	Disease outcome	binomial	5.0921585300218e-06	0.0224761649698529	0.0224513525636274	-2.48124062255002e-05	1	0.880405775990365	1	FALSE	0.921012726888316	TTE dentofacial anomalies [including malocclusion] (HC1071)			
HC1072	TTE other disorders of teeth and supporting structures	Disease_outcome	Disease outcome	binomial	4.68804867724619e-05	0.00550120479004702	0.0055163891070664	1.51843170193801e-05	2	0.595555976235672	1	FALSE	0.6863366000065	TTE other disorders of teeth and supporting structures (HC1072)			
HC1073	TTE cysts of oral region, not elsewhere classified	Disease_outcome	Disease outcome	binomial	0.00132027817582339	0.000203340538412133	0.000715450771561508	0.000512110233149375	384	0.159684612176	1	FALSE	0.227601473638834	TTE cysts of oral region, not elsewhere classified (HC1073)			
HC1084	TTE duodenal ulcer	Disease_outcome	Disease outcome	binomial	0.00483633247553156	0.0447045322363693	0.0481091238727669	0.0034045916363976	220	5.63041290746565e-13	1.15353045311982e-11	TRUE	1.45405877890821e-12	TTE duodenal ulcer (HC1084)	PGS001390	EFO_0004607	duodenal ulcer
HC1090	TTE acute appendicitis	Disease_outcome	Disease outcome	binomial	0.00332340755806585	0.00464081701051834	0.00617061837805658	0.00152980136753824	4	2.23718486891184e-06	3.60721967911108e-05	TRUE	4.54700561019095e-06	TTE acute appendicitis (HC1090)	PGS001369	EFO_0007149	appendicitis
HC1094	TTE inguinal hernia	Disease_outcome	Disease outcome	binomial	0.0130176695705667	0.177885932308797	0.190273692449247	0.01238776014045	3085	8.86055232981527e-69	4.38276835031797e-67	TRUE	5.52460732914777e-68	TTE inguinal hernia (HC1094)	PGS000949	HP_0000023	Inguinal hernia
HC1095	TTE femoral hernia	Disease_outcome	Disease outcome	binomial	0.00360888724133627	0.0121478382960478	0.014234863567857	0.0020870252718092	12	0.00523497049313371	0.071976037084738	FALSE	0.00907278939286186	TTE femoral hernia (HC1095)			
HC1096	TTE umbilical hernia	Disease_outcome	Disease outcome	binomial	0.0016681413611704	0.0282894261262979	0.029966762919116	0.0016773367928181	57	6.55444919294004e-05	0.000981619357865466	FALSE	0.000123735982954779	TTE umbilical hernia (HC1096)			
HC1098	TTE diaphragmatic hernia	Disease_outcome	Disease outcome	binomial	0.00392352166721615	0.0337982025220165	0.0375373015331993	0.0037390990111828	1857	7.86348805535558e-28	2.30255927057561e-26	TRUE	2.90244311477158e-27	TTE diaphragmatic hernia (HC1098)	PGS001050	EFO_0008561	diaphragmatic hernia
HC110	Stroke	Disease_outcome	Disease outcome	binomial	0.000232963509062635	0.0382494477827951	0.0384286843286489	0.000179236545853799	8	0.104246026582763	1	FALSE	0.155113636182909	Stroke (HC110)			
HC1101	TTE crohn's disease [regional enteritis]	Disease_outcome	Disease outcome	binomial	0.00669079005024448	0.000101809623505744	0.00473748383440955	0.00463567421090381	220	1.51994421022714e-08	2.70742423887805e-07	TRUE	3.41278721521589e-08	TTE crohn's disease [regional enteritis] (HC1101)	PGS001330	EFO_0000384	Crohn's disease
HC1102	TTE ulcerative colitis	Disease_outcome	Disease outcome	binomial	0.02383205343707	0.00132367532321936	0.0237613978755664	0.022437722552347	809	4.95018797990692e-45	1.91460021036161e-43	TRUE	2.41340940453406e-44	TTE ulcerative colitis (HC1102)	PGS001307	EFO_0000729	ulcerative colitis
HC1103	TTE other non-infective gastro-enteritis and colitis	Disease_outcome	Disease outcome	binomial	2.98443875973611e-05	0.00779912230027826	0.00782392997293565	2.48076726573907e-05	28	0.414241332843176	1	FALSE	0.517388416520008	TTE other non-infective gastro-enteritis and colitis (HC1103)			
HC1104	TTE vascular disorders of intestine	Disease_outcome	Disease outcome	binomial	0.000557782237481878	0.0275104395358987	0.0277468513988307	0.000236411862931999	4	0.175367005847789	1	FALSE	0.246363881644336	TTE vascular disorders of intestine (HC1104)			
HC1106	TTE diverticular disease of intestine	Disease_outcome	Disease outcome	binomial	0.0153326173054094	0.0599689484130475	0.0748256355219408	0.0148566871088933	5757	9.90983217695344e-107	5.72254588000329e-105	TRUE	7.21343597996843e-106	TTE diverticular disease of intestine (HC1106)	PGS000997	EFO_0009959	diverticular disease
HC1111	TTE other diseases of anus and rectum	Disease_outcome	Disease outcome	binomial	0.000221039876295267	0.00795510455901047	0.00815437332675015	0.000199268767739682	226	0.0121288267654377	0.160537833649741	FALSE	0.020236262140629	TTE other diseases of anus and rectum (HC1111)			
HC1112	TTE other diseases of intestine	Disease_outcome	Disease outcome	binomial	0.00260146253028518	0.024902184015592	0.0267319673258222	0.0018297833102302	90	6.32887707181447e-14	1.33859747811114e-12	TRUE	1.68734116139517e-13	TTE other diseases of intestine (HC1112)	PGS001516	EFO_0009431	intestinal disease
HC1117	TTE alcoholic liver disease	Disease_outcome	Disease outcome	binomial	0.00338396577173379	0.0494287477576027	0.0526294730740884	0.0032007253164857	22	0.00137943591993354	0.0194395884185192	FALSE	0.00245041681577297	TTE alcoholic liver disease (HC1117)			
HC1119	TTE hepatic failure, not elsewhere classified	Disease_outcome	Disease outcome	binomial	0.000103110863159263	0.0170227979420372	0.0164944943928981	-0.0005283035491391	8	0.696935623454005	1	FALSE	0.771906759168802	TTE hepatic failure, not elsewhere classified (HC1119)			
HC1120	TTE chronic hepatitis, not elsewhere classified	Disease_outcome	Disease outcome	binomial	0.00462790295747883	0.000422086292696933	0.00082632921144555	0.000404242918748617	5	0.0629396359642613	0.769873955438319	FALSE	0.097044857422728	TTE chronic hepatitis, not elsewhere classified (HC1120)			
HC1121	TTE fibrosis and cirrhosis of liver	Disease_outcome	Disease outcome	binomial	0.00272980446845985	0.0102141125048528	0.0125540355395232	0.0023399230346704	10	0.00179647855851086	0.0251454760331339	FALSE	0.0031696605908337	TTE fibrosis and cirrhosis of liver (HC1121)			
HC1122	TTE other inflammatory liver diseases	Disease_outcome	Disease outcome	binomial	3.80099392796924e-05	0.0011324399579931	0.00110276873722912	-2.967122076398e-05	32	0.725731522677282	1	FALSE	0.795357025903324	TTE other inflammatory liver diseases (HC1122)			
HC1123	TTE other diseases of liver	Disease_outcome	Disease outcome	binomial	0.00442755928631893	0.00559947919759301	0.00961275766234003	0.00401327846474702	92	2.59021233609604e-12	5.17851466733294e-11	TRUE	6.52766876971063e-12	TTE other diseases of liver (HC1123)	PGS001293	EFO_0001421	liver disease
HC1125	TTE cholelithiasis	Disease_outcome	Disease outcome	binomial	0.0257149588182004	0.0334394494861131	0.0584833253328666	0.0250438758467535	970	2.050635573507e-142	1.33295829994294e-140	TRUE	1.68023281284736e-141	TTE cholelithiasis (HC1125)	PGS001174	EFO_0004799	cholelithiasis
HC1126	TTE cholecystitis	Disease_outcome	Disease outcome	binomial	0.00238962488279357	0.00895881049119744	0.01081423940908	0.00185542891788256	5	1.07744502624031e-05	0.000167420943394563	TRUE	2.11038981985743e-05	TTE cholecystitis (HC1126)	PGS000943	HP_0001082	Cholecystitis
HC113	Irregular heart beat	Disease_outcome	Disease outcome	binomial	2.18160354433948e-06	0.0159723307179842	0.0159455171426771	-2.68135753071011e-05	2	0.942392258175569	1	FALSE	0.960810347911899	Irregular heart beat (HC113)			
HC1132	TTE intestinal malabsorption	Disease_outcome	Disease outcome	binomial	0.0841273143951763	0.00542817601724317	0.0899279807583421	0.0844998047410989	443	1.24765869826116e-121	7.66841967292889e-120	TRUE	9.66626664741938e-121	TTE intestinal malabsorption (HC1132)	PGS000940	HP_0002024	Malabsorption
HC1139	TTE cellulitis	Disease_outcome	Disease outcome	binomial	5.62153685769552e-05	0.00937306632198407	0.00936492731817179	-8.13900381228111e-06	1	0.245440449530142	1	FALSE	0.330278850829469	TTE cellulitis (HC1139)			
HC1141	TTE pilonidal cyst	Disease_outcome	Disease outcome	binomial	8.2837394967957e-06	0.0278465316960356	0.0277629842703269	-8.35474257087007e-05	2	0.874723311822625	1	FALSE	0.916293161313526	TTE pilonidal cyst (HC1141)			
HC1142	TTE other local infections of skin and subcutaneous tissue	Disease_outcome	Disease outcome	binomial	3.65390527295621e-05	0.00888900563951271	0.00876548279668198	-0.00012352284283073	10	0.446499961948706	1	FALSE	0.550648101221217	TTE other local infections of skin and subcutaneous tissue (HC1142)			
HC1148	TTE atopic dermatitis	Disease_outcome	Disease outcome	binomial	0.000387224785144718	0.00524080026733379	0.00547061447184227	0.00022981420450848	257	0.0160241772233582	0.209859602338743	FALSE	0.0264534149309658	TTE atopic dermatitis (HC1148)			
HC1149	TTE seborrhoeic dermatitis	Disease_outcome	Disease outcome	binomial	8.26659252760224e-05	0.00341796565175736	0.00349695410577636	7.89884540189998e-05	7	0.322884833183175	1	FALSE	0.420045522802717	TTE seborrhoeic dermatitis (HC1149)			
HC1152	TTE irritant contact dermatitis	Disease_outcome	Disease outcome	binomial	0.00244831265480766	0.000363719348522896	0.000739187016263848	0.000375467667740952	4	0.125794977169201	1	FALSE	0.184507159578069	TTE irritant contact dermatitis (HC1152)			
HC1157	TTE pruritus	Disease_outcome	Disease outcome	binomial	9.07707682330571e-05	0.0138574894011617	0.013633852073612	-0.0002236373275497	14	0.261562003897487	1	FALSE	0.350466212414013	TTE pruritus (HC1157)			
HC1158	TTE other dermatitis	Disease_outcome	Disease outcome	binomial	0.00541544665240065	0.00581481941713815	0.0104730081577898	0.00465818874065165	242	4.89597968338947e-39	1.70267921403689e-37	TRUE	2.14627680798446e-38	TTE other dermatitis (HC1158)	PGS000927	MONDO_0002406	dermatitis
HC1159	TTE psoriasis	Disease_outcome	Disease outcome	binomial	0.0496599452861519	0.00206050635823816	0.0511689098501753	0.0491084034919371	578	5.0525701788675e-196	3.58455913336874e-194	TRUE	4.51844133138722e-195	TTE psoriasis (HC1159)	PGS001313	EFO_0000676	psoriasis
HC1161	TTE pityriasis rosea	Disease_outcome	Disease outcome	binomial	0.000592846308235975	0.0129745465189695	0.0134579839224936	0.000483437403524101	2	0.186275743428093	1	FALSE	0.259591752862837	TTE pityriasis rosea (HC1161)			
HC1162	TTE lichen planus	Disease_outcome	Disease outcome	binomial	0.00464551893618768	0.0105566030859991	0.0119171069542549	0.0013605038682558	3	4.20244624627657e-05	0.000634734044872035	FALSE	8.00100775598885e-05	TTE lichen planus (HC1162)			
HC1167	TTE other erythematous conditions	Disease_outcome	Disease outcome	binomial	6.50712172717918e-05	0.00225111537284052	0.00162232613592792	-0.0006287892369126	83	0.716452029746946	1	FALSE	0.789055191100613	TTE other erythematous conditions (HC1167)			
HC1169	TTE sunburn	Disease_outcome	Disease outcome	binomial	3.79539318602122e-05	0.000482994033923051	0.000490523967485408	7.52993356235697e-06	1	0.855820424124114	1	FALSE	0.90131827978078	TTE sunburn (HC1169)			
HC117	Abdominal hernia	Disease_outcome	Disease outcome	binomial	3.23729200363743e-06	0.0116043199379676	0.0113834104381317	-0.0002209094998359	12	0.934883603723767	1	FALSE	0.956880838219425	Abdominal hernia (HC117)			
HC1171	TTE skin changes due to chronic exposure to nonionising radiation	Disease_outcome	Disease outcome	binomial	0.00689027046615717	0.0535766934640877	0.0603638598362748	0.0067871663721871	169	6.79550610073973e-32	2.12516543353525e-30	TRUE	2.67883300948556e-31	TTE skin changes due to chronic exposure to nonionising radiation (HC1171)	PGS000950	GO_0009314	response to radiation
HC1176	TTE alopecia areata	Disease_outcome	Disease outcome	binomial	1.30233918795117e-06	0.00532668781636095	0.00532662342127667	-6.43950842805358e-08	1	0.964596354450951	1	FALSE	0.977083038650964	TTE alopecia areata (HC1176)			
HC1184	TTE follicular cysts of skin and subcutaneous tissue	Disease_outcome	Disease outcome	binomial	0.0243885809002028	0.00469676513032302	0.0290153595853195	0.0243185944549965	264	1.24681135336709e-109	7.33634483218175e-108	TRUE	9.24767662568481e-109	TTE follicular cysts of skin and subcutaneous tissue (HC1184)	PGS000963	EFO_1001329	Follicular Cyst
HC1185	TTE other follicular disorders	Disease_outcome	Disease outcome	binomial	4.9533127069763e-05	0.0154049250494658	0.0144548272507094	-0.0009500977987564	41	0.584960647810445	1	FALSE	0.677117909632653	TTE other follicular disorders (HC1185)			
HC1188	TTE vitiligo	Disease_outcome	Disease outcome	binomial	0.0162108892754855	0.00242477974568984	0.016860265208673	0.0144354854629832	77	2.57792793487391e-08	4.53986667713906e-07	TRUE	5.72263435188322e-08	TTE vitiligo (HC1188)	PGS001536	EFO_0004208	Vitiligo
HC1190	TTE seborrhoeic keratosis	Disease_outcome	Disease outcome	binomial	0.00743842298028195	0.0248306615521828	0.032138577148985	0.0073079155968022	1368	2.09852383432464e-42	7.75418346362786e-41	TRUE	9.77437440689899e-42	TTE seborrhoeic keratosis (HC1190)	PGS001140	EFO_0005584	seborrheic keratosis
HC1197	TTE decubitus ulcer	Disease_outcome	Disease outcome	binomial	0.000597592855422857	0.0233901278709482	0.0237125446482572	0.000322416777309001	7	0.13835176565902	1	FALSE	0.200376356183723	TTE decubitus ulcer (HC1197)			
HC12	Testicular problems (not cancer)	Disease_outcome	Disease outcome	binomial	0.00231572785970597	0.105769811961882	0.105788203092854	1.83911309720036e-05	1	0.0694993891643244	0.846101903677596	FALSE	0.106653612617331	Testicular problems (not cancer) (HC12)			
HC1200	TTE granulomatous disorders of skin and subcutaneous tissue	Disease_outcome	Disease outcome	binomial	0.000143370735964731	0.00626024768944571	0.00613641166961016	-0.000123836019835549	1	0.502628146783556	1	FALSE	0.606516310870352	TTE granulomatous disorders of skin and subcutaneous tissue (HC1200)			
