#trait	trait_name	trait_category	family	h2_obs	h2_obs_se	lambda_GC	mean_chi2	intercept	intercept_se	ratio	ratio_se	WB_case_n	WB_control_n	WB_prev	WB_prev_z	h2_liability
HC1211	TTE seropositive rheumatoid arthritis	Disease_outcome	binomial	0.0205	0.0085	1.0225	1.09	0.963	0.008	<0	usually_indicates_GC_correction	636	336493	0.00188651821706231	0.00601254078923365	1.0677724586753
HC1212	TTE other rheumatoid arthritis	Disease_outcome	binomial	0.0263	0.0136	1.0496	1.178	0.9874	0.0087	<0	usually_indicates_GC_correction	6601	330528	0.0195800420610508	0.0475538155311393	0.223259925138123
HC1213	TTE psoriatic and enteropathic arthropathies	Disease_outcome	binomial	0.0172	0.0068	1.0165	1.0607	0.9676	0.0084	<0	usually_indicates_GC_correction	718	336411	0.00212974855322443	0.00671232822724566	0.811305620121791
HC1215	TTE gout	Disease_outcome	binomial	0.0323	0.0057	1.0926	1.1678	1.0119	0.0074	0.071	0.0443	11663	325466	0.0345950659836442	0.0765352947245146	0.184163127582982
HC1221	TTE coxarthrosis [arthrosis of hip]	Disease_outcome	binomial	0.0202	0.0026	1.0833	1.0997	1.0107	0.0071	0.1069	0.0708	13692	323437	0.0406135336918509	0.0872457038278287	0.103401689359417
HC1222	TTE gonarthrosis [arthrosis of knee]	Disease_outcome	binomial	0.0322	0.0026	1.1113	1.1442	1.0055	0.007	0.038	0.0483	24123	313006	0.0715542121858398	0.13655266230473	0.114722151413632
HC1228	TTE internal derangement of knee	Disease_outcome	binomial	0.0123	0.0021	1.0588	1.0652	1.0092	0.0063	0.1416	0.0971	14731	322398	0.0436954400244417	0.0925659932638527	0.0599838758218525
HC1236	TTE other systemic involvement of connective tissue	Disease_outcome	binomial	0.0164	0.0095	1.0315	1.0989	0.9846	0.01	<0	usually_indicates_GC_correction	3301	333828	0.00979150414233127	0.02616628779485	0.232239282309466
HC1242	TTE ankylosing spondylitis	Disease_outcome	binomial	0.0389	0.0297	1.0255	1.3213	0.9724	0.0095	<0	usually_indicates_GC_correction	1293	335836	0.00383532712997102	0.0114091757836713	1.14175942989787
HC1248	TTE other intervertebral disk disorders	Disease_outcome	binomial	0.0209	0.0027	1.071	1.0921	1.0018	0.0071	0.0193	0.0775	15517	321612	0.046026891783264	0.0965222506046166	0.0985006705006919
HC1261	TTE fibroblastic disorders	Disease_outcome	binomial	0.0122	0.0024	1.0679	1.079	1.0285	0.007	0.361	0.0885	16158	320971	0.047928241118385	0.099706858042511	0.0559977971585045
HC1268	TTE osteoporosis without pathological fracture	Disease_outcome	binomial	0.0198	0.0022	1.0741	1.0923	1.0081	0.0065	0.0881	0.0702	11759	325370	0.0348798234503706	0.0770522206814624	0.112266593127477
HC1302	TTE chronic renal failure	Disease_outcome	binomial	0.0172	0.0022	1.0772	1.0904	1.0104	0.0065	0.115	0.0722	11928	325201	0.0353811152407535	0.0779596730764695	0.0965863393662865
HC1304	TTE calculus of kidney and ureter	Disease_outcome	binomial	0.0154	0.0028	1.0649	1.0823	1.0049	0.0072	0.06	0.088	5099	332030	0.0151247741962276	0.0381409971987024	0.157690941620185
HC132	Angina	Disease_outcome	binomial	0.033	0.003	1.1207	1.1573	1.024	0.0068	0.1525	0.0433	20228	316901	0.0600007712181391	0.119124164259762	0.131159132707393
HC1322	TTE hyperplasia of prostate	Disease_outcome	binomial	0.0199	0.0037	1.0741	1.1388	1.017	0.0069	0.1222	0.0497	17943	319186	0.0532229502653287	0.1083874012972	0.0853575882244998
HC136	Connective tissue disorder	Disease_outcome	binomial	0.0155	0.0058	1.0315	1.0806	0.9805	0.0088	<0	usually_indicates_GC_correction	3222	333907	0.00955717247700435	0.02561824410343	0.223558822864857
HC151	Multiple sclerosis	Disease_outcome	binomial	0.0238	0.0152	1.0375	1.1968	0.9866	0.0098	<0	usually_indicates_GC_correction	1534	335595	0.00455018702039872	0.0132939098215063	0.60998635016225
HC156	Nasal polyps	Disease_outcome	binomial	0.0144	0.0048	1.0466	1.0823	1.0042	0.0078	0.0508	0.0942	4993	332136	0.0148103544933838	0.0374584065111461	0.149743916441461
HC1574	AD myocardial infarction	Disease_outcome	binomial	0.0238	0.0026	1.0895	1.1229	1.0241	0.0068	0.1961	0.0549	13860	323269	0.0411118592586221	0.0881131709569025	0.120845466115934
HC1576	AD NSTEMI	Disease_outcome	binomial	0.0092	0.0017	1.0345	1.0362	0.9979	0.0063	<0	usually_indicates_GC_correction	4774	332355	0.0141607515224143	0.036039733448383	0.0988819662181378
HC1581	AD asthma	Disease_outcome	binomial	0.0598	0.0102	1.1779	1.4122	1.0398	0.0091	0.0966	0.0221	44584	292545	0.132246113505513	0.214063234434185	0.149760231504257
HC1582	AD chronic obstructive pulmonary disease	Disease_outcome	binomial	0.025	0.0023	1.0864	1.1053	1.0022	0.0064	0.0209	0.0612	12780	324349	0.0379083377579502	0.0824861762913669	0.134007423424265
HC1583	AD all cause dementia	Disease_outcome	binomial	0.0053	0.0034	1.0046	1.0154	0.9926	0.0058	<0	usually_indicates_GC_correction	1777	335352	0.00527097935804989	0.0151552403138908	0.120989120264444
HC1584	AD alzheimer's disease	Disease_outcome	binomial	0.0114	0.0029	1.0016	1.0131	0.9683	0.007	<0	usually_indicates_GC_correction	672	336457	0.00199330226708471	0.00632091254071597	0.567612440497022
HC165	Type 2 diabetes	Disease_outcome	binomial	0.0081	0.0017	1.0375	1.0368	1.0036	0.0059	0.0973	0.1599	2769	334360	0.00821347318088921	0.0224327740422306	0.131118539402048
HC166	DVT	Disease_outcome	binomial	0.0156	0.0033	1.0436	1.0629	0.9979	0.0054	<0	usually_indicates_GC_correction	7059	330070	0.0209385724752246	0.0503367491967997	0.126215089309944
HC170	Sarcoidosis	Disease_outcome	binomial	0.021	0.0075	1.0345	1.1374	0.9676	0.0083	<0	usually_indicates_GC_correction	910	336219	0.00269926348667721	0.0083177338704344	0.817110277181712
HC176	Prolapsed disc/slipped disc	Disease_outcome	binomial	0.0079	0.0024	1.0375	1.0401	1.0045	0.0067	0.1128	0.1678	6157	330972	0.0182630387774413	0.0448188992553203	0.070513602360279
HC177	Dupuytren's contracture	Disease_outcome	binomial	0.0102	0.0016	1.0105	1.0033	0.9627	0.0068	<0	usually_indicates_GC_correction	424	336705	0.00125767881137487	0.00415421063852974	0.74241432335235
HC188	Gallstones	Disease_outcome	binomial	0.0277	0.0038	1.0833	1.1192	1.009	0.0063	0.0753	0.0524	16901	320228	0.0501321452619027	0.103352915390792	0.123484880428301
HC201	Ulcerative colitis	Disease_outcome	binomial	0.0166	0.0039	1.0466	1.0835	0.996	0.0068	<0	usually_indicates_GC_correction	3402	333727	0.0100910927271163	0.0268639003161945	0.229775321547272
HC203	PE +/- DVT	Disease_outcome	binomial	0.0138	0.0025	1.0345	1.0515	0.9922	0.0062	<0	usually_indicates_GC_correction	5793	331336	0.0171833333827704	0.0425479813569765	0.128736321250954
HC215	Hypertension	Disease_outcome	binomial	0.1233	0.005	1.3546	1.5567	1.0438	0.0081	0.0787	0.0145	114766	222363	0.340421619024172	0.366583991075134	0.206015374205467
HC219	Hypothyroidism/myxoedema	Disease_outcome	binomial	0.0761	0.0159	1.1555	1.5962	1.0119	0.009	0.0199	0.015	21488	315641	0.0637382129689229	0.124877312155853	0.29121567866941
HC22	Osteoporosis	Disease_outcome	binomial	0.0168	0.0023	1.0618	1.0849	1.0085	0.0066	0.1	0.0772	10805	326324	0.0320500461247772	0.0718673471898579	0.100908468673096
HC221	Diabetes	Disease_outcome	binomial	0.0568	0.0044	1.1843	1.2964	1.0277	0.0081	0.0934	0.0272	23123	314006	0.0685879885741067	0.132176617376287	0.207696400546288
HC225	Cholecystitis	Disease_outcome	binomial	0.0205	0.0029	1.071	1.0912	1.0095	0.006	0.1038	0.0663	14990	322139	0.0444636919398806	0.0938760118880897	0.0988319382876788
HC243	Inguinal hernia	Disease_outcome	binomial	0.026	0.003	1.0802	1.1408	0.9974	0.0065	<0	usually_indicates_GC_correction	16095	321034	0.0477413690308458	0.0993954879929869	0.119643688586087
HC25	Cataract	Disease_outcome	binomial	0.0171	0.0022	1.0741	1.098	1.0182	0.0067	0.1855	0.0688	25582	311547	0.0758819324353586	0.142822252674888	0.0587854972943021
HC26	Iritis	Disease_outcome	binomial	0.025	0.0064	0.9927	1.0293	0.9124	0.0075	<0	usually_indicates_GC_correction	186	336943	0.000551717591782374	0.00194663883931878	3.6378634895874
HC261	Eczema/dermatitis	Disease_outcome	binomial	0.0165	0.0042	1.0466	1.0783	1.0006	0.0074	0.0075	0.0947	12895	324234	0.0382494534732995	0.0830911209244045	0.0879148793766423
HC262	Diverticular disease/diverticulitis	Disease_outcome	binomial	0.0121	0.0018	1.0375	1.0455	0.9953	0.0058	<0	usually_indicates_GC_correction	4327	332802	0.0128348495679695	0.0331072135839814	0.139868754370003
HC269	High cholesterol	Disease_outcome	binomial	0.0542	0.008	1.1459	1.2821	1.0496	0.0093	0.1757	0.033	45226	291903	0.134150429064245	0.21617969619496	0.134711289792937
HC273	Essential hypertension	Disease_outcome	binomial	0.083	0.0042	1.2899	1.4102	1.0598	0.0086	0.1458	0.021	76029	261100	0.225519014976463	0.300304137602997	0.160749409356957
HC276	Glaucoma	Disease_outcome	binomial	0.0214	0.002	1.071	1.0878	0.994	0.0057	<0	usually_indicates_GC_correction	7119	330010	0.0211165458919286	0.0506985647682303	0.172098193531459
HC281	Atrial fibrillation	Disease_outcome	binomial	0.0273	0.0038	1.0833	1.1332	1.019	0.0067	0.1428	0.0501	16023	321106	0.047527800930801	0.099039206235735	0.125993567665806
HC302	Retinal detachment	Disease_outcome	binomial	0.0077	0.002	1.0557	1.0528	1.0154	0.0062	0.2916	0.1171	3674	333455	0.0108979055495078	0.0287262367983582	0.100581339241465
HC303	Malabsorption/coeliac disease	Disease_outcome	binomial	0.0518	0.0329	1.0618	3.4101	0.988	0.0108	<0	usually_indicates_GC_correction	2299	334830	0.00681934808337461	0.0190421978486759	0.967535085797756
HC31	Uterine fibroids	Disease_outcome	binomial	0.004	0.0019	1.0255	1.0367	1.02	0.006	0.5456	0.1636	5577	331552	0.016542629082636	0.0411875395380024	0.038360862698048
HC310	Hiatus hernia	Disease_outcome	binomial	0.0322	0.0029	1.1207	1.1802	1.0123	0.007	0.0681	0.0389	47687	289442	0.141450305372721	0.224138789001192	0.0778379083026342
HC321	Sjogren's syndrome/sicca syndrome	Disease_outcome	binomial	0.0192	0.004	1.0195	1.0746	0.9524	0.0071	<0	usually_indicates_GC_correction	652	336477	0.00193397779485004	0.00614982341212825	0.979911133362901
HC322	Crohns disease	Disease_outcome	binomial	0.0084	0.002	1.0285	1.0355	0.9967	0.006	<0	usually_indicates_GC_correction	1805	335324	0.00535403361917842	0.0153674272476526	0.189420323589542
HC326	Heart attack (MI)	Disease_outcome	binomial	0.024	0.0026	1.0895	1.1247	1.0245	0.0068	0.1964	0.0544	13964	323165	0.0414203465142423	0.0886487602948653	0.121257285801319
HC328	Gout	Disease_outcome	binomial	0.0273	0.0046	1.0741	1.1291	1.0009	0.006	0.0072	0.0464	7158	329971	0.0212322286127862	0.0509334095798629	0.218691745035148
HC337	Type 1 diabetes	Disease_outcome	binomial	0.0282	0.0082	1.0075	1.0982	0.9248	0.0089	<0	usually_indicates_GC_correction	344	336785	0.00102038092243622	0.00343001056022042	2.44330200972638
HC376	Osteoarthritis	Disease_outcome	binomial	0.0194	0.002	1.0895	1.1082	1.0236	0.0063	0.2179	0.0579	30906	306223	0.0916741069442261	0.164626605245656	0.0596060121405569
HC38	Psoriasis	Disease_outcome	binomial	0.0548	0.0295	1.0588	1.778	0.9814	0.0093	<0	usually_indicates_GC_correction	5585	331544	0.0165663588715299	0.0412381020039035	0.524995217282071
HC382	Asthma	Disease_outcome	binomial	0.0596	0.0101	1.1779	1.4108	1.0417	0.0089	0.1015	0.0217	45228	291901	0.134156361511469	0.216186263237552	0.148129245806958
HC401	Varicose veins	Disease_outcome	binomial	0.0277	0.0029	1.1019	1.1525	1.0176	0.0069	0.1152	0.0452	11255	325874	0.0333848467500571	0.0743264515607229	0.161806497115405
HC413	Genetic haematological disorder	Disease_outcome	binomial	0.0167	0.0023	0.9957	1.0004	0.9337	0.0065	<0	usually_indicates_GC_correction	304	336825	0.000901731977966891	0.00306193981105161	1.604755414137
HC422	Ankylosing spondylitis	Disease_outcome	binomial	0.0381	0.0294	1.0255	1.3131	0.9738	0.0099	<0	usually_indicates_GC_correction	1253	335876	0.00371667818550169	0.0110922073406071	1.14663933610203
HC430	Rheumatoid arthritis	Disease_outcome	binomial	0.0266	0.0134	1.0496	1.1782	0.9867	0.0083	<0	usually_indicates_GC_correction	6363	330766	0.0188740808414583	0.0460924753716688	0.231852686176283
HC431	Emphysema	Disease_outcome	binomial	0.0088	0.0017	1.0195	1.019	0.9836	0.0059	<0	usually_indicates_GC_correction	2127	335002	0.0063091576221565	0.017776750196127	0.174582455650474
HC440	Atrial flutter	Disease_outcome	binomial	0.0264	0.0038	1.0772	1.1286	1.0186	0.0068	0.1449	0.0527	15500	321629	0.0459764659818645	0.096437286992611	0.12451126127735
HC442	Chronic obstructive airways disease/copd	Disease_outcome	binomial	0.0215	0.0021	1.0895	1.1024	1.0104	0.0064	0.1017	0.0627	9534	327595	0.0282799759142643	0.0647848467607189	0.14077053972517
HC49	Hayfever/allergic rhinitis	Disease_outcome	binomial	0.0282	0.0044	1.0988	1.1523	1.0132	0.0071	0.087	0.0467	21880	315249	0.0649009726247223	0.126644120200029	0.106705758272463
HC530	TTE zoster [herpes zoster]	Disease_outcome	binomial	0.015	0.0081	1.0496	1.1224	1.0022	0.0096	0.0179	0.0783	11112	326017	0.0329606767735793	0.0735476396153403	0.0883881481842581
HC534	TTE viral warts	Disease_outcome	binomial	0.0089	0.006	1.0405	1.0668	1.0133	0.0086	0.1992	0.1289	12115	325014	0.0359357990561476	0.0789600220085196	0.0494548339078514
HC55	Hyperthyroidism/thyrotoxicosis	Disease_outcome	binomial	0.0328	0.0152	1.0496	1.4174	0.9787	0.01	<0	usually_indicates_GC_correction	4000	333129	0.0118648944469328	0.0309285464853962	0.402008310044277
HC57	Fracture radius	Disease_outcome	binomial	0.0086	0.0017	1.0285	1.0303	0.9946	0.0062	<0	usually_indicates_GC_correction	5235	331894	0.0155281806074233	0.0390129839036431	0.0863781655961197
HC608	TTE vitamin b12 deficiency anaemia	Disease_outcome	binomial	0.0135	0.0032	1.0345	1.0551	0.9857	0.0068	<0	usually_indicates_GC_correction	2170	334959	0.00643670523746103	0.0180944454754391	0.263695289911402
HC61	Haemorrhoids / piles	Disease_outcome	binomial	0.0176	0.0022	1.0679	1.0759	0.9992	0.0062	<0	usually_indicates_GC_correction	21886	315243	0.0649187699663927	0.126671079846319	0.0665851441250717
HC624	TTE other coagulation defects	Disease_outcome	binomial	0.0078	0.0033	1.0105	1.0167	0.9848	0.0051	<0	usually_indicates_GC_correction	1448	335681	0.00429509178978967	0.0126260656136002	0.209248144873287
HC639	TTE sarcoidosis	Disease_outcome	binomial	0.0222	0.0099	1.0405	1.192	0.9765	0.0095	<0	usually_indicates_GC_correction	1167	335962	0.00346158295489264	0.0104063781294049	0.70716793247599
HC643	TTE other hypothyroidism	Disease_outcome	binomial	0.0782	0.016	1.1523	1.6214	1.0099	0.0091	0.016	0.0147	22829	314300	0.0677159188322571	0.130877495264121	0.288214514242204
HC644	TTE other non-toxic goitre	Disease_outcome	binomial	0.008	0.0021	1.0285	1.0389	1.0022	0.0059	0.0567	0.1527	3011	334118	0.00893129929492865	0.0241438436939859	0.121477422697743
HC645	TTE thyrotoxicosis [hyperthyroidism]	Disease_outcome	binomial	0.0348	0.0163	1.0527	1.4841	0.9825	0.0104	<0	usually_indicates_GC_correction	4705	332424	0.0139560820932047	0.0355903499163448	0.378071989077137
HC648	TTE insulin-dependent diabetes mellitus	Disease_outcome	binomial	0.0305	0.0187	1.0466	1.2698	0.9825	0.0107	<0	usually_indicates_GC_correction	2782	334347	0.00825203408784175	0.0225252597033762	0.491951803868224
HC649	TTE non-insulin-dependent diabetes mellitus	Disease_outcome	binomial	0.0528	0.0037	1.1715	1.2546	1.0262	0.0079	0.1029	0.0312	20549	316580	0.0609529289975054	0.120600758222683	0.207785763414973
HC652	TTE unspecified diabetes mellitus	Disease_outcome	binomial	0.0418	0.0042	1.1333	1.2237	1.0207	0.0076	0.0924	0.034	14854	322275	0.0440602855286849	0.0931889151742519	0.202733529621381
HC654	TTE other disorders of pancreatic internal secretion	Disease_outcome	binomial	0.0104	0.0052	1.0255	1.0523	0.9881	0.0078	<0	usually_indicates_GC_correction	1937	335192	0.0057455751359272	0.016361790625848	0.221923206281
HC689	TTE obesity	Disease_outcome	binomial	0.0326	0.0029	1.1396	1.1678	1.0308	0.0066	0.1837	0.0393	22665	314464	0.0672294581599329	0.130150293794346	0.120687343382941
HC700	TTE disorders of lipoprotein metabolism and other lipidaemias	Disease_outcome	binomial	0.0771	0.01	1.2038	1.3749	1.0556	0.0101	0.1482	0.0271	69230	267899	0.205351660640289	0.284415111935025	0.155532889726348
HC702	TTE disorders of porphyrin and bilirubin metabolism	Disease_outcome	binomial	0.0166	0.0114	1.0135	1.0502	0.9877	0.0064	<0	usually_indicates_GC_correction	1058	336071	0.00313826458121372	0.00952808138303825	0.572033750564866
HC703	TTE disorders of mineral metabolism	Disease_outcome	binomial	0.0204	0.0108	1.0225	1.1243	0.9828	0.0082	<0	usually_indicates_GC_correction	2928	334201	0.00868510273515479	0.0235594729697899	0.316435804865067
HC708	TTE other metabolic disorders	Disease_outcome	binomial	0.0082	0.0017	1.0046	0.9997	0.9674	0.0061	NA	mean_chi^2<1	643	336486	0.00190728178234444	0.00607264753426228	0.423295304119195
HC710	TTE dementia in alzheimer's disease	Disease_outcome	binomial	0.0128	0.0023	1.0016	1.0043	0.9544	0.0068	<0	usually_indicates_GC_correction	404	336725	0.00119835433914021	0.00397453263986872	0.969845010623301
HC711	TTE vascular dementia	Disease_outcome	binomial	0.0108	0.0017	1.0016	1.0016	0.9593	0.0068	<0	usually_indicates_GC_correction	462	336667	0.00137039530862074	0.00449329306064069	0.732056439835497
HC713	TTE unspecified dementia	Disease_outcome	binomial	0.0058	0.0023	0.9986	1.0034	0.9799	0.0057	<0	usually_indicates_GC_correction	897	336232	0.00266070257972468	0.0082103584407139	0.228319508381556
HC78	Arthritis (nos)	Disease_outcome	binomial	0.0192	0.004	1.0833	1.1107	1.0177	0.0068	0.1599	0.0616	20198	316931	0.0599117845097871	0.118985777401685	0.076382169211607
HC807	TTE alzheimer's disease	Disease_outcome	binomial	0.0089	0.0032	1.0046	1.0131	0.9777	0.0072	<0	usually_indicates_GC_correction	754	336375	0.00223653260324683	0.007016709693515	0.403390644188614
HC810	TTE multiple sclerosis	Disease_outcome	binomial	0.0235	0.0152	1.0375	1.1963	0.987	0.0098	<0	usually_indicates_GC_correction	1629	335500	0.00483197826351337	0.0140259616114383	0.574412595727778
HC815	TTE migraine	Disease_outcome	binomial	0.0178	0.0022	1.071	1.0881	1.0088	0.0063	0.1003	0.0716	16804	320325	0.0498444215715646	0.10287961919213	0.0796475808071405
HC83	Fracture forearm / wrist	Disease_outcome	binomial	0.0094	0.0018	1.0345	1.0347	0.9964	0.006	<0	usually_indicates_GC_correction	6892	330237	0.0204432131320652	0.0493263683912234	0.0773656794134668
HC84	Pulmonary fibrosis	Disease_outcome	binomial	0.0065	0.0016	1.0075	1.0027	0.9739	0.006	<0	usually_indicates_GC_correction	1045	336084	0.00309970367426119	0.00942261710897909	0.226225820620316
HC85	Enlarged prostate	Disease_outcome	binomial	0.0103	0.004	1.0345	1.07	1.0067	0.0079	0.095	0.1134	5730	331399	0.0169964612952312	0.0421521963841258	0.0968524023955065
HC86	Migraine	Disease_outcome	binomial	0.0141	0.0022	1.0649	1.0747	1.0145	0.0069	0.1935	0.0919	13081	324048	0.0388011710650819	0.0840665933228279	0.0744098247598837
HC866	TTE other disorders of cornea	Disease_outcome	binomial	0.0057	0.0018	1.0195	1.0133	0.9891	0.0066	<0	usually_indicates_GC_correction	1543	335586	0.00457688303290432	0.0133635132113473	0.145415632606724
HC868	TTE iridocyclitis	Disease_outcome	binomial	0.0248	0.0211	1.0255	1.1511	0.9863	0.0096	<0	usually_indicates_GC_correction	1779	335350	0.00527691180527335	0.0151704115429397	0.565638536474443
HC872	TTE other cataract	Disease_outcome	binomial	0.0134	0.0019	1.0649	1.0774	1.0163	0.0062	0.21	0.0805	20615	316514	0.0611486997558798	0.120903422230754	0.0526273678423159
