trait_category	trait	trait_name	PGScatalog_ID	EFO_ID	EFO_label
Disease_outcome	HC117	Abdominal hernia			
Disease_outcome	HC1171	TTE skin changes due to chronic exposure to nonionising radiation	PGS000950	GO_0009314	response to radiation
Disease_outcome	HC1176	TTE alopecia areata			
Disease_outcome	HC1184	TTE follicular cysts of skin and subcutaneous tissue	PGS000963	EFO_1001329	Follicular Cyst
Disease_outcome	HC1185	TTE other follicular disorders			
Disease_outcome	HC1188	TTE vitiligo	PGS001536	EFO_0004208	Vitiligo
Disease_outcome	HC1190	TTE seborrhoeic keratosis	PGS001140	EFO_0005584	seborrheic keratosis
Disease_outcome	HC1197	TTE decubitus ulcer			
Disease_outcome	HC12	Testicular problems (not cancer)			
Disease_outcome	HC1200	TTE granulomatous disorders of skin and subcutaneous tissue			
Disease_outcome	HC1207	TTE pyogenic arthritis			
Disease_outcome	HC1209	TTE reactive arthropathies	PGS001110	EFO_0007460	reactive arthritis
Disease_outcome	HC121	Peritonitis			
Disease_outcome	HC1211	TTE seropositive rheumatoid arthritis	PGS001311	EFO_0000685	rheumatoid arthritis
Disease_outcome	HC1212	TTE other rheumatoid arthritis	PGS001309	EFO_0000685	rheumatoid arthritis
Disease_outcome	HC1213	TTE psoriatic and enteropathic arthropathies	PGS001522	HP_0003040	Arthropathy
Disease_outcome	HC1215	TTE gout	PGS001249	EFO_0004274	gout
Disease_outcome	HC1218	TTE other arthritis			
Disease_outcome	HC122	Disorder or pituitary gland			
Disease_outcome	HC1220	TTE polyarthrosis			
Disease_outcome	HC1221	TTE coxarthrosis [arthrosis of hip]	PGS000967	EFO_1000786	osteoarthritis, hip
Disease_outcome	HC1222	TTE gonarthrosis [arthrosis of knee]	PGS001192	EFO_0004616	osteoarthritis, knee
Disease_outcome	HC1228	TTE internal derangement of knee	PGS001027	EFO_0009507	knee injury
Disease_outcome	HC123	Muscle/soft tissue problem			
Disease_outcome	HC1235	TTE systemic sclerosis			
Disease_outcome	HC1236	TTE other systemic involvement of connective tissue	PGS000960	EFO_1001986	connective tissue disease
Disease_outcome	HC124	Undescended testicle			
Disease_outcome	HC1240	TTE spinal osteochondrosis			
Disease_outcome	HC1242	TTE ankylosing spondylitis	PGS001268	EFO_0003898	ankylosing spondylitis
Disease_outcome	HC1248	TTE other intervertebral disk disorders	PGS000932	MONDO_0000812	vertebral column disease
Disease_outcome	HC125	Anaemia			
Disease_outcome	HC1253	TTE other disorders of muscle			
Disease_outcome	HC1257	TTE other disorders of synovium and tendon			
Disease_outcome	HC1261	TTE fibroblastic disorders	PGS001031	EFO_0009432	fibroblastic disorder
Disease_outcome	HC1268	TTE osteoporosis without pathological fracture	PGS001274	EFO_0003882	osteoporosis
Disease_outcome	HC1271	TTE disorders of continuity of bone			
Disease_outcome	HC1278	TTE juvenile osteochondrosis of hip and pelvis			
Disease_outcome	HC128	Peripheral nerve disorder			
Disease_outcome	HC1282	TTE other acquired deformities of musculoskeletal system and connective tissue			
Disease_outcome	HC1289	TTE nephrotic syndrome			
Disease_outcome	HC129	Muscle or soft tissue injuries			
Disease_outcome	HC1295	TTE chronic tubulo-interstitial nephritis			
Disease_outcome	HC1297	TTE obstructive and reflux uropathy			
Disease_outcome	HC13	Lichen sclerosis			
Disease_outcome	HC130	Housemaid's knee (prepatellar bursitis)			
Disease_outcome	HC1302	TTE chronic renal failure	PGS001272	EFO_0003884	chronic kidney disease
Disease_outcome	HC1304	TTE calculus of kidney and ureter	PGS001250	EFO_0004253|EFO_1001228	nephrolithiasis|ureterolithiasis
Disease_outcome	HC1305	TTE calculus of lower urinary tract			
Disease_outcome	HC1307	TTE unspecified renal colic			
Disease_outcome	HC1313	TTE cystitis			
Disease_outcome	HC132	Angina	PGS001260	EFO_0003913	angina pectoris
Disease_outcome	HC1322	TTE hyperplasia of prostate	PGS001338	EFO_0000284	benign prostatic hyperplasia
Disease_outcome	HC1324	TTE other disorders of prostate			
Disease_outcome	HC1329	TTE redundant prepuce, phimosis and paraphimosis			
Disease_outcome	HC133	Anal fissure			
Disease_outcome	HC1334	TTE benign mammary dysplasia			
Disease_outcome	HC134	Bone disorder			
Disease_outcome	HC1341	TTE inflammatory disease of cervix uteri			
Disease_outcome	HC1346	TTE vulvovaginal ulceration and inflammation in diseases classified elsewhere			
Disease_outcome	HC135	Anxiety/panic attacks			
Disease_outcome	HC1350	TTE noninflammatory disorders of ovary, fallopian tube and broad ligament			
Disease_outcome	HC136	Connective tissue disorder	PGS000959	EFO_1001986	connective tissue disease
Disease_outcome	HC1389	TTE maternal care for other conditions predominantly related to pregnancy			
Disease_outcome	HC1398	TTE maternal care for other known or suspected foetal problems			
Disease_outcome	HC1406	TTE false labour			
Disease_outcome	HC1407	TTE prolonged pregnancy			
Disease_outcome	HC1408	TTE preterm delivery			
Disease_outcome	HC1410	TTE abnormalities of forces of labour			
Disease_outcome	HC1417	TTE labour and delivery complicated by umbilical cord complications			
Disease_outcome	HC142	Synovitis			
Disease_outcome	HC143	Retinal problem			
Disease_outcome	HC144	Chickenpox			
Disease_outcome	HC146	Pleural effusion			
Disease_outcome	HC151	Multiple sclerosis	PGS001270	EFO_0003885	multiple sclerosis
Disease_outcome	HC1521	TTE other congenital malformations of tongue, mouth and pharynx			
Disease_outcome	HC1522	TTE congenital malformations of oesophagus			
Disease_outcome	HC153	Joint pain			
Disease_outcome	HC1532	TTE undescended testicle			
Disease_outcome	HC1540	TTE other congenital malformations of urinary system			
Disease_outcome	HC1541	TTE congenital deformities of hip			
Disease_outcome	HC155	Joint disorder			
Disease_outcome	HC1550	TTE other congenital malformations of limb(s)			
Disease_outcome	HC1552	TTE congenital malformations of spine and bony thorax			
Disease_outcome	HC1558	TTE other congenital malformations of skin			
Disease_outcome	HC156	Nasal polyps	PGS000934	HP_0100582	Nasal polyposis
Disease_outcome	HC1563	TTE other specified congenital malformation syndromes affecting multiple systems			
Disease_outcome	HC157	Jaundice (unknown cause)			
Disease_outcome	HC1574	AD myocardial infarction	PGS001316	EFO_0000612	myocardial infarction
Disease_outcome	HC1575	AD STEMI			
Disease_outcome	HC1576	AD NSTEMI	PGS001048	EFO_0008586	Non-ST Elevation Myocardial Infarction
Disease_outcome	HC158	Spine arthritis/spondylitis			
Disease_outcome	HC1581	AD asthma	PGS001343	EFO_0000270	asthma
Disease_outcome	HC1582	AD chronic obstructive pulmonary disease	PGS001333	EFO_0000341	chronic obstructive pulmonary disease
Disease_outcome	HC1583	AD all cause dementia	PGS000929	MONDO_0001627	dementia (disease)
Disease_outcome	HC1584	AD alzheimer's disease	PGS001348	EFO_0000249	Alzheimer's disease
Disease_outcome	HC1585	AD vascular dementia			
Disease_outcome	HC16	Rectal or colon adenoma/polyps			
Disease_outcome	HC161	Prostatitis			
Disease_outcome	HC163	Scleroderma/systemic sclerosis			
Disease_outcome	HC165	Type 2 diabetes	PGS001295	EFO_0001360	type II diabetes mellitus
Disease_outcome	HC166	DVT	PGS001264	EFO_0003907	deep vein thrombosis
Disease_outcome	HC167	Raynaud's phenomenon/disease			
Disease_outcome	HC169	Pernicious anaemia			
Disease_outcome	HC17	Diabetic eye disease			
Disease_outcome	HC170	Sarcoidosis	PGS000922	Orphanet_797	Sarcoidosis
Disease_outcome	HC176	Prolapsed disc/slipped disc	PGS000964	EFO_1001317	Epiphyses, Slipped
Disease_outcome	HC177	Dupuytren's contracture	PGS001254	EFO_0004229	Dupuytren Contracture
Disease_outcome	HC178	Stress			
Disease_outcome	HC182	Osteopenia			
Disease_outcome	HC184	Aortic aneurysm rupture			
Disease_outcome	HC188	Gallstones	PGS001256	EFO_0004210	gallstones
Disease_outcome	HC195	Ureteric obstruction/hydronephrosis			
Disease_outcome	HC197	Clotting disorder/excessive bleeding			
Disease_outcome	HC198	Hyperparathyroidism			
Disease_outcome	HC201	Ulcerative colitis	PGS001306	EFO_0000729	ulcerative colitis
Disease_outcome	HC203	PE +/- DVT	PGS001277	EFO_0003827|EFO_0003907	pulmonary embolism|deep vein thrombosis
Disease_outcome	HC205	Endometriosis			
Disease_outcome	HC207	Soft tissue inflammation			
Disease_outcome	HC210	Non-infective hepatitis			
Disease_outcome	HC212	Oesophageal disorder			
Disease_outcome	HC215	Hypertension	PGS001320	EFO_0000537	hypertension
Disease_outcome	HC218	Motor neurone disease			
Disease_outcome	HC219	Hypothyroidism/myxoedema	PGS000965	EFO_1001055|EFO_0004705	myxedema|hypothyroidism
Disease_outcome	HC22	Osteoporosis	PGS001273	EFO_0003882	osteoporosis
Disease_outcome	HC221	Diabetes	PGS001327	EFO_0000400	diabetes mellitus
Disease_outcome	HC222	Arterial embolism			
Disease_outcome	HC223	Fracture pelvis			
Disease_outcome	HC225	Cholecystitis	PGS000942	HP_0001082	Cholecystitis
Disease_outcome	HC231	Heart valve problem/heart murmur			
Disease_outcome	HC232	Abnormal smear (cervix)			
Disease_outcome	HC233	Mania/bipolar disorder/manic depression			
Disease_outcome	HC237	Back problem			
Disease_outcome	HC243	Inguinal hernia	PGS000948	HP_0000023	Inguinal hernia
Disease_outcome	HC248	Allergy to house dust mite			
Disease_outcome	HC25	Cataract	PGS001302	EFO_0001059	cataract
Disease_outcome	HC250	Acute infective polyneuritis/guillain-barre syndrome			
Disease_outcome	HC254	Uterine polyps			
Disease_outcome	HC255	Subarachnoid haemorrhage			
Disease_outcome	HC256	Fracture toe			
Disease_outcome	HC257	Femoral hernia			
Disease_outcome	HC259	Aortic stenosis			
Disease_outcome	HC26	Iritis	PGS000966	EFO_1000997	iritis
Disease_outcome	HC261	Eczema/dermatitis	PGS000944	HP_0000964|MONDO_0002406	Eczema|dermatitis
Disease_outcome	HC262	Diverticular disease/diverticulitis	PGS000996	EFO_0009959|EFO_1001460	diverticular disease|diverticulitis
Disease_outcome	HC267	Tennis elbow / lateral epicondylitis			
Disease_outcome	HC268	Varicose ulcer			
Disease_outcome	HC269	High cholesterol	PGS000936	HP_0003124	Hypercholesterolemia
Disease_outcome	HC270	Encephalitis			
Disease_outcome	HC271	Epicondylitis			
Disease_outcome	HC273	Essential hypertension	PGS000958	EFO_1002032	primary hypertension
Disease_outcome	HC274	Umbilical hernia			
Disease_outcome	HC276	Glaucoma	PGS001322	EFO_0000516	glaucoma
Disease_outcome	HC277	Menopausal symptoms / menopause			
Disease_outcome	HC28	Bronchiectasis			
Disease_outcome	HC281	Atrial fibrillation	PGS001340	EFO_0000275	atrial fibrillation
Disease_outcome	HC284	Fracture nose			
Disease_outcome	HC285	Other joint disorder			
Disease_outcome	HC286	Plantar fascitis			
Disease_outcome	HC288	Alopecia / hair loss			
Disease_outcome	HC290	Fracture upper arm / humerus / elbow			
Disease_outcome	HC294	Renal/kidney failure			
Disease_outcome	HC298	Chronic sinusitis			
Disease_outcome	HC299	Heart failure/pulmonary odema			
Disease_outcome	HC3	Ectopic pregnancy			
Disease_outcome	HC302	Retinal detachment	PGS001137	EFO_0005773	retinal detachment
Disease_outcome	HC303	Malabsorption/coeliac disease	PGS001301	EFO_0001060	celiac disease
Disease_outcome	HC307	Colitis/not crohns or ulcerative colitis			
Disease_outcome	HC31	Uterine fibroids	PGS001032	EFO_0009410	uterine fibroid measurement
Disease_outcome	HC310	Hiatus hernia	PGS000939	HP_0002036	Hiatus hernia
Disease_outcome	HC312	Wegners granulmatosis			
Disease_outcome	HC314	Fracture hand			
Disease_outcome	HC316	Dyspepsia / indigestion			
Disease_outcome	HC321	Sjogren's syndrome/sicca syndrome	PGS001308	EFO_0000699	Sjogren syndrome
Disease_outcome	HC322	Crohns disease	PGS001331	EFO_0000384	Crohn's disease
Disease_outcome	HC323	Head injury			
Disease_outcome	HC324	Obsessive compulsive disorder (ocd)			
Disease_outcome	HC326	Heart attack (MI)	PGS001315	EFO_0000612	myocardial infarction
Disease_outcome	HC328	Gout	PGS001248	EFO_0004274	gout
Disease_outcome	HC33	Spinal cord disorder			
Disease_outcome	HC332	Post-traumatic stress disorder			
Disease_outcome	HC337	Type 1 diabetes	PGS001297	EFO_0001359	type I diabetes mellitus
Disease_outcome	HC338	Giant cell/temporal arteritis			
Disease_outcome	HC340	Menorrhagia (unknown cause)			
Disease_outcome	HC341	Fracture face / orbit / eye socket			
Disease_outcome	HC346	Fibromyalgia			
Disease_outcome	HC347	Blistering/desquamating skin disorder			
Disease_outcome	HC348	Bell's palsy/facial nerve palsy			
Disease_outcome	HC35	Sick sinus syndrome			
Disease_outcome	HC352	Systemic lupus erythematosis/sle			
Disease_outcome	HC355	Rectal prolapse			
Disease_outcome	HC357	Duodenal ulcer			
Disease_outcome	HC358	Optic neuritis			
Disease_outcome	HC359	Adrenocortical insufficiency/addison's disease			
Disease_outcome	HC36	Pneumonia			
Disease_outcome	HC361	Anorexia/bulimia/other eating disorder			
Disease_outcome	HC362	Respiratory infection			
Disease_outcome	HC364	Sleep apnoea			
Disease_outcome	HC366	Allergy/hypersensitivity/anaphylaxis			
Disease_outcome	HC369	Gestational diabetes			
Disease_outcome	HC371	Bronchitis			
Disease_outcome	HC376	Osteoarthritis	PGS001290	EFO_0002506	osteoarthritis
Disease_outcome	HC38	Psoriasis	PGS001312	EFO_0000676	psoriasis
Disease_outcome	HC380	Fracture ulna			
Disease_outcome	HC382	Asthma	PGS001341	EFO_0000270	asthma
Disease_outcome	HC384	Throat or larynx disorder			
Disease_outcome	HC385	Peripheral vascular disease			
Disease_outcome	HC388	Diabetic neuropathy/ulcers			
Disease_outcome	HC39	Lichen planus			
Disease_outcome	HC390	Trigemminal neuralgia			
Disease_outcome	HC392	Pancreatitis			
Disease_outcome	HC395	Bladder problem (not cancer)			
Disease_outcome	HC396	Fracture shoulder / scapula			
Disease_outcome	HC40	Nervous breakdown			
Disease_outcome	HC400	Transient ischaemic attack (tia)			
Disease_outcome	HC401	Varicose veins	PGS000937	HP_0002619	Varicose veins
Disease_outcome	HC402	Spinal stenosis			
Disease_outcome	HC405	Vaginal prolapse/uterine prolapse			
Disease_outcome	HC406	Fracture neck of femur / hip			
Disease_outcome	HC408	Polio / poliomyelitis			
Disease_outcome	HC410	Cervical intra-epithelial neoplasia (cin) / precancerous cells cervix			
Disease_outcome	HC413	Genetic haematological disorder	PGS001136	EFO_0005803	hematologic disease
Disease_outcome	HC417	Sclerosing cholangitis			
Disease_outcome	HC418	Cervical spondylosis			
Disease_outcome	HC419	Otosclerosis			
Disease_outcome	HC420	Psychological/psychiatric problem			
Disease_outcome	HC421	Other abdominal problem			
Disease_outcome	HC422	Ankylosing spondylitis	PGS001267	EFO_0003898	ankylosing spondylitis
Disease_outcome	HC423	Respiratory failure			
Disease_outcome	HC427	Ovarian cyst or cysts			
Disease_outcome	HC430	Rheumatoid arthritis	PGS001310	EFO_0000685	rheumatoid arthritis
Disease_outcome	HC431	Emphysema	PGS001326	EFO_0000464	emphysema
Disease_outcome	HC432	Mitral valve prolapse			
Disease_outcome	HC433	Lymphoedema			
Disease_outcome	HC434	Macular degeneration			
Disease_outcome	HC436	Acne/acne vulgaris			
Disease_outcome	HC44	Bile duct obstruction/ascending cholangitis			
Disease_outcome	HC440	Atrial flutter	PGS001263	EFO_0003911	atrial flutter
Disease_outcome	HC441	Hypopituitarism			
Disease_outcome	HC442	Chronic obstructive airways disease/copd	PGS001332	EFO_0000341	chronic obstructive pulmonary disease
Disease_outcome	HC445	Oesophageal varicies			
Disease_outcome	HC449	TTE other salmonella infections			
Disease_outcome	HC45	Mumps / epidemic parotitis			
Disease_outcome	HC451	TTE other bacterial intestinal infections			
Disease_outcome	HC452	TTE other bacterial foodborne intoxications			
Disease_outcome	HC457	TTE respiratory tuberculosis, bacteriologically and histologically confirmed			
Disease_outcome	HC481	TTE actinomycosis			
Disease_outcome	HC49	Hayfever/allergic rhinitis	PGS001259	EFO_0003956	seasonal allergic rhinitis
Disease_outcome	HC496	TTE anogenital herpesviral [herpes simplex] infections			
Disease_outcome	HC497	TTE other predominantly sexually transmitted diseases, not elsewhere classified			
Disease_outcome	HC5	Myositis/myopathy			
Disease_outcome	HC502	TTE other spirochaetal infections			
Disease_outcome	HC517	TTE viral meningitis			
Disease_outcome	HC528	TTE herpesviral [herpes simplex] infections			
Disease_outcome	HC529	TTE varicella [chickenpox]			
Disease_outcome	HC530	TTE zoster [herpes zoster]	PGS001131	EFO_0006510	Herpes Zoster
Disease_outcome	HC534	TTE viral warts	PGS001011	EFO_0009662	common wart
Disease_outcome	HC537	TTE acute hepatitis a			
Disease_outcome	HC540	TTE chronic viral hepatitis			
Disease_outcome	HC547	TTE cytomegaloviral disease			
Disease_outcome	HC548	TTE mumps			
Disease_outcome	HC55	Hyperthyroidism/thyrotoxicosis	PGS001043	EFO_0009189|EFO_0009190	Hyperthyroidism|Thyrotoxicosis
Disease_outcome	HC550	TTE viral conjunctivitis			
Disease_outcome	HC553	TTE dermatophytosis			
Disease_outcome	HC561	TTE aspergillosis			
Disease_outcome	HC57	Fracture radius	PGS001258	EFO_0003957	radius fracture
Disease_outcome	HC571	TTE unspecified malaria			
Disease_outcome	HC59	Thyroiditis			
Disease_outcome	HC590	TTE enterobiasis			
Disease_outcome	HC594	TTE pediculosis and phthiriasis			
Disease_outcome	HC595	TTE scabies			
Disease_outcome	HC6	Eye/eyelid problem			
Disease_outcome	HC60	Oesophagitis/barretts oesophagus			
Disease_outcome	HC604	TTE viral agents as the cause of diseases classified to other chapters			
Disease_outcome	HC606	TTE other and unspecified infectious diseases			
Disease_outcome	HC608	TTE vitamin b12 deficiency anaemia	PGS001305	EFO_0000734|MONDO_0002280	vitamin B12 deficiency|anemia (disease)
Disease_outcome	HC61	Haemorrhoids / piles	PGS001024	EFO_0009552	hemorrhoid
Disease_outcome	HC615	TTE acquired haemolytic anaemia			
Disease_outcome	HC617	TTE other aplastic anaemias			
Disease_outcome	HC619	TTE anaemia in chronic diseases classified elsewhere			
Disease_outcome	HC62	Tuberculosis (tb)			
Disease_outcome	HC620	TTE other anaemias			
Disease_outcome	HC624	TTE other coagulation defects	PGS001033	EFO_0009314	blood coagulation disease
Disease_outcome	HC63	Pituitary adenoma/tumour			
Disease_outcome	HC639	TTE sarcoidosis	PGS000923	Orphanet_797	Sarcoidosis
Disease_outcome	HC643	TTE other hypothyroidism	PGS001181	EFO_0004705	hypothyroidism
Disease_outcome	HC644	TTE other non-toxic goitre	PGS000928	MONDO_0001658	nontoxic goiter
Disease_outcome	HC645	TTE thyrotoxicosis [hyperthyroidism]	PGS001042	EFO_0009190	Thyrotoxicosis
Disease_outcome	HC646	TTE thyroiditis			
Disease_outcome	HC648	TTE insulin-dependent diabetes mellitus	PGS001296	EFO_0001359	type I diabetes mellitus
Disease_outcome	HC649	TTE non-insulin-dependent diabetes mellitus	PGS001294	EFO_0001360	type II diabetes mellitus
Disease_outcome	HC652	TTE unspecified diabetes mellitus	PGS001329	EFO_0000400	diabetes mellitus
Disease_outcome	HC654	TTE other disorders of pancreatic internal secretion	PGS001014	EFO_0009605	pancreas disease
Disease_outcome	HC656	TTE hyperparathyroidism and other disorders of parathyroid gland			
Disease_outcome	HC68	Disorder of adrenal gland			
Disease_outcome	HC685	TTE deficiency of other nutrient elements			
Disease_outcome	HC689	TTE obesity	PGS001298	EFO_0001073	obesity
Disease_outcome	HC700	TTE disorders of lipoprotein metabolism and other lipidaemias	PGS001318	EFO_0000589	metabolic disease
Disease_outcome	HC702	TTE disorders of porphyrin and bilirubin metabolism	PGS000924	MONDO_0037821|MONDO_0024431	porphyrin metabolism disease|bilirubin metabolism disease
Disease_outcome	HC703	TTE disorders of mineral metabolism	PGS001023	EFO_0009556	mineral metabolism disease
Disease_outcome	HC707	TTE other disorders of fluid, electrolyte and acid-base balance			
Disease_outcome	HC708	TTE other metabolic disorders	PGS001319	EFO_0000589	metabolic disease
Disease_outcome	HC709	TTE postprocedural endocrine and metabolic disorders, not elsewhere classified			
Disease_outcome	HC710	TTE dementia in alzheimer's disease	PGS000945	HP_0000726|EFO_0000249	Dementia|Alzheimer's disease
Disease_outcome	HC711	TTE vascular dementia	PGS001179	EFO_0004718	vascular dementia
Disease_outcome	HC712	TTE dementia in other diseases classified elsewhere			
Disease_outcome	HC713	TTE unspecified dementia	PGS000946	HP_0000726	Dementia
Disease_outcome	HC715	TTE delirium, not induced by alcohol and other psychoactive substances			
Disease_outcome	HC720	TTE mental and behavioural disorders due to use of opioids			
Disease_outcome	HC734	TTE schizoaffective disorders			
Disease_outcome	HC74	Female infertility			
Disease_outcome	HC746	TTE obsessive-compulsive disorder			
Disease_outcome	HC747	TTE reaction to severe stress, and adjustment disorders			
Disease_outcome	HC78	Arthritis (nos)	PGS001135	EFO_0005856	arthritis
Disease_outcome	HC784	TTE other behavioural and emotional disorders with onset usually occurring in childhood an			
Disease_outcome	HC792	TTE intracranial and intraspinal abscess and granuloma			
Disease_outcome	HC8	Gall bladder disease			
Disease_outcome	HC807	TTE alzheimer's disease	PGS001349	EFO_0000249	Alzheimer's disease
Disease_outcome	HC808	TTE other degenerative diseases of nervous system, not elsewhere classified			
Disease_outcome	HC810	TTE multiple sclerosis	PGS001271	EFO_0003885	multiple sclerosis
Disease_outcome	HC812	TTE other demyelinating diseases of central nervous system			
Disease_outcome	HC815	TTE migraine	PGS001282	EFO_0003821	migraine disorder
Disease_outcome	HC818	TTE vascular syndromes of brain in cerebrovascular diseases			
Disease_outcome	HC824	TTE nerve root and plexus disorders			
